id,name__et,name__it,name,wikipedia__et,image,gender,birth_date,given_name,original_wikiname,wikipedia__commons,name__de,name__pl,name__ru,name__fr,name__en,name__lt,name__da,name__sk,name__sl,name__fi,name__ca,name__cs,name__hr,name__la,name__pt,name__ro,name__sv,name__nl,name__es,name__nb,name__nn,name__hu,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__it,wikipedia__lt,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__sv,occupation,identifier__freebase,identifier__EuroparlMEP,name__uk,wikipedia__fi,wikipedia__la,wikipedia__uk,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gl,name__gsw,name__is,name__lb,name__li,name__lij,name__lmo,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sq,name__tr,name__vec,name__vls,name__wa,identifier__VIAF,identifier__LCAuth,name__lv,wikipedia__lv,website,identifier__IMDB,identifier__MusicBrainz,identifier__AlloCine,identifier__discogs,identifier__allmovie,identifier__SFDb,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__PACE,identifier__etis_ee,name__ja,wikipedia__ja,wikipedia__tr,name__bm,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__oc,name__pap,name__prg,name__pt_br,name__rgn,name__sr_el,name__sw,name__vi,name__vmf,name__vo,name__wo,name__zu,wikipedia__ca,wikipedia__es,wikipedia__plwikiquote,wikipedia__ro,identifier__GND,identifier__elonet,identifier__DNF,name__hy,wikipedia__hy,identifier__google_knowledge,name__zh,name__he,name__bg,name__be,name__el,name__fa,name__zh_cn,name__zh_hans,name__ka,name__ko,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__el,wikipedia__enwikiquote,wikipedia__fa,wikipedia__he,wikipedia__hu,wikipedia__io,wikipedia__is,wikipedia__ka,wikipedia__liwikiquote,wikipedia__no,wikipedia__oc,wikipedia__zh,identifier__Munzinger,identifier__FAST,death_date,wikipedia__pt,wikipedia__etwikiquote,wikipedia__nn,family_name,twitter,wikipedia__id,name__az,wikipedia__az,name__ar,name__ta,name__mk,name__hsb,name__tpi,wikipedia__ar,wikipedia__ast,wikipedia__hsb,wikipedia__ie,wikipedia__ko,wikipedia__lb,wikipedia__ruwikinews,wikipedia__ta,wikipedia__tpi,wikipedia__vi,identifier__parlement,name__yo,name__sr,name__se,wikipedia__eo,wikipedia__eu,wikipedia__fiwikiquote,wikipedia__ga,wikipedia__gl,wikipedia__sco,wikipedia__se,wikipedia__simple,wikipedia__sl,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__GTAA,name__mn,name__vro,wikipedia__fiu_vro,wikipedia__mn,identifier__IIAF,name__fo,name__zh_hant,name__zh_hk,name__zh_sg,name__zh_tw,name__be_tarask,wikipedia__be_x_old,wikipedia__ukwikiquote
Q12358429,"Ain Lutsepp","Ain Lutsepp","Ain Lutsepp","Ain Lutsepp",https://upload.wikimedia.org/wikipedia/commons/a/a3/RK_Ain_Lutsepp.jpg,male,1954-05-06,,"Ain Lutsepp","Category:Ain Lutsepp","Ain Lutsepp",,"Айн Лутсепп","Ain Lutsepp","Ain Lutsepp",,,,,,,,,,,,,"Ain Lutsepp",,,,,,,"Ain Lutsepp",,,,,,,,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm0527493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12358481,"Aivar Sõerd",,"Aivar Sõerd","Aivar Sõerd","https://upload.wikimedia.org/wikipedia/commons/9/98/RE_Aivar_Sõerd.jpg",male,1964,Aivar,"Aivar Sõerd","Category:Aivar Sõerd",,,,,"Aivar Sõerd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12359125,"Andres Jalak",,"Andres Jalak","Andres Jalak",,male,1953-03-19,Andres,"Andres Jalak",,,,,,"Andres Jalak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12360203,"Barbi Pilvre","Barbi Pilvre","Barbi Pilvre","Barbi Pilvre",https://upload.wikimedia.org/wikipedia/commons/9/94/Barbi_Pilvre_.jpg,female,,,"Barbi Pilvre",,"Barbi Pilvre",,,"Barbi Pilvre","Barbi Pilvre",,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c86be76-1b5a-4bb7-9d58-e6678892c2bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12363563,"Heimar Lenk",,"Heimar Lenk","Heimar Lenk",https://upload.wikimedia.org/wikipedia/commons/c/c1/KE_Heimar_Lenk.jpg,male,1946-09-17,,"Heimar Lenk","Category:Heimar Lenk","Heimar Lenk",,,"Heimar Lenk","Heimar Lenk",,,,,,,,,,"Heimar Lenk",,,"Heimar Lenk","Heimar Lenk",,,,,,"Heimar Lenk",,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heimar Lenk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12364480,"Imre Sooäär",,"Imre Sooäär","Imre Sooäär","https://upload.wikimedia.org/wikipedia/commons/c/cc/Imre_Sooäär_2012.jpg",male,1969-03-13,Imre,"Imre Sooäär","Category:Imre Sooäär",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376e1701-503f-4273-9689-33ecc835a977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12364487,"Inara Luigas",,"Inara Luigas","Inara Luigas",https://upload.wikimedia.org/wikipedia/commons/5/51/KE_Inara_Luigas.jpg,female,,,"Inara Luigas","Category:Inara Luigas","Inara Luigas",,,"Inara Luigas","Inara Luigas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inara Luigas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12364518,"Indrek Raudne",,"Indrek Raudne","Indrek Raudne",https://upload.wikimedia.org/wikipedia/commons/4/4d/IRL_Indrek_Raudne.jpg,male,,,"Indrek Raudne","Category:Indrek Raudne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12364933,"Jaan Õunapuu",,"Jaan Õunapuu","Jaan Õunapuu","https://upload.wikimedia.org/wikipedia/commons/e/e5/SDE_Jaan_Õunapuu.jpg",male,1958-09-13,Jaan,"Jaan Õunapuu","Category:Jaan Õunapuu","Jaan Õunapuu",,,,"Jaan Õunapuu",,,,,,,,,,,,,"Jaan Õunapuu",,,,,,"Jaan Õunapuu",,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12365130,"Jevgeni Ossinovski",,"Jevgeni Ossinovski","Jevgeni Ossinovski",https://upload.wikimedia.org/wikipedia/commons/0/09/SDE_Jevgeni_Ossinovski.jpg,male,1986-03-15,Jewgienij,"Jevgeni Ossinovski","Category:Jevgeni Ossinovski","Jevgeni Ossinovski","Jewgienij Osinowski","Осиновский, Евгений","Jevgeni Ossinovski","Jevgeni Ossinovski",,,,,"Jevgeni Ossinovski",,,,"Eugenius Ossinovski",,,"Jevgeni Ossinovski","Jevgeni Ossinovski",,,,,,"Jevgeni Ossinovski","Jevgeni Ossinovski","Jevgeni Ossinovski",,,,"Jevgeni Ossinovski","Осиновский, Евгений","Jevgeni Ossinovski",politician,,,,"Jevgeni Ossinovski","Eugenius Ossinovski",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12365540,"Juku-Kalle Raid",,"Juku-Kalle Raid","Juku-Kalle Raid",,male,,,"Juku-Kalle Raid","Category:Juku-Kalle Raid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12365796,"Jüri Adams",,"Jüri Adams","Jüri Adams","https://upload.wikimedia.org/wikipedia/commons/1/15/Jüri_Adams.jpg",male,,"Jüri","Jüri Adams","Category:Jüri Adams",,,,,"Jüri Adams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366112,"Kaja Kreisman",,"Kaja Kreisman","Kaja Kreisman",,female,,Kaja,"Kaja Kreisman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366123,"Kajar Lember",,"Kajar Lember","Kajar Lember",https://upload.wikimedia.org/wikipedia/commons/e/ed/SDE_Kajar_Lember.jpg,male,,,"Kajar Lember","Category:Kajar Lember",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366157,"Kalev Kotkas",,"Kalev Kotkas","Kalev Kotkas",https://upload.wikimedia.org/wikipedia/commons/1/1c/SDE_Kalev_Kotkas.jpg,male,,,"Kalev Kotkas","Category:Kalev Kotkas",,,,,"Kalev Kotkas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366158,"Kalev Kallo",,"Kalev Kallo","Kalev Kallo",https://upload.wikimedia.org/wikipedia/commons/1/19/KE_Kalev_Kallo.jpg,male,,,"Kalev Kallo","Category:Kalev Kallo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12366228,"Kalle Jents",,"Kalle Jents","Kalle Jents",https://upload.wikimedia.org/wikipedia/commons/e/ec/RE_Kalle_Jents.jpg,male,,Kalle,"Kalle Jents","Category:Kalle Jents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
