id,name__en,name__nl,name__it,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__es,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__hu,name__lb,name__fa,name__pt,name__hr,name__ca,name__gl,wikipedia__ca,wikipedia__de,wikipedia__es,identifier__UScongress,identifier__FEC,image,name__cy,death_date
Q6278386,"Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez","Jorge Navarro Suárez",male,politician,1964-07-08,Jorge,"Jorge Navarro Suárez","Jorge Navarro Suárez",,,,,,,,,,,,,,
Q6291585,"José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández","José Aponte Hernández",male,accountant,1958-01-19,"José","José Aponte Hernández",,,,,,,,,,,,,,,
Q6292643,"José Kikito Meléndez",,"José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez","José Kikito Meléndez",male,,1973-12-05,"José","José Kikito Meléndez",,,,,,"José Enrique Meléndez Ortiz","José Enrique Meléndez Ortiz",,,,,,,,
Q6292831,"José Luis Rivera Guerra",,"José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra","José Luis Rivera Guerra",male,,1973-10-07,"José","José Luis Rivera Guerra",,,,,,,,,,,,,,,
Q6292906,"José López Muñoz","Ramón José López","Nuno López","José López Muñoz","José López Muñoz","José López Muñoz","José López Muñoz","José López Muñoz","Ramón José López","Ramón José López","José López Muñoz","Nuno López",male,,1951-11-11,"José","José López Muñoz",,,,"Ramón José López",,,,,,,,,,,
Q6293889,"José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles","José Rodríguez Quiles",male,politician,,"José","José Rodríguez Quiles",,,,,,,,,,,,,,,
Q6294099,"José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez","José Torres Ramírez",male,politician,1962-07-27,"José","José Torres Ramírez",,,,,,,,,,,,,,,
Q6294148,"José Varela Fernández","Conny Varela","Conny Varela","José Varela Fernández","José Varela Fernández","José Varela Fernández","José Varela Fernández","José Varela Fernández","José Varela Fernández","José Varela Fernández","José Varela Fernández","Conny Varela",male,politician,1954-02-13,"José","José Varela Fernández","José Varela Fernández",,,,,,,,,,,,,,
Q6700759,"Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez","Luis León Rodríguez",male,politician,1966-06-29,Luis,"Luis León Rodríguez","Luis León Rodríguez",,,,,,,,,,,,,,
Q6700952,"Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo","Luis Ortíz Lugo",male,politician,,Luis,"Luis Ortíz Lugo",,,,,,,,,,,,,,,
Q6701017,"Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz","Luis Pérez Ortíz",male,politician,1955-09-05,Luis,"Luis Pérez Ortíz",,,,,,,,,,,,,,,
Q6701037,"Luis Raúl Torres Cruz",,"Luis Raúl Torres Cruz","Luis Raúl Torres Cruz","Luis Raúl Torres Cruz","Luis Raúl Torres Cruz","Luis Raúl Torres Cruz","Luis Raúl Torres Cruz","Luis Raúl Torres Cruz",,"Luis Raúl Torres Cruz","Luis Raúl Torres Cruz",male,,1960-03-05,Luis,"Luis Raúl Torres Cruz",,,,,,,,,,,,,,,
Q6701189,"Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos","Luis Vega Ramos",male,politician,1970-06-11,Luis,"Luis Vega Ramos","Luis Vega Ramos",,,,,,,,,,,,,,
Q6782083,"María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier","María Milagros Charbonier",female,,1963-11-24,"María","María Milagros Charbonier",,,,,,,,,,,,,,,
Q6782153,"María de Lourdes Ramos Rivera",,"María de Lourdes Ramos Rivera","Maria de Loudres Ramos Rivera",,,,,"María de Lourdes Ramos Rivera",,"María de Lourdes Ramos Rivera","María de Lourdes Ramos Rivera",female,,1960-08-06,"María","Lourdes Ramos",,,,,,,,,,,,,,,
Q6965713,"Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa","Narden Jaime Espinosa",male,politician,1971-08-06,,"Narden Jaime Espinosa","Narden Jaime Espinosa",,,,,,,,,,,,,,
Q6990757,"Nelson Torres Yordán",,"Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán","Nelson Torres Yordán",male,,1981-10-07,Nelson,"Nelson Torres Yordán",,,,,,,,,,,,,,,
Q6990803,"Nelson del Valle","Nelson del Valle","Nelson del Valle","Nelson del Valle",,,,,"Nelson del Valle","Nelson del Valle","Nelson del Valle","Nelson del Valle",male,politician,,Nelson,"Nelson del Valle",,,,,,,,,,,,,,,
Q7159680,"Pedro Julio Santiago","Pellé Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pedro Julio Santiago","Pellé Santiago",male,politician,1961-03-25,Pedro,"Pedro Julio Santiago",,,,,,,,,,,,,,,
Q7282291,"Rafael Rivera Ortega",,"June Rivera","Rafael Rivera Ortega","Rafael Rivera Ortega","Rafael Rivera Ortega","Rafael Rivera Ortega","Rafael Rivera Ortega","Rafael Rivera Ortega","Rafael Rivera Ortega","Rafael Rivera Ortega","June Rivera",male,,1969-11-10,Rafael,"Rafael Rivera Ortega",,,"جون ریورا",,,,,,,,,,,,
Q7290511,"Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz","Ramón Luis Cruz",male,politician,1985-09-27,"Ramón","Ramón Luis Cruz",,,,,,,,,,,,,,,
Q7322700,"Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi","Ricardo Llerandi",male,politician,,Ricardo,"Ricardo Llerandi",,,,,,,,,,,,,,,
Q7351873,"Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz","Roberto Rivera Ruiz de Porras",male,politician,1950-10-28,Roberto,"Roberto Rivera Ruíz","Roberto Rivera Ruiz",,,,,,,,,,,,,,
Q7561745,"Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco","Sonia Pacheco",female,politician,,Sonia,"Sonia Pacheco",,"Sonia Pacheco",,,,,,,,,,,,,
Q7688154,"Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández","Tatito Hernández",male,politician,1972-04-14,,"Tatito Hernández","Tatito Hernández",,,,,,,,,,,,,,
Q7899812,"Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández","Urayoán Hernández",male,politician,,,"Urayoán Hernández",,,,,,,,,,,,,,,
Q7944704,"Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés","Víctor Parés",male,politician,,"Víctor","Víctor Parés",,,,,,,,,,,,,,,
Q7944746,"Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo","Víctor Vassallo",male,politician,1960-10-11,"Víctor","Víctor Vassallo","Víctor Vassallo",,,,,,,,,,,,,,
Q7961428,"Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles","Waldemar Quiles",male,politician,1940-12-29,Waldemar,"Waldemar Quiles Rodríguez",,,,,,,,,,,,,,,
Q8076809,"Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín","Ángel Bulerín",male,politician,1949-03-19,"Ángel","Ángel Bulerín",,,,,,,,,,,,,,,
