id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter,name__io,name__de_ch,name__an,name__be,wikipedia__an,wikipedia__be,wikipedia__enwikinews,wikipedia__eu,wikipedia__io,identifier__GND,identifier__Munzinger,family_name,identifier__sycomore,name__nds,wikipedia__ruwikinews,identifier__GTAA,wikipedia__nn,identifier__NNDB,name__rw,name__be_tarask,name__bm,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__plwikiquote,wikipedia__rw,identifier__snac,identifier__senatDOTfr,identifier__AlloCine,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__is,name__mg,wikipedia__is,wikipedia__mg,identifier__allmovie,name__diq,name__sl,wikipedia__sl,name__gd,wikipedia__gd,wikipedia__eswikisource,name__lv,wikipedia__lv,identifier__bigenc_ru,identifier__MusicBrainz,identifier__NKC,identifier__CANTIC,identifier__discogs,identifier__SFDb,identifier__SCOPE,identifier__DNF,name__qu,wikipedia__qu,name__af,name__ast,name__bar,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__OLID,identifier__BNE,second_surname,name__bg,name__kk,name__az,wikipedia__az,wikipedia__bg,wikipedia__kk,wikipedia__ro,identifier__NDL,name__se,wikipedia__se,facebook,identifier__quora,wikipedia__eswikiquote,identifier__GNC,identifier__nlg,name__so,name__th,wikipedia__arwikinews,wikipedia__so,wikipedia__th,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,identifier__leonore,name__bcl,name__mwl,wikipedia__bcl,wikipedia__mwl,wikipedia__srwikinews,identifier__Oxforddnb,wikipedia__hy
Q16146972,"Abdurrahman Mahmoud Aidiid","Abdurrahman Mahmoud Aidiid","Abdurrahman Mahmoud Aidiid","Abdurrahman Mahmoud Aidiid","Abdurrahman Mahmoud Aidiid",male,politician,,Abdurrahman,"Abdurrahman Mahmoud Aidiid","Abdurrahman Mahmoud Aidiid","Abdurrahman Mahmoud Aidiid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"阿卜杜勒-拉赫曼-馬哈茂德-埃德","阿卜杜勒-拉赫曼-马哈茂德-埃德",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16148441,"Abdi Ahmed Hussein","Abdi Ahmed Hussein","Abdi Ahmed Hussein","Abdi Ahmed Hussein","Abdi Ahmed Hussein",male,politician,,Abdi,"Abdi Ahmed Hussein","Abdi Ahmed Hussein","Abdi Ahmed Hussein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16148607,"Abdullahi Ahmed Nur","Abdullahi Ahmed Nur","Abdullahi Ahmed Nur","Abdullahi Ahmed Nur","Abdullahi Ahmed Nur",male,politician,,Abdullahi,"Abdullahi Ahmed Nur","Abdullahi Ahmed Nur","Abdullahi Ahmed Nur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16148625,"Abdullahi Godah Barre","Abdullahi Godah Barre","Abdullahi Godah Barre","Abdullahi Godah Barre","Abdullahi Godah Barre",male,politician,,Abdullahi,"Abdullahi Godah Barre","Abdullahi Godah Barre","Abdullahi Godah Barre",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ec/2014_02_20_Ministers_Visit_Baidoa_10_(12671323375).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16150430,"Ahmed Mohamed Gurase","Ahmed Mohamed Gurase","Ahmed Mohamed Gurase","Ahmed Mohamed Gurase","Ahmed Mohamed Gurase",male,politician,1957-09-15,Ahmed,"Ahmed Mohamed Gurase","Ahmed Mohamed Gurase","Ahmed Mohamed Gurase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16150444,"Ahmed Mohamed Mohamud","Ahmed Mohamed Mohamud","Ahmed Mohamed Mohamud","Ahmed Mohamed Mohamud","Ahmed Mohamed Mohamud",male,politician,,Ahmed,"Ahmed Mohamed Mohamud","Ahmed Mohamed Mohamud","Ahmed Mohamed Mohamud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16150670,"Ali Abdi Aware","Ali Abdi Aware","Ali Abdi Aware","Ali Abdi Aware","Ali Abdi Aware",male,politician,,Ali,"Ali Abdi Aware","Ali Abdi Aware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16199176,"Abdirahman Duale Beyle","Abdirahman Duale Beyle","Abdirahman Duale Beyle","Abdirahman Duale Beyle","Abdirahman Duale Beyle",male,politician,1955,,"Abdirahman Duale Beyle","Abdirahman Duale Beyle","Abdirahman Duale Beyle",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Adualebhd6.png,,,,,,,,,,,,,,,,,"Abdirahman Duale Beyle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16206757,"Abdikarin Dahir","Abdikarin Dahir","Abdikarin Dahir","Abdikarin Dahir","Abdikarin Dahir",male,politician,,,"Abdikarin Dahir","Abdikarin Dahir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16225443,"Abdulkadir Abdi Hashi","Abdulkadir Abdi Hashi","Abdulkadir Abdi Hashi","Abdulkadir Abdi Hashi","Abdulkadir Abdi Hashi",male,politician,,Abdulkadir,"Abdulkadir Abdi Hashi","Abdulkadir Abdi Hashi",,,,,"Abdulkadir Abdi Hashi",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Aahashi1.jpg,,,,,,,,,,,,"Abdulkadir Abdi Hashi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1639054,"Hussein Kulmiye Afrah","Hussein Kulmiye Afrah","Hussein Kulmiye Afrah","Hussein Kulmiye Afrah","Hussein Kulmiye Afrah",male,politician,1920,Hussein,"Hussein Kulmiye Afrah","Hussein Kulmiye Afrah",,,,,"Hussein Kulmiye Afrah",,,,,,,,,,,,,,,"Hussein Kulmiye Afrah",,,,,,,"Hussein Kulmiye Afrah",,"Хусейн Кулмие Афрах","Афрах, Хусейн Кулмие",,,,/m/02qwdj1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"''Xuseen Kulmiye Afrax''",,,,,,,,,,,,,,,,
Q1667194,"Mohamed Hassan M. Nur","Mohamed Hassan M. Nur","Mohamed Hassan M. Nur","Mohamed Hassan M. Nur","Mohamed Hassan M. Nur",male,politician,"",Mohamed,"Mohamed Hassan M. Nur","Mohamed Hassan M. Nur",,2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,"Mohamed Hassan M. Nur","Mohamed Hassan M. Nur",,,,,,/m/0cz9s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
