id,role,name,given_name,family_name,birth_date,party,email,term,source,constituency
605,,"Chantal Ghislain","Chantal, Maureen",Ghislain,1969-03-11,"Parti Lepep",cghislain@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=605:hon-chantal-ghislain&catid=73:directly-elected-members-by-constituency&Itemid=27,"THE INNER ISLANDS"
606,,"Derek Samson","Derek, Ronny, Armand",Samson,1980-07-18,"Parti Lepep",dsamson@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=606:hon-derek-samson&catid=73:directly-elected-members-by-constituency&Itemid=27,"ANSE ROYALE"
607,,"Emmanuel Fideria","Emmanuel, Jean, Justin",FIDERIA,1962-06-11,"Parti Lepep",efideria@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=607:hon-emmanuel-fideria&catid=73:directly-elected-members-by-constituency&Itemid=27,"LES MAMELLES"
608,,"Galen Bresson","Galen, Dominic, Thomas",Bresson,1973-02-25,"Parti Lepep",gbresson@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=608:hon-galen-bresson&catid=73:directly-elected-members-by-constituency&Itemid=27,"BEL OMBRE"
609,,"Herbert Houareau","Henry, Randolph, Herbert",Houareau,1969-08-06,"Parti Lepep",hhouareau@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=609:hon-herbert-houareau&catid=73:directly-elected-members-by-constituency&Itemid=27,"ST. LOUIS"
610,,"Jeovana Charles","Elizabeth,",Charles,1955-07-04,"Parti Lepep",jcharles@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=610:hon-jeovana-charles&catid=73:directly-elected-members-by-constituency&Itemid=27,"ROCHE CAIMAN"
612,,"Kevin Vidot","Kevin, Jerry",Vidot,1982-02-08,"Parti Lepep",kvidot@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=612:hon-kevin-vidot&catid=73:directly-elected-members-by-constituency&Itemid=27,"ENGLISH RIVER"
613,,"Lenny Lebon","Lenny, Steven",Lebon,1974-04-12,"Parti Lepep",llebon@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=613:hon-lenny-lebon&catid=73:directly-elected-members-by-constituency&Itemid=27,"GRAND ANSE MAHE"
614,,"Melval Dugasse","Melval, Ralph",Dugasse,1970-05-11,"Parti Lepep",mdugasse@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=614:hon-melval-dugasse&catid=73:directly-elected-members-by-constituency&Itemid=27,"ANSE ETOILE"
615,,"Mirena Souris","Mirena, Marinette",Souris,1963-09-13,"Parti Lepep",msouris@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=615:hon-mirena-souris&catid=73:directly-elected-members-by-constituency&Itemid=27,"BEAU VALLON"
617,,"Murielle Marie","Murielle, Ina",Marie,1969-09-14,"Parti Lepep",mmarie@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=617:hon-murielle-marie&catid=73:directly-elected-members-by-constituency&Itemid=27,"AU CAP"
618,,"Natasha Esther","Natasha, Catherina",Esther,1980-11-25,"Parti Lepep",nesther@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=618:hon-natasha-esther&catid=73:directly-elected-members-by-constituency&Itemid=27,"BAIE STE ANNE PRASLIN"
619,,"Nichole Barbe",Nichole,Barbe,2016-03-18,"Parti Lepep",nbarbe@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=619:hon-nichole-barbe&catid=73:directly-elected-members-by-constituency&Itemid=27,"BEL AIR"
620,,"Roma Edmond",Roma,Edmond,1980-07-11,"Parti Lepep",raglae@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=620:hon-roma-aglae&catid=73:directly-elected-members-by-constituency&Itemid=27,PLAISANCE
621,,"Sheryl Vangadasamy",Sheryl,Vangadasamy,1981-07-07,"Parti Lepep",svangadasamy@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=621:hon-sheryl-vangadasamy&catid=73:directly-elected-members-by-constituency&Itemid=27,"MONT BUXTON"
622,,"Sultane Jacqueline","Sultane, Marie- Andree",Jacqueline,1964-05-08,"Parti Lepep",sjacqueline@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=622:hon-sultanne-jacqueline&catid=73:directly-elected-members-by-constituency&Itemid=27,"PORT GLAUD"
623,,"David Pierre",David,Pierre,1967-06-04,PDM,dpierre@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=623:hon-david-pierre-leader-of-the-opposition&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
624,,"Sebastien Pillay","Alix, Sebastien",Pillay,1978-01-26,"Parti Lepep",spillay@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=624:hon-sebastien-pillay&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
885,,"Sylvianne Valmont","Sylvianne M. A.",Valmont,1954-10-09,"Parti Lepep",sylviannevalmont@gmail.com,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=885:hon-sylvianne-valmont&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
908,,"Maria Payet-Marie",Maria,Payet-Marie,1973-10-25,"Parti Lepep",mpmarie@nationalassembly.sc,2011,http://69.36.179.203/index.php?option=com_content&view=article&id=908:hon-maria-payet-marie&catid=72:proportionately-elected-members&Itemid=27,"Proportionally Elected"
