id,name__en,name,wikipedia__en,gender,birth_date,identifier__freebase,identifier__UScongress,identifier__NNDB,image,family_name,given_name,identifier__VIAF,identifier__LCAuth,name__fa,name__fr,name__ar,name__ms,name__yo,name__de,name__it,name__sv,name__nl,name__es,name__nb,name__da,name__nn,name__he,wikipedia__ar,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__ms,wikipedia__sv,wikipedia__yo,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__ru,name__fi,name__cy,name__cs,name__ga,name__zh,name__sh,name__uk,name__el,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__es,wikipedia__fi,wikipedia__ga,wikipedia__he,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__uk,wikipedia__zh,identifier__IMDB,identifier__OLID,website,twitter,identifier__FAST,name__eo,name__ro,name__af,name__la,name__ja,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__et,name__tr,name__an,name__ast,name__bar,name__br,name__ca,name__co,name__de_at,name__eu,name__frp,name__fur,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__ace,name__az,name__iu,name__sq,name__tw,name__bn,name__hi,name__hy,name__ko,name__ka,name__new,name__got,name__ml,name__ta,name__te,name__si,name__dsb,name__haw,name__hsb,name__ig,name__jv,name__nov,name__pdc,name__pih,name__tet,name__tl,name__tpi,name__war,name__nan,name__lv,name__wuu,name__sg,name__bcl,name__bm,name__ku,name__yue,name__yi,name__azb,name__bg,name__tt,wikipedia__ace,wikipedia__af,wikipedia__als,wikipedia__azb,wikipedia__az,wikipedia__bcl,wikipedia__bg,wikipedia__bm,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ca,wikipedia__dsb,wikipedia__enwikinews,wikipedia__eo,wikipedia__et,wikipedia__gl,wikipedia__got,wikipedia__haw,wikipedia__hsb,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__iu,wikipedia__ja,wikipedia__jv,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lv,wikipedia__ml,wikipedia__nn,wikipedia__nov,wikipedia__oc,wikipedia__pdc,wikipedia__pih,wikipedia__plwikiquote,wikipedia__pms,wikipedia__ro,wikipedia__sco,wikipedia__sg,wikipedia__sq,wikipedia__sw,wikipedia__tet,wikipedia__tl,wikipedia__tr,wikipedia__tt,wikipedia__tw,wikipedia__vi,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__ISNI,identifier__GND,identifier__BNF,identifier__FEC,instagram,facebook,wikipedia__mg,wikipedia__sk,name__lt,name__pag,wikipedia__cswikiquote,wikipedia__lt,wikipedia__itwikiquote,name__sr,wikipedia__sr,identifier__rotten_tomatoes,wikipedia__sl,identifier__SUDOC,name__vmf,identifier__NTA,wikipedia__eu,wikipedia__bar,name__be_tarask,name__be,name__bpy,name__ceb,name__fo,name__fy,name__ilo,name__ksh,name__lmo,name__mk,name__mn,name__mr,name__my,name__th,name__uz,name__vep,name__arz,wikipedia__an,wikipedia__arz,wikipedia__be_x_old,wikipedia__be,wikipedia__bpy,wikipedia__ceb,wikipedia__fo,wikipedia__fy,wikipedia__hr,wikipedia__ilo,wikipedia__ka,wikipedia__ksh,wikipedia__liwikiquote,wikipedia__lmo,wikipedia__mk,wikipedia__mn,wikipedia__mr,wikipedia__my,wikipedia__nds,wikipedia__nlwikiquote,wikipedia__ruwikinews,wikipedia__scn,wikipedia__si,wikipedia__ta,wikipedia__th,wikipedia__uz,wikipedia__vec,wikipedia__vep,wikipedia__viwikisource,identifier__NLA,identifier__NKC,identifier__SELIBR,identifier__Britannica,wikipedia__hy,wikipedia__slwikiquote,identifier__NUKAT,identifier__ULAN,electoral_district,identifier__MGP,name__tg_latn,name__sr_ec,name__tg,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,wikipedia__eswikiquote,wikipedia__tg,identifier__Munzinger,name__ps,wikipedia__ps,wikipedia__trwikiquote,name__bs,death_date,name__as,wikipedia__as,name__ckb,wikipedia__bswikiquote,wikipedia__ckb,identifier__NDL,wikipedia__frwikiquote,name__ur,name__dv,wikipedia__dv,wikipedia__frp,wikipedia__hi,wikipedia__kowikiquote,wikipedia__ptwikiquote,wikipedia__simplewikiquote,wikipedia__ur,identifier__CANTIC,name__am,wikipedia__am,name__ht,wikipedia__ht,identifier__AlloCine,identifier__allmovie,wikipedia__lb,identifier__NLAtrove,name__diq,wikipedia__te,identifier__GTAA,linkedin,wikipedia__ast,identifier__IIAF,name__simple,name__kn,name__pa,wikipedia__kn,wikipedia__pa,wikipedia__bgwikiquote,identifier__MusicBrainz,identifier__discogs,identifier__N6I,wikipedia__svwikiquote,wikipedia__nowikiquote,name__szl,wikipedia__fawikiquote,wikipedia__fiwikiquote,wikipedia__sc,wikipedia__skwikiquote,wikipedia__szl,wikipedia__zhwikiquote,name__no,identifier__NPG,identifier__dmoz,occupation,identifier__opensecrets,identifier__wikitree,identifier__CSPAN,identifier__ballotpedia,identifier__youtube,identifier__politifact,identifier__nyt_topic,wikipedia__tawikiquote,identifier__kinopoisk,wikipedia__azwikiquote,identifier__goodreads,identifier__GNC,identifier__britishmuseum,identifier__nlg,identifier__ne_se,identifier__SFDb,identifier__FJC_bio,wikipedia__hewikiquote,identifier__CiNii,name__ang,name__hak,name__kaa,wikipedia__ang,wikipedia__hak,wikipedia__kaa,identifier__BNE,identifier__google_plus,name__ty,second_surname,identifier__CONOR,wikipedia__ie,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__CSFD,identifier__DNF,name__bo,name__kk,name__pnb,name__sgs,name__qu,wikipedia__bat_smg,wikipedia__bo,wikipedia__dewikiquote,wikipedia__huwikiquote,wikipedia__ia,wikipedia__kk,wikipedia__new,wikipedia__pnb,wikipedia__qu,identifier__BiblioNet,identifier__TED,identifier__nobel_prize,wikipedia__ruwikiquote,name__eml,wikipedia__eml,identifier__google_knowledge,identifier__votesmart
Q1758631,"Alcee Hastings","Alcee Hastings","Alcee Hastings",male,1936-09-05,/m/02534d,H000324,069/000038952,https://upload.wikimedia.org/wikipedia/commons/3/37/Alcee_Hastings_Portrait_c111-112th_Congress.jpg,,,65530005,n87838575,"السی هستینگس","Alcee Hastings","السي هاستينغز",,"Alcee Hastings","Alcee Hastings","Alcee Hastings","Alcee Hastings","Alcee Hastings","Alcee Hastings","Alcee Hastings","Alcee Hastings","Alcee Hastings",,"السي هاستينغز","Alcee Hastings","السی هستینگس","Alcee Hastings","Alcee Hastings",,"Alcee Hastings","Alcee Hastings","Alcee L. Hastings",,"艾爾西·黑斯廷斯",,"艾尔西·黑斯廷斯",,,,,,"Alcee Hastings",,,,"阿爾賽·黑斯廷斯",,,,,,,,,,"Author:Alcee Lamar Hastings",,"Alcee Hastings",,,,,,,,,,,,,,http://alceehastings.house.gov,rephastingsfl,,,,,,"アルシー・ヘイスティングス",,,,,,,,,,,,,,,,,,,,,"Alcee Hastings",,,,,,,"Alcee Hastings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"앨시 헤이스팅스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"앨시 헤이스팅스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2FL23021,,95696782238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,N00002884,,,Alcee_L._Hastings,UCaXXiR3YjMuPIlIGRGNnm8A,alcee-hastings,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26798
Q177238,"Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres",male,1930-01-27,/m/03tdbj,T000316,969/000129582,https://upload.wikimedia.org/wikipedia/commons/0/09/Esteban_Edward_Torres.png,,Esteban,,,,"Esteban Edward Torres",,,,"Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres","Esteban Edward Torres",,,"Esteban Edward Torres",,,"Esteban Edward Torres",,,,"Esteban E. Torres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Esteban Edward Torres",,,,,,,"Esteban Edward Torres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1775679,"Connie Morella","Connie Morella","Connie Morella",female,1931-02-12,/m/041wnq,M000941,131/000052972,"https://upload.wikimedia.org/wikipedia/commons/2/2a/Constance_A._Morella,_US_Dept_of_State_photo_portrait.jpg",,Connie,268708361,no2012120487,,"Connie Morella",,,,"Connie Morella","Connie Morella","Connie Morella","Connie Morella","Connie Morella","Connie Morella","Connie Morella","Connie Morella",,,"Connie Morella",,,"Connie Morella",,,,"Constance A. Morella",,,,,,,,"Connie Morella",,"Connie Morella",,,,,,,,,,,,,,"Author:Constance Albanese Morella",,"Connie Morella",,,,,"Connie Morella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connie Morella",,,,,,,"Connie Morella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,constancemorella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1780222,"Paul Findley","Paul Findley","Paul Findley",male,1921-06-23,/m/08n5lc,F000123,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Paul_Findley.jpg,,Paul,112853675,n79054252,"پاول فایندلی","Paul Findley",,,,"Paul Findley","Paul Findley","Paul Findley","Paul Findley","Paul Findley","Paul Findley","Paul Findley","Paul Findley",,,"Paul Findley","پاول فایندلی","Paul Findley",,,,,"Paul Findley",,,,,,,,,"Пол Финдли",,,,,"保羅·芬德利",,,,,,,,,,,,,,,,"Paul Findley",,,,,"Paul Findley",,,,,,,35302,,,,,,,,,,,,,,,,,,,,,,,,,,"Paul Findley",,,,,,,"Paul Findley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000 0001 2148 126X",174064233,,,,,,,,,,,,,,,,11171575X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,paulfindley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q178632,"Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith",male,1941-04-25,/m/027lpj_,S000586,,https://upload.wikimedia.org/wikipedia/commons/4/4e/LJSmith.png,Smith,Lawrence,109935009,,"لارنس جی. اسمیت","Lawrence J. Smith",,,,"Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith","Lawrence J. Smith",,,"Lawrence J. Smith",,,,,,,"Lawrence J. Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence J. Smith",,,,,,,"Lawrence J. Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124985129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1790063,"Nick Smith","Nick Smith","Nick Smith (U.S. politician)",male,1934-11-05,/m/02d4cg,S000597,474/000040354,https://upload.wikimedia.org/wikipedia/commons/2/2b/Nick_Smith.jpg,Smith,Nick,4474269,no00041079,"نیک اسمیت","Nick Smith",,,,"Nick H. Smith","Nick Smith","Nick Smith","Nick Smith","Nick Smith","Nick Smith","Nick Smith","Nick Smith",,,"Nick H. Smith",,,,,,,"Nick Smith (United States)",,,,,,,,,"Ник Смит",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.nicksmithconsulting.com/,,1556166,,,,,,,,,,,,,,,,,,,,,,,,,,"Nick Smith",,,,,,,"Nick Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1791146,"Owen B. Pickett","Owen B. Pickett","Owen B. Pickett",male,1930-08-31,/m/0glct7,P000326,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Owen_Pickett_106th_Congress.jpg,,Owen,261290797,,,"Owen B. Pickett",,,,"Owen B. Pickett","Owen B. Pickett","Owen B. Pickett","Owen B. Pickett","Owen B. Pickett","Owen B. Pickett","Owen B. Pickett","Owen B. Pickett",,,"Owen B. Pickett",,,,,,,"Owen B. Pickett",,,,,,,"Owen B. Pickett",,,,"Owen B. Pickett",,,,,,,"Owen B. Pickett",,,,,,,,,,,,,,"Owen B. Pickett",,,,,,,,,,,,,,,,,,,,,,,,,,"Owen B. Pickett",,,,,,,,,,"Owen B. Pickett",,,,,,,"Owen B. Pickett",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q179150,"Sonny Bono","Sonny Bono","Sonny Bono",male,1935-02-16,/m/06wmp,B000622,053/000031957,https://upload.wikimedia.org/wikipedia/commons/b/b3/Sonny_Bono.jpg,,Sonny,211370,n91031405,"سونی بونو","Sonny Bono","سوني بونو",,,"Sonny Bono","Sonny Bono","Sonny Bono","Sonny Bono","Sonny Bono","Sonny Bono","Sonny Bono","Sonny Bono","סוני בונו","سوني بونو","Sonny Bono","سونی بونو","Sonny Bono","Sonny Bono",,"Sonny Bono",,"Sonny Bono",,"桑尼·波諾",,"桑尼·波诺",,,"Sonny Bono","Sonny Bono","Сонни Боно","Sonny Bono",,"Sonny Bono",,,"Sonny Bono","Сонні Боно",,,,,"Sonny Bono",,,,"Sonny Bono","Sonny Bono",,"סוני בונו","Sonny Bono","Sonny Bono","Sonny Bono","Sonny Bono","Боно, Сонни","Sonny Bono","Sonny Bono","Сонні Боно",,nm0095122,,,,287511,,"Sonny Bono",,,"ソニー・ボノ",,,,,,"Sonny Bono",,"Sonny Bono",,,,,,"Sonny Bono",,,,"Sonny Bono",,"Sonny Bono","Sonny Bono",,,,"Sonny Bono",,,"Sonny Bono",,,,,,,,,"Sonny Bono",,,,,,,,,,,,,,,,,,,,,,,,,"Սոննի Բոնո",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сони Боно",,,,,,,,"Сони Боно",,,,,,,,,,"Sonny Bono",,,,"Sonny Bono",,"Sonny Bono",,,,,,,,,,,,,,,,,"Sonny Bono",,,,,,,"Sonny Bono",,,,,,,,,,"0000 0000 8349 398X",119085607,140373047,,,,,,"Sonny Bono",,,"Sonny Bono",,,,celebrity/sonny_bono,,084121343,,,,,,,,,,"Sonny Bono",,,,,,,,,,,,,,,,,,,"Sonny Bono","Sonny Bono",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-05,,,,,,,,,,,,,,,,,a11663182,,,,,9194,p82419,,815475,,,,,"Sonny Bono",,,,,,,,c43d2302-02db-487b-b62d-8cb3c57f94c6,271967,,,,,,,,,,,,,,actor,,Bono-7,,,,,,,28081,,,,,,,67483,,,,,,,,,,XX1094146,,,,,,137505,170938,13551,212531,13030,,,,,,,,,,,,,,,,,,,,,,
Q1792585,"Webb Franklin","Webb Franklin","Webb Franklin",male,1941-12-13,/m/02rtq_v,F000347,,https://upload.wikimedia.org/wikipedia/commons/f/fb/Webb_Franklin.png,,Webb,254936824,,"وب فرانکلین","Webb Franklin",,,,"Webb Franklin","Webb Franklin","Webb Franklin","Webb Franklin","Webb Franklin","Webb Franklin","Webb Franklin","Webb Franklin",,,"Webb Franklin",,,,,,,"Webb Franklin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Webb Franklin",,,,,,,"Webb Franklin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1794112,"Tom Lewis","Tom Lewis","Tom Lewis (American politician)",male,1924-10-26,/m/026x676,L000295,381/000140958,https://upload.wikimedia.org/wikipedia/commons/b/b9/Congressman_Tom_Lewis.jpg,Lewis,Tom,,,"تام لوئیس","Tom Lewis",,,,"Tom Lewis","Tom Lewis","Tom Lewis","Tom Lewis","Tom Lewis","Tom Lewis","Tom Lewis","Tom Lewis",,,"Tom Lewis (Politiker)",,,"Tom Lewis (politico)",,,,"Tom Lewis (American politician)",,,,,,,,,"Том Льюис",,"Tom Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tom Lewis",,,,,,,"Tom Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q179732,"Nathan Deal","Nathan Deal","Nathan Deal",male,1942-08-25,/m/0255js,D000168,870/000036762,"https://upload.wikimedia.org/wikipedia/commons/e/e7/Nathan_Deal,_official_110th_Congress_photo.jpg",,Nathan,31652786,no2001086473,"ناتان دیل","Nathan Deal",,,,"Nathan Deal","Nathan Deal","Nathan Deal","Nathan Deal","Nathan Deal","Nathan Deal","Nathan Deal","Nathan Deal","נתן דייל",,"Nathan Deal","ناتان دیل","Nathan Deal","Nathan Deal",,"Nathan Deal",,"Nathan Deal",,"內森·迪爾",,"内森·迪尔",,,"Nathan Deal","Nathan Deal","Дил, Натан",,,,,"南森·迪爾",,"Натан Діл",,"Category:Nathan Deal",,,"Nathan Deal",,"Nathan Deal",,"Nathan Deal",,,,"Nathan Deal","Nathan Deal","Nathan Deal","Nathan Deal","Дил, Натан",,"Nathan Deal","Натан Діл","南森·迪爾",,,,,1780437,,,,,"ネイサン・ディール",,,,,,,,,,,,,,,,,,,,,"Nathan Deal",,,,,,,"Nathan Deal",,,,,,,,,,,,,,,,,,,,,"Nathan Deal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nathan Deal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nathan Deal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nathan Deal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Deal-940,,,,nathan-deal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1798732,"Les AuCoin","Les AuCoin","Les AuCoin",male,1942-10-21,/m/08g68c,A000337,959/000129572,https://upload.wikimedia.org/wikipedia/commons/9/9f/Lesaucoin_improved.jpg,,Les,60406148,n81083371,,"Les AuCoin",,,,"Les AuCoin","Les AuCoin","Les AuCoin","Les AuCoin","Les AuCoin","Les AuCoin","Les AuCoin","Les AuCoin",,,"Les AuCoin",,,,,,,"Les AuCoin",,,,,,,,"Les AuCoin",,,,,,"萊斯·奧庫安",,,,,,,,,,,,,,,,,"Les AuCoin",,,,,,,,,,,76520,,,,,,,,,,,,,,,,,,,,,,,,,,"Les AuCoin",,,,,,,"Les AuCoin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q180390,"Tom DeLay","Tom DeLay","Tom DeLay",male,1947-04-08,/m/01fnd0,D000217,111/000026033,https://upload.wikimedia.org/wikipedia/commons/0/01/TomDeLay.jpg,,Tom,1114395,n97062273,,"Tom DeLay",,,,"Tom DeLay","Tom DeLay","Tom DeLay","Tom DeLay","Tom DeLay","Tom DeLay","Tom DeLay","Tom DeLay",,,"Tom DeLay",,"Tom DeLay",,,"Tom DeLay",,"Tom DeLay",,"湯姆·迪萊",,"汤姆·德雷",,,,"Tom DeLay",,"Tom DeLay",,,,"湯姆·迪萊","Tom DeLay",,,,,,,,"Tom DeLay",,"Tom DeLay","Tom DeLay",,,"Tom DeLay","Tom DeLay","Tom DeLay",,,"Tom DeLay",,,,,,,,393412,,,,,"トム・ディレイ",,,,,,,,,,,,,,,,,,,,,"Tom DeLay",,,,,,,"Tom DeLay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"トム・ディレイ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000 0000 5542 7192",130256927,,,,,,,,,,,,,,,,090214781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,tomdelay,,,tom-delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18045052,"Seth Moulton","Seth Moulton","Seth Moulton",male,1978-10-24,/m/0sgh587,M001196,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Seth_Moulton.jpg,,Seth,,,,"Seth Moulton",,,,"Seth Moulton","Seth Moulton",,"Seth Moulton","Seth Moulton",,,,,,"Seth Moulton",,"Seth Moulton","Seth Moulton",,,,"Seth Moulton",,,,,,,,,,,,,,"塞斯·穆爾頓",,,,,,,,,,,,,,,,,,,,,,,"塞斯·穆爾頓",,,http://moulton.house.gov/,teammoulton,,,,,,"セス・モールトン",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H4MA06090,,CongressmanSethMoulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,N00035431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146299
