id,position,label,description,start_date,end_date,constituency,election,term,replaces,replaced_by
Q20987501,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987503,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987504,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987514,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q20987515,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q2117016,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q259229,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q2903801,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",1989-02-15,1994-08-16,Matara Electoral District,"Sri Lankan parliamentary election, 1989",,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",1994-08-16,2000-10-10,Matara Electoral District,"Sri Lankan parliamentary election, 1994",,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Matara Electoral District,"Sri Lankan parliamentary election, 2000",,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Matara Electoral District,"Sri Lankan parliamentary election, 2001",,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Matara Electoral District,"Sri Lankan parliamentary election, 2004",,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Matara Electoral District,"Sri Lankan parliamentary election, 2010",,,
Q3285700,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Matara Electoral District,"Sri Lankan parliamentary election, 2015",,,
Q3285700,Q4294928,Minister of Foreign Affairs of Sri Lanka,Minister of Foreign Affairs in Sri Lanka,2005-11-23,2007-01-28,,,,Anura Bandaranaike,Rohitha Bogollagama
Q3285700,Q4294928,Minister of Foreign Affairs of Sri Lanka,Minister of Foreign Affairs in Sri Lanka,2015-01-12,2017-05-22,,,,G. L. Peiris,Ravi Karunanayake
Q3285700,Q6866137,Minister of Finance of Sri Lanka,"",2017-05-22,,,,,Ravi Karunanayake,
Q3522572,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q3529157,Q17070479,Ministry of Buddhasasana and Religious Affairs,"",2017-08-25,,,,,Wijeyadasa Rajapakshe,
Q3529157,Q18964938,Member of the Parliament of Sri Lanka,"",1994-08-16,2000-10-10,Kurunegala Electoral District,"Sri Lankan parliamentary election, 1994",10th Sri Lankan Parliament,,
Q3529157,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Kurunegala Electoral District,"Sri Lankan parliamentary election, 2000",11th Sri Lankan Parliament,,
Q3529157,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Kurunegala Electoral District,"Sri Lankan parliamentary election, 2001",12th Sri Lankan Parliament,,
Q3529157,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Kurunegala Electoral District,"Sri Lankan parliamentary election, 2004",13th Sri Lankan Parliament,,
Q3529157,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Kurunegala Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q3529157,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Kurunegala Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q3529190,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q3529195,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q3529279,Q16056501,Ministry of Transport,Transport Ministry in Sri Lanka,2015-09-04,,,,,R. M. Ranjith Madduma Bandara,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",1989-02-15,1994-08-16,Colombo Electoral District,"Sri Lankan parliamentary election, 1989",9th Sri Lankan Parliament,,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",1994-08-16,2000-10-10,Colombo Electoral District,"Sri Lankan parliamentary election, 1994",10th Sri Lankan Parliament,,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Badulla Electoral District,"Sri Lankan parliamentary election, 2000",11th Sri Lankan Parliament,,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Badulla Electoral District,"Sri Lankan parliamentary election, 2001",12th Sri Lankan Parliament,,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Badulla Electoral District,"Sri Lankan parliamentary election, 2004",13th Sri Lankan Parliament,,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Badulla Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q3529279,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Badulla Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q3529279,Q4377233,Leader of the Opposition,parliamentary position of Sri Lanka,2015-01-16,2015-06-26,,,,Ranil Wickremesinghe,R. Sampanthan
Q3529294,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q3536605,Q18964938,Member of the Parliament of Sri Lanka,"",1994-08-16,2000-10-10,Jaffna Electoral District,"Sri Lankan parliamentary election, 1994",10th Sri Lankan Parliament,,
Q3536605,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Jaffna Electoral District,"Sri Lankan parliamentary election, 2000",11th Sri Lankan Parliament,,
Q3536605,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Jaffna Electoral District,"Sri Lankan parliamentary election, 2001",12th Sri Lankan Parliament,,
Q3536605,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Jaffna Electoral District,"Sri Lankan parliamentary election, 2004",13th Sri Lankan Parliament,,
Q3536605,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Jaffna Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q3536605,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Jaffna Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q369958,Q121998,ambassador,diplomatic envoy,"",,,,,,
Q369958,Q16152199,Ministry of Public Administration and Home Affairs,"",2007-01-28,2008-12-09,,,,Sarath Amunugama,Sarath Amunugama
Q369958,Q17070479,Ministry of Buddhasasana and Religious Affairs,"",2015-01-12,2015-08-17,,,,D. M. Jayaratne,Wijeyadasa Rajapakshe
Q369958,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Gampaha Electoral District,"Sri Lankan parliamentary election, 2000",,,
Q369958,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Gampaha Electoral District,"Sri Lankan parliamentary election, 2001",,,
Q369958,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Gampaha Electoral District,"Sri Lankan parliamentary election, 2004",,,
Q369958,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Gampaha Electoral District,"Sri Lankan parliamentary election, 2010",,,
Q369958,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,National List Member of Parliament,"Sri Lankan parliamentary election, 2015",,,
Q369958,Q3811146,Speaker of the Parliament of Sri Lanka,"",2015-09-01,,,,,Chamal Rajapaksa,
Q369958,Q4294848,Ministry of Power and Energy,"",2001-12-12,2004-04-10,,,,Anuruddha Ratwatte,Susil Premajayanth
Q369958,Q6797692,Mayor of Colombo,Mayor of (and head of) the Colombo Municipal Council,1997-03,1999,,,,K. Ganeshalingam,Omer Kamil
Q4375826,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4647665,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4647836,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4647836,Q29057378,Minister of Transport,Transport Minister in Sri Lanka,"",,,,,,
Q469019,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4699823,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4701001,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4724647,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4769914,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4777855,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4802068,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4815695,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q4984196,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5049419,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5069953,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5071087,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5071426,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5071469,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5203729,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5243072,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5276665,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5276822,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5278077,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5313444,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5313444,Q29057378,Minister of Transport,Transport Minister in Sri Lanka,"",,,,,,
Q5315031,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5343207,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5384869,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5431107,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5520215,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5528711,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5529975,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5628404,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q5673820,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q57338,Q16056500,Ministry of Fisheries and Aquatic Resources Development,"",1997,2001,,,,,
Q57338,Q1758894,Prime Minister of Sri Lanka,"",2004-04-06,2005-11-19,,,,Ranil Wickremesinghe,Ratnasiri Wickremanayake
Q57338,Q18964938,Member of the Parliament of Sri Lanka,"",1970-05-27,1977-07-21,Beliatta Electoral District,,,D. P. Atapattu,Ranjit Atapattu
Q57338,Q18964938,Member of the Parliament of Sri Lanka,"",1989-02-15,2005-11-19,Hambantota Electoral District,,,,
Q57338,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Kurunegala Electoral District,,,,
Q57338,Q2914380,President of Sri Lanka,"",2005-11-19,2015-01-09,,,,Chandrika Kumaratunga,Maithripala Sirisena
Q57338,Q4377233,Leader of the Opposition,parliamentary position of Sri Lanka,2002-02-06,2004-04-02,,,,Ratnasiri Wickremanayake,Ranil Wickremesinghe
Q57338,Q5153709,Commonwealth Chairperson-in-Office,"",2013-11-15,2015-01-09,,,,Tony Abbott,Maithripala Sirisena
Q57338,Q6866137,Minister of Finance of Sri Lanka,"",2005-11-23,2015-01-09,,,,Sarath Amunugama,Ravi Karunanayake
Q6024847,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6218893,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6257296,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6268633,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6324127,Q18964938,Member of the Parliament of Sri Lanka,"",2002-06-05,2004-04-02,National List Member of Parliament,,,M. Sivasithamparam,
Q6324127,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Trincomalee Electoral District,"Sri Lankan parliamentary election, 2004",,,
Q6324127,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,National List Member of Parliament,"Sri Lankan parliamentary election, 2015",,,
Q6344208,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6383477,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6443523,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6443523,Q29057378,Minister of Transport,Transport Minister in Sri Lanka,"",,,,,,
Q6479833,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6712364,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,National List Member of Parliament,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q6712364,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Jaffna Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q6712623,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6713116,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6734019,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6734031,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6753220,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6796853,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6893552,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q6943865,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7034203,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7117620,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7127628,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7127630,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7155896,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7238464,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7273831,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7273831,Q29057378,Minister of Transport,Transport Minister in Sri Lanka,"",,,,,,
Q7273981,Q18964938,Member of the Parliament of Sri Lanka,"",1977-07-21,1989-02-15,Trincomalee Electoral District,"Sri Lankan parliamentary election, 1977",,,
Q7273981,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Trincomalee Electoral District,"Sri Lankan parliamentary election, 2001",,,
Q7273981,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Trincomalee Electoral District,"Sri Lankan parliamentary election, 2004",,,
Q7273981,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Trincomalee Electoral District,"Sri Lankan parliamentary election, 2010",,,
Q7273981,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Trincomalee Electoral District,"Sri Lankan parliamentary election, 2015",,,
Q7273981,Q4377233,Leader of the Opposition,parliamentary position of Sri Lanka,2015-09-03,,,,,Nimal Siripala de Silva,
Q7286178,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7289433,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7293104,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7293179,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7293188,Q18964938,Member of the Parliament of Sri Lanka,"","",,,,,,
Q7296130,Q16056498,Minister of Justice,Justice Minister in Sri Lanka,2010-11-22,2014-12-28,,,,Athauda Seneviratne,Wijeyadasa Rajapakshe
Q7296130,Q18204441,Ministry of Postal Services,"",2007-01-28,2007-12-16,,,,D. M. Jayaratne,Jeewan Kumaranatunga
Q7296130,Q18345416,Ministry of Water Supply and Drainage,"",2015-01-12,,,,,Dinesh Gunawardena,
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",1994-08-16,2000-10-10,National List Member of Parliament,"Sri Lankan parliamentary election, 1994",10th Sri Lankan Parliament,,
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Kandy Electoral District,"Sri Lankan parliamentary election, 2000",11th Sri Lankan Parliament,,
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Kandy Electoral District,"Sri Lankan parliamentary election, 2001",12th Sri Lankan Parliament,,
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2008-07,Ampara Electoral District,"Sri Lankan parliamentary election, 2004",13th Sri Lankan Parliament,,A. M. M. Naushad
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",2008-07,2010-04-08,National List Member of Parliament,,13th Sri Lankan Parliament,Basheer Segu Dawood,
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Kandy Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q7296130,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Kandy Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q7296640,Q18964938,Member of the Parliament of Sri Lanka,"",1994-08-16,2000-10-10,National List Member of Parliament,"Sri Lankan parliamentary election, 1994",,,
Q7296640,Q18964938,Member of the Parliament of Sri Lanka,"",2000-10-10,2001-12-05,Colombo Electoral District,"Sri Lankan parliamentary election, 2000",11th Sri Lankan Parliament,,
Q7296640,Q18964938,Member of the Parliament of Sri Lanka,"",2001-12-05,2004-04-02,Colombo Electoral District,"Sri Lankan parliamentary election, 2001",12th Sri Lankan Parliament,,
Q7296640,Q18964938,Member of the Parliament of Sri Lanka,"",2004-04-02,2010-04-08,Colombo Electoral District,"Sri Lankan parliamentary election, 2004",13th Sri Lankan Parliament,,
Q7296640,Q18964938,Member of the Parliament of Sri Lanka,"",2010-04-08,2015-08-17,Colombo Electoral District,"Sri Lankan parliamentary election, 2010",14th Sri Lankan Parliament,,
Q7296640,Q18964938,Member of the Parliament of Sri Lanka,"",2015-08-17,,Colombo Electoral District,"Sri Lankan parliamentary election, 2015",15th Sri Lankan Parliament,,
Q7296640,Q4294928,Minister of Foreign Affairs of Sri Lanka,Minister of Foreign Affairs in Sri Lanka,2017-05-22,2017-08-10,,,,Mangala Samaraweera,Tilak Marapana
Q7296640,Q6866137,Minister of Finance of Sri Lanka,"",2015-01-12,2017-05-22,,,,Mahinda Rajapaksa,Mangala Samaraweera
