id,name__bn,name__en,name__de,name__fr,name,wikipedia__bn,wikipedia__en,gender,occupation,birth_date,death_date,original_wikiname,name__id,name__uk,name__nl,name__es,name__pt,name__cy,name__hu,name__hi,wikipedia__de,wikipedia__fr,wikipedia__hi,wikipedia__id,wikipedia__pt,wikipedia__uk,image,identifier__freebase,identifier__VIAF,identifier__LCAuth,identifier__FAST,given_name,name__tr,name__ur,name__zh,wikipedia__tr,wikipedia__ur,name__ru,name__ja,wikipedia__ru,wikipedia__es,name__en_ca,name__en_gb,name__af,name__ar,name__bpy,name__da,name__de_ch,name__el,name__eo,name__et,name__fa,name__fi,name__he,name__io,name__it,name__ka,name__kn,name__mg,name__mr,name__ms,name__my,name__oc,name__pl,name__pt_br,name__sr,name__sv,name__ta,name__vep,name__yo,name__be,name__nb,name__su,name__nn,name__ca,name__ko,name__sco,name__qu,name__la,name__ml,name__pa,name__te,name__cs,name__ne,name__hy,name__sk,name__sd,name__zh_hant,name__zh_cn,name__eu,name__mai,name__as,wikipedia__af,wikipedia__ar,wikipedia__as,wikipedia__ba,wikipedia__be,wikipedia__bpy,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__et,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__he,wikipedia__hy,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__la,wikipedia__mai,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pa,wikipedia__pl,wikipedia__plwikiquote,wikipedia__qu,wikipedia__sco,wikipedia__sd,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__su,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__vep,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__BNF,identifier__SUDOC,name__nds,name__xmf,name__ro,name__th,name__vi,wikipedia__ro,wikipedia__th,wikipedia__vi,wikipedia__xmf,family_name,identifier__IMDB,identifier__MusicBrainz,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__gl,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__kk,wikipedia__gl,wikipedia__kk,identifier__GTAA,wikipedia__trwikiquote,website,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lb,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__NTA
Q15837138,,,"Nurul Islam Sujan","Nurul Islam Sujan","Nurul Islam Sujan",,,male,politician,1956-01-05,,"Nurul Islam Sujan",,,,,,,,,"Nurul Islam Sujan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15841687,,"Ramesh Chandra Sen","Ramesh Chandra Sen","Ramesh Chandra Sen","Ramesh Chandra Sen",,"Ramesh Chandra Sen",male,politician,1940-04-30,,"Ramesh Chandra Sen",,,"Ramesh Chandra Sen",,,,,,"Ramesh Chandra Sen",,,,,,,,,,,Ramesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16058009,"আবুল হাসান মাহমুদ আলী","Abul Hassan Mahmud Ali","Abul Hassan Mahmud Ali","Abul Hassan Mahmud Ali","Abul Hassan Mahmud Ali",,"Abul Hassan Mahmud Ali",male,ambassador,1943-06-02,,"Abul Hassan Mahmud Ali",,,"Abul Hassan Mahmud Ali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abul Hassan Mahmud Ali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Abul Hassan Mahmud Ali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16148957,,"Syed Abul Hossain","Syed Abul Hossain","Syed Abul Hossain","Syed Abul Hossain",,"Syed Abul Hossain",male,,1951-08-01,,"Syed Abul Hossain",,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Syed_Abul_Hossain.jpg,,,,,Syed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16150078,,"Ilias Ali","Ilias Ali","Ilias Ali","Ilias Ali",,"Ilias Ali",male,,1961,,"Ilias Ali",,,"Ilias Ali",,,,,,,,,,,,,,,,,Ilias,,,,,,,,,,,,,,,,,,,,,,,,"Ilias Ali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16215057,"Barrister Andaleeve Rahman","Andaleeve Rahman",,"Andaleeve Rahman","Andaleeve Rahman",,"Andaleeve Rahman",male,politician,1974-04-20,,"Andaleeve Rahman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andaleeve Rahman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16345310,"খুরশীদ জাহান হক","Khurshid Jahan","Khurshid Jahan","Khurshid Jahan","Khurshid Jahan","খুরশীদ জাহান হক","Khurshid Jahan",female,politician,1939-08-11,2006-06-14,"Khurshid Jahan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16346295,"মেহের আফরোজ চুমকি","Meher Afroz Chumki",,,"Meher Afroz Chumki","মেহের আফরোজ চুমকি","Meher Afroz Chumki",female,,,,"Meher Afroz Chumki",,,"Meher Afroz Chumki",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/74/Meher_Afroz_Chumki_-_Kolkata_2016-02-02_0547.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732958,,"Muhammad Hasan Mahmud",,,"Muhammad Hasan Mahmud",,"Muhammad Hasan Mahmud",male,politician,1963-06-05,,"Muhammad Hasan Mahmud",,,,,,,,,,,,,,,,,,,,Muhammad,,,,,,,,,,,,,,,,,,,,,,,,"Muhammad Hasan Mahmud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q174381,"হুমায়ূন রশীদ চৌধুরী","Humayun Rashid Choudhury","Humayun Rasheed Choudhury","Humayun Rashid Choudhury","Humayun Rashid Choudhury","হুমায়ূন রশীদ চৌধুরী","Humayun Rashid Choudhury",male,diplomat,1928-11-11,2001-07-10,"Humayun Rashid Choudhury",,,"Humayun Rashid Choudhury","Humayun Rashid Choudhury",,"Humayun Rashid Choudhury",,"हुमायूँ राशिद चौधरी","Humayun Rasheed Choudhury",,"हुमायूँ राशिद चौधरी",,,,,,,,,,,,,,,"Чоудхури, Хумаюн","フマユン・R・チョウドリー","Чоудхури, Хумаюн",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Humayun Rasheed Choudhury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Humayun Rasheed Choudhury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Humayun Rashid Choudhury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18210454,,"Syed Abdullah Muhammad Taher","Syed Abdullah Muhammad Taher","Syed Abdullah Muhammad Taher","Syed Abdullah Muhammad Taher",,"Syed Abdullah Muhammad Taher",male,politician,1958,,"Syed Abdullah Muhammad Taher",,,"Syed Abdullah Muhammad Taher",,,,,,,,,,,,,,,,,Syed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18534461,"মীর কাসেম আলী","Mir Quasem Ali","Mir Quasem Ali","Mir Quasem Ali","Mir Quasem Ali","মীর কাসেম আলী","Mir Quasem Ali",male,,1952,2016-09-03,"Mir Quasem Ali",,,,,,,,,"Mir Quasem Ali",,,,,,,,,,,,"Mir Kasım Ali","میر قاسم علی","米爾·卡西姆·阿里","Mir Kasım Ali","میر قاسم علی",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20093720,"শেখ রাজ্জাক আলী","Sheikh Razzak Ali","Sheikh Razzak Ali","Sheikh Razzak Ali","Sheikh Razzak Ali","শেখ রাজ্জাক আলী","Sheikh Razzak Ali",male,politician,1928-08-28,2015-06-07,"Sheikh Razzak Ali",,,"Sheikh Razzak Ali","Sheikh Razzak Ali",,"Sheikh Razzak Ali","Sheikh Razzak Ali","शेख रज्जाक अली",,,"शेख रज्जाक अली",,,,https://upload.wikimedia.org/wikipedia/commons/1/11/Sheikh_Razzak_Ali.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20728058,"তারানা হালিম","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","তারানা হালিম","Tarana Halim",female,actor,1966-08-16,,"তারানা হালিম","Tarana Halim",,"Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Tarana_Halim_(cropped).jpg,,,,,,,,,,,,,,,"Tarana Halim","Tarana Halim","Tarana Halim",,,"Tarana Halim","Tarana Halim",,"Tarana Halim","Tarana Halim",,"Tarana Halim",,"Tarana Halim","Tarana Halim",,,"Tarana Halim",,"Tarana Halim",,"Tarana Halim","Tarana Halim","Tarana Halim",,"Tarana Halim",,,,,"Tarana Halim",,"Tarana Halim","Tarana Halim",,"Tarana Halim",,,,,,"Tarana Halim",,,"Tarana Halim",,,,"Tarana Halim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tarana Halim",,"Tarana Halim",,"Tarana Halim",,,,,,nm7428868,,,,,,"Tarana Halim",,,,,,,,,,,,,"Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim","Tarana Halim",
Q21872307,"নাহিম রাজ্জাক","Nahim Razzaq",,,"Nahim Razzaq","নাহিম রাজ্জাক","Nahim Razzaq",male,,1981-02-07,,"নাহিম রাজ্জাক",,,"Nahim Razzaq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21873781,"নসরুল হামিদ","Nasrul Hamid",,,"Nasrul Hamid","নসরুল হামিদ","Nasrul Hamid",male,,1964-11-13,,"নসরুল হামিদ",,,"Nasrul Hamid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22003640,,"Chitra Bhattacharya",,,"Chitra Bhattacharya",,"Chitra Bhattacharya",female,,1926,2010-11-29,"Chitra Bhattacharya",,,"Chitra Bhattacharya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23008529,,"Anjuman Ara Jamil",,,"Anjuman Ara Jamil",,"Anjuman Ara Jamil",female,,1938,2012-11-29,"Anjuman Ara Jamil",,,"Anjuman Ara Jamil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
