id,name,name__es,name__en,name__fr,name__hu,name__nl,name__de,gender,occupation,given_name,original_wikiname,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__he,name__tr,name__it,name__cs,name__ar,name__zh,name__eo,name__nb,name__da,name__nn,name__sv,name__mg,wikipedia__ar,wikipedia__cs,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__es,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__mg,wikipedia__pl,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__zh,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,image,twitter,family_name,second_surname,name__cy,name__gn,name__sw,wikipedia__commons,wikipedia__sw,name__en_ca,name__en_gb,name__ca,wikipedia__ca,website,facebook,name__gl,name__fa,wikipedia__fa,wikipedia__gl,wikipedia__nl,name__el,name__ru,name__eu,identifier__NTA,instagram,identifier__LCAuth,identifier__SUDOC,identifier__IMDB,identifier__cinenacional,name__be,name__br,name__co,name__et,name__fi,name__hr,name__lt,name__lv,name__oc,name__pcd,name__ro,name__sk,name__sr_el,name__vec,name__vi,name__vls,name__vo,name__wa,wikipedia__oc,wikipedia__eswikisource,name__uk,wikipedia__uk,identifier__quora,name__id,name__ja,name__mr,wikipedia__da,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__lt,wikipedia__mr,wikipedia__no,wikipedia__ru,wikipedia__sv,identifier__google_knowledge,identifier__bna,name__de_ch,name__pt_br,wikipedia__sk,identifier__ATP,identifier__ITF,name__ast,death_date,name__af,name__an,name__bar,name__bm,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__vmf,name__wo,name__zu,name__hy,identifier__FAST,name__la,wikipedia__la,identifier__BNF,identifier__ssrn,identifier__ISNI,identifier__SBN_it,wikipedia__eu,identifier__BNE,linkedin,identifier__youtube,name__sl,wikipedia__sl,name__bs,name__eml,name__fo,name__frr,name__is,name__sh,name__sq
Q16300926,"Josefina González","Josefina González","Josefina González","Josefina González","Josefina González","Josefina González","Josefina González",female,politician,Josefina,"Josefina González",,,,,,,,,,,,,,,,,,,,,,,,,,,"Josefina González",,,,,,,,,,,,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16301672,"Mario Negri","Mario Negri","Mario Negri","Mario Negri","Mario Negri","Mario Negri","Mario Negri",male,politician,Mario,,,,,,,,,,,,,"Mario Negri",,,"馬里奧·內格里",,,,,,,,,,"Mario Negri",,"Mario Negri",,,,,,,,,,,,,,,1954-02-06,,https://upload.wikimedia.org/wikipedia/commons/6/64/Mnegri_medium.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16301760,"Silvia Risko","Silvia Risko","Silvia Risko","Silvia Risko","Silvia Risko","Silvia Risko","Silvia Risko",female,politician,Silvia,"Silvia Risko",,,,,,,,,,,,,,,,,,,,,,,,,,,"Silvia Risko",,,,,,,,,,,,,,,1966-04-06,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Srisko.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16302129,"Federico Sturzenegger","Federico Sturzenegger","Federico Sturzenegger","Federico Sturzenegger","Federico Sturzenegger","Federico Sturzenegger","Federico Sturzenegger",male,politician,Federico,"Federico Sturzenegger",,,"費德里科·施圖爾辛格",,"费德里科·施图尔辛格",,,,,,,,,,,,"Federico Sturzenegger",,,,,,,"Federico Sturzenegger","Federico Sturzenegger",,"Federico Sturzenegger",,,"Federico Sturzenegger",,,,,,,,,,10005208,170944190,1966-02-11,/m/010qjl5b,https://upload.wikimedia.org/wikipedia/commons/9/99/Federico_Sturzenegger.JPG,fedesturze,,,,,,"Category:Federico Sturzenegger",,,,,,,federico.sturzenegger,,,,,,,,,,,no92019623,050229427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Federico Sturzenegger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520285m,215453,,,,,,,,,,,,,,,
Q16566094,"Facundo Moyano","Facundo Moyano","Facundo Moyano","Facundo Moyano","Facundo Moyano","Facundo Moyano","Facundo Moyano",male,politician,Facundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Facundo Moyano",,,,,,,,,,,,,,,1984-12-25,,"https://upload.wikimedia.org/wikipedia/commons/4/48/Facundo_Moyano_posa_junto_a_dos_niños.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16605530,"Mauricio Gómez Bull","Mauricio Gómez Bull","Mauricio Gómez Bull","Mauricio Gómez Bull","Mauricio Gómez Bull","Mauricio Gómez Bull","Mauricio Gómez Bull",male,journalist,Mauricio,"Mauricio Gómez Bull",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mauricio Gómez Bull",,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/1/19/CFK_sobre_la_construcción_de_represas_en_Sta_Cruz.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16913151,"Sandra Mendoza","Sandra Mendoza","Sandra Mendoza","Sandra Mendoza","Sandra Mendoza","Sandra Mendoza","Sandra Mendoza",female,politician,Sandra,"Sandra Mendoza","Sandra Mendoza",,,,,,,,,,,"Sandra Mendoza",,,,,,,,,,,,,,,"Sandra Mendoza",,,,,,,,,,,,,,,1963-04-20,,,,,,,,,,,,,"Sandra Mendoza",,,,"Sandra Mendoza",,,,,,"Сандра Мендоза",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1710644,"Juan Schiaretti","Juan Schiaretti","Juan Schiaretti","Juan Schiaretti","Juan Schiaretti","Juan Schiaretti","Juan Schiaretti",male,politician,Juan,"Juan Schiaretti","Juan Schiaretti",,,,,,,,,,,"Juan Schiaretti",,,,,"Juan Schiaretti","Juan Schiaretti","Juan Schiaretti","Juan Schiaretti",,,,"Juan Schiaretti","Juan Schiaretti",,"Juan Schiaretti",,"Juan Schiaretti",,,,,,,,,,,,,1949-06-19,/m/03g_m9d,https://upload.wikimedia.org/wikipedia/commons/e/e7/Juan_Schiaretti_(cropped).jpg,,,,,,,,,,,"Juan Schiaretti",,,,"Juan Schiaretti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17477925,"Miguel Ángel Bazze","Miguel Ángel Bazze","Miguel Ángel Bazze","Miguel Ángel Bazze","Miguel Ángel Bazze","Miguel Ángel Bazze","Miguel Ángel Bazze",male,politician,Miguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miguel Ángel Bazze",,,,,,,,,,,,,,,1955-04-30,,https://upload.wikimedia.org/wikipedia/commons/f/f0/DiputadoMiguelBazze.jpg,BAZZEMIGUEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17612351,"Eduardo Cáceres Lehnhoff","Eduardo Cáceres Lehnhoff","Eduardo Cáceres","Eduardo Cáceres","Eduardo Cáceres Lehnhoff","Eduardo Cáceres","Eduardo Cáceres",male,politician,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,"Eduardo Cáceres",,"Eduardo Cáceres Lehnhoff",,,,,,,,,,,,,,,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"エドゥアルド・カセレス",,,,,,,,,,,,,,,,,,,,1980-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17624215,"Pablo Tonelli","Pablo Tonelli","Pablo Tonelli","Pablo Tonelli","Pablo Tonelli","Pablo Tonelli","Pablo Tonelli",male,lawyer,Pablo,,,,,,,,,,,,,"Pablo Tonelli",,,,,,,,,,,,,,,"Pablo Tonelli",,,,,,,,,,,,,,,1954-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17635652,"Juan Casañas","Juan Casañas","Juan Casañas","Juan Casañas","Juan Casañas","Juan Casañas","Juan Casañas",male,politician,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juan Casañas",,,,,,,,,,,,,,,1963-04-30,,,JuanCasanas1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18224545,"Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin",male,lawyer,Pablo,"Pablo Javkin","Pablo Javkin",,,,,,,"Pablo Javkin",,,"Pablo Javkin","Pablo Javkin","Pablo Javkin",,,"Pablo Javkin",,"Pablo Javkin","Pablo Javkin","Pablo Javkin",,,,,,,"Pablo Javkin",,,,,,,,,,,,,,,1971-11-19,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Pablo_Javkin1.jpeg,,,,"Pablo Javkin",,,,,,,"Pablo Javkin",,,,,,,,,,,"Pablo Javkin",,,,,,,,"Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin","Pablo Javkin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18224934,"Cornelia Schmidt-Liermann","Cornelia Schmidt-Liermann","Cornelia Schmidt-Liermann","Cornelia Schmidt-Liermann","Cornelia Schmidt-Liermann","Cornelia Schmidt-Liermann","Cornelia Schmidt-Liermann",female,politician,Cornelia,,"Cornelia Schmidt-Liermann",,,,,,,,,,,"Cornelia Schmidt-Liermann",,,,,,,,,,,,,"Cornelia Schmidt-Liermann",,"Cornelia Schmidt-Liermann",,,,,,,,,,,,,,,1963-11-06,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Diputada_Cornelia_Schmidt-Liermann.png,,,,,,,,,,,"Cornelia Schmidt-Liermann",,,,"Cornelia Schmidt-Liermann",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20012995,"Alfredo Olmedo","Alfredo Olmedo","Alfredo Olmedo","Alfredo Olmedo","Alfredo Olmedo","Alfredo Olmedo","Alfredo Olmedo",male,politician,Alfredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alfredo Olmedo",,,,,,,,,,,,,,,1965-12-05,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Alfredo_Olmedo.jpg,olmedooficial,,,,,,,,,,,,,alfredo.h.olmedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20015252,"Patricia Giménez","Patricia Giménez","Patricia Giménez","Patricia Giménez","Patricia Giménez","Patricia Giménez","Patricia Giménez",female,politician,Patricia,"Patricia Giménez","Patricia Giménez",,,,,,,,,,,"Patricia Giménez",,,,,,,,,,,,,,,"Patricia Giménez",,,,,,,,,,,,,,,1962-10-15,,https://upload.wikimedia.org/wikipedia/commons/e/eb/Patri2.JPG,,,,,,,,,,,"Patricia Giménez",,,,"Patricia Giménez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20015265,"Gladys González","Gladys González","Gladys González","Gladys González","Gladys González","Gladys González","Gladys González",female,politician,,"Gladys González",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gladys González",,,,,,,,,,,,,,,1973-05-30,,"https://upload.wikimedia.org/wikipedia/commons/c/ce/Gladys_González_Prensa_2015.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20016052,"Mirta Tundis","Mirta Tundis","Mirta Tundis","Mirta Tundis","Mirta Tundis","Mirta Tundis","Mirta Tundis",female,journalist,,"Mirtha Tundis",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mirta Tundis",,,,,,,,,,,,,,,1971-09-07,,https://upload.wikimedia.org/wikipedia/commons/1/19/Dipu_Mirta_Tundis.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20016593,"Silvia Majdalani","Silvia Majdalani","Silvia Majdalani",,,"Silvia Majdalani",,female,,Silvia,"Silvia Majdalani",,,,,,,,,,,,,,,,,,,,,,,,,"Silvia Majdalani",,"Silvia Majdalani",,,,,,,,,,,,,,,1958-11-02,,https://upload.wikimedia.org/wikipedia/commons/c/c7/SilviaMajdalani.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20017012,"Julio Solanas","Julio Solanas","Julio Solanas","Julio Solanas","Julio Solanas","Julio Solanas","Julio Solanas",male,politician,Julio,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Julio Solanas",,,,,,,,,,,,,,,1953-01-31,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Julio_R_Solanas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20090781,"Juan Carlos Giordano","Juan Carlos Giordano","Juan Carlos Giordano","Juan Carlos Giordano","Juan Carlos Giordano","Juan Carlos Giordano","Juan Carlos Giordano",male,activist,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,"Juan Carlos Giordano",,"Juan Carlos Giordano",,,,,,,,,,,,,,,1962,/m/013cczns,https://upload.wikimedia.org/wikipedia/commons/2/2f/Juan_Carlos_Giordano.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
