id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter,name__io,name__de_ch,name__an,name__be,wikipedia__an,wikipedia__be,wikipedia__enwikinews,wikipedia__eu,wikipedia__io,identifier__GND,identifier__Munzinger,family_name,identifier__sycomore,name__nds,wikipedia__ruwikinews,identifier__GTAA,wikipedia__nn,identifier__NNDB,name__rw,name__be_tarask,name__bm,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__plwikiquote,wikipedia__rw,identifier__snac,identifier__senatDOTfr,identifier__AlloCine,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__is,name__mg,wikipedia__is,wikipedia__mg,identifier__allmovie
Q20399134,"Shabib bin Taimur",,,"Shabib bin Taimur",,male,,,,"شبيب بن تيمور",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"شبيب بن تيمور","شبيب بن تيمور",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23940101,"Hilal Al Sarmi","Hilal Al Sarmi",,"Hilal Al Sarmi","Hilal Al Sarmi",male,,1978-02-15,,"Hilal Al Sarmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q25450203,"Salem Mubarak Mashani",,,"Salem Mubarak Mashani",,,,,,"سالم مبارك المعشني",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"سالم مبارك المعشني","سالم مبارك المعشني",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28701101,"Rahila Al Riyami","Rahila Al Riyami",,"Rahila Al Riyami","Rahila Al Riyami",female,,,,"Rahila Al Riyami",,,2017-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rahila Al Riyami",,"Rahila Al Riyami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665951,"Abdullah Al Saidi","Abdullah Al Saidi",,"Abdullah Al Saidi","Abdullah Al Saidi",male,politician,,Abdullah,"Abdullah Al Saidi","Abdullah Al Saidi","Abdullah Al Saidi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5304567,"Dr Yahya Al Khusaibi","Dr Yahya Al Khusaibi",,"Dr Yahya Al Khusaibi","Yahya Al Khusaibi",male,politician,,,"Yahya Al Khusaibi","Dr Yahya Al Khusaibi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5429529,"Fahd bin Mahmoud al Said","Fahd bin Mahmoud al Said","Fahd bin Mahmoud al Said","Fahd bin Mahmoud al Said","Fahd bin Mahmoud al Said",male,,,,"فهد بن محمود آل سعيد","Fahd bin Mahmoud al Said",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fahad bin Mahmud El Seyd",,"Fahad bin Mahmud El Seyd",,,,,,,,,,,,,,,"Φαχντ μπιν Μαχμούντ Αλ Σαΐντ",,"فهد بن محمود آل سعيد","فهد بن محمود آل سعيد","Φαχντ μπιν Μαχμούντ Αλ Σαΐντ",,,,,,,,,,,,,,,,,,,,,,,,,"파드 빈 마무드 알사이드",,,,,,,,"Fahd bin Mahmoud al Said","Fahd bin Mahmoud al Said",,,,,,,,,,,,,"파드 빈 마무드 알사이드",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58267,"Yusuf bin Alawi bin Abdullah","Yusuf bin Alawi bin Abdullah","Youssef al-Alawi Abdullah","Yusuf bin Alawi bin Abdullah","Yusuf bin Alawi bin Abdullah",male,diplomat,1945,Yusuf,"يوسف بن علوي","Youssef al-Alawi Abdullah",,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Yusuf_bin_Alawi_bin_Abdullah.jpg,"Yusuf bin Alawi bin Abdullah","Youssef al-Alawi Abdullah",,,,,,"Youssef al-Alawi Abdullah",,,,,,,/m/04jjjyc,,,,,,,,"Jusúf bin Alawi bin Abduláh",,,,,,,,"يوسف بن علوي","يوسف بن علوي",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Yusuf bin Alawi bin Abdullah","Jusúf bin Alawi bin Abduláh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6542278,,,,"احمد بن محمد بن عبدالعزيز الرواس",,male,,,,"أحمد بن محمد بن عبد العزيز الرواس",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"احمد بن محمد بن عبدالعزيز الرواس","أحمد بن محمد بن عبد العزيز الرواس",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6743014,"Malek Bin Sulaiman Al Ma'amari",,,"Malek Bin Sulaiman Al Ma'amari","Malek Bin Sulaiman Al Ma'amari",male,politician,,Malek,"Malek Bin Sulaiman Al Ma'amari","Malek Bin Sulaiman Al Ma'amari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6819966,,,,"عيسى بن صالح الطائي",,male,,1888,,"عيسى بن صالح الطائي",,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"عيسى بن صالح الطائي","عيسى بن صالح الطائي",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6892926,"Mohammed Al Rumhi",,,"Mohammed Al Rumhi","Mohammed Al Rumhi",male,,,Mohammed,"Mohammed Al Rumhi","Mohammed Al Rumhi","Mohammed Al Rumhi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6908519,"Moosa AbdulRahman Hassan",,"Moosa AbdulRahman Hassan","Moosa AbdulRahman Hassan","Moosa AbdulRahman Hassan",male,,1902,,"Moosa AbdulRahman Hassan","Moosa AbdulRahman Hassan","Moosa AbdulRahman Hassan",1987-04-21,,,,,,,,,,,,,,,,,,"Moosa AbdulRahman Hassan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7265864,"Qais Bin Abdul Munim Al Zawawi",,"Qais Bin Abdul Munim Al Zawawi","Qais Bin Abdul Munim Al Zawawi","Qais Bin Abdul Munim Al Zawawi",male,diplomat,1935-08-27,,"Qais Bin Abdul Munim Al Zawawi","Qais Bin Abdul Munim Al Zawawi",,1995-09-11,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Qais_Bin_Abdul_Munim_Al_Zawawi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7297086,"Rawya Saud Al Busaidi",,,"Rawya Saud Al Busaidi","Rawya Saud Al Busaidi",female,politician,,,"Rawya Saud Al Busaidi","Rawya Saud Al Busaidi",,,,,"Rawya Saud Al Busaidi",,,,,,,,,,,,,,,"Rawya Saud Al Busaidi",,,,,,,,,,,,,,,,,,,,,,"Ravíja Saúd al-Busaidi",,,,,,,,,,,,,,,,,,,,,,"ראוויה סעוד אל-בוסעידי",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ravíja Saúd al-Busaidi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7429363,"Sayyid Badr bin Hamad bin Hamood AlBusaidi",,"Sayyid Badr bin Hamad bin Hamood AlBusaidi","Sayyid Badr bin Hamad bin Hamood AlBusaidi","Sayyid Badr bin Hamad bin Hamood AlBusaidi",male,diplomat,1960-05-30,,"Sayyid Badr bin Hamad bin Hamood AlBusaidi","Sayyid Badr bin Hamad bin Hamood AlBusaidi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7429365,"Sayyid Badr bin Saud al Busaidi",,,"Sayyid Badr bin Saud al Busaidi","Badr bin Saud al Busaidi",female,politician,,,"Badr bin Saud al Busaidi","Sayyid Badr bin Saud al Busaidi",,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Sayyid_Badr_bin_Saud_al_Busaidi_080405-F-6655M-031_0ZIW3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Sayyid Badr bin Saud al Busaidi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
