id,name,birth_date,email,party,start_date,end_date,area,area_id,source,term
david-songhulashvili,"David Songhulashvili",1983-01-01,dsonghulashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#24 Gurjaani",24,http://www.chemiparlamenti.ge/en/parliamentarian/david-songhulashvili,9
dimitri-khundadze,"Dimitri Khundadze",1968-11-30,dkhundadze@parliament.ge,"The Georgian Dream",2016-11-18,,"#37 Mtskheta",37,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-khundadze,9
dimitri-mkheidze,"Dimitri Mkheidze",1974-06-21,dmkheidze@parliament.ge,"Georgian Dream - Greens",2016-11-18,,"#48 Kutaisi",48,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-mkheidze,9
dimitri-samkharadze,"Dimitri Samkharadze",1981-05-16,dsamkharadze@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-samkharadze,9
dimitri-tskitishvili,"Dimitri Tskitishvili",1975-07-24,dimitrits@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/dimitri-tskitishvili,9
edisher-toloraia,"Edisher Toloraia",1978-08-22,etoloraia@parliament.ge,"The Georgian Dream",2016-11-18,,"#66 Zugdidi",66,http://www.chemiparlamenti.ge/en/parliamentarian/edisher-toloraia,9
eka-beselia,"Eka Beselia",1971-11-06,ebeselia@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/eka-beselia,9
elene-khoshtaria,"Elene Khoshtaria",1979-11-18,ekhoshtaria@parliament.ge,"European Georgia",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/elene-khoshtaria,9
elguja-gotsiridze,"Elguja Gotsiridze",1958-03-20,egotsiridze@parliament.ge,"The Georgian Dream - Entrepreneurs",2016-11-18,,"#50 Terjola",50,http://www.chemiparlamenti.ge/en/parliamentarian/elguja-gotsiridze,9
emzar-kvitsiani,"Emzar Kvitsiani",1961-04-25,ekvitsiani@parliament.ge,"Patriots of Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/emzar-kvitsiani,9
endzela-machavariani,"Endzela Machavariani",1964-07-20,ematchavariani@parliament.ge,"The Georgian Dream",2016-11-16,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/endzela-machavariani,9
enzel-mkoiani,"Enzel Mkoiani",1959-05-03,emkoian@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,"#46 Akhalkalaki",46,http://www.chemiparlamenti.ge/en/parliamentarian/enzel-mkoiani,9
erekle-tripolski,"Erekle Tripolski",1951-09-24,etripolski@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/erekle-tripolski,9
gedevan-popkhadze,"Gedevan Popkhadze",1975-03-11,gphophkhadze@parliament.ge,"The Georgian Dream",2016-11-18,,"#45 Borjomi",45,http://www.chemiparlamenti.ge/en/parliamentarian/gedevan-popkhadze,9
gela-mikadze,"Gela Mikadze",1971-01-30,gmikadze@parliament.ge,"Patriots of Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/gela-mikadze,9
gela-samkharauli,"Gela Samkharauli",1970-09-04,gsamkharauli@parliament.ge,"The Georgian Dream",2016-11-18,,"#28 Akhmeta",28,http://www.chemiparlamenti.ge/en/parliamentarian/gela-samkharauli,9
genadi-margvelashvili,"Genadi Margvelashvili",1968-04-12,gmargvelashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#47 Kutaisi",47,http://www.chemiparlamenti.ge/en/parliamentarian/genadi-margvelashvili,9
george-gviniashvili,"George Gviniashvili",1969-03-26,gghviniashvili@parliament.ge,"მოძრაობა თავისუფლებისთვის - რეგიონები",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/george-gviniashvili,9
gia-benashvili,"Gia Benashvili",1964-09-30,gbenashvili@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/gia-benashvili,9
gia-jorjoliani,"Gia Jorjoliani",1954-11-20,gzhorzholiani@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/gia-jorjoliani,9
giga-bukia,"Giga Bukia",1967-10-13,gibukia@parliament.ge,"The Georgian Dream - Conservatives",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/giga-bukia,9
giorgi-begadze,"Giorgi Begadze",1972-11-23,gbegadze@parliament.ge,"Georgian Dream - Greens",2016-11-18,,"#30 რუსთავი",30,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-begadze,9
giorgi-bokeria,"Giorgi Bokeria",1972-04-20,gbokeria@parliament.ge,"European Georgia",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-bokeria,9
giorgi-gachechiladze,"Giorgi Gachechiladze",1954-06-24,ggachechiladze@parliament.ge,"Georgian Dream - Greens",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-gachechiladze,9
giorgi-kakhiani,"Giorgi Kakhiani",1973-12-10,gkakhiani@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-kakhiani,9
giorgi-kandelaki,"Giorgi Kandelaki",1982-08-05,gkandelaki@parliament.ge,"European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-kandelaki,9
giorgi-khatidze,"Giorgi Khatidze",1978-11-20,gkhatidze@parliament.ge,"The Georgian Dream",2016-12-01,1978-11-20,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-khatidze,9
giorgi-kopadze,"Giorgi Kopadze",1960-02-28,gkopadze@parliament.ge,"The Georgian Dream",2016-11-18,,"#44 Akhaltsikhe",44,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-kopadze,9
giorgi-lomia,"Giorgi Lomia",1975-05-10,glomia@parliament.ge,"Patriots of Georgia",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-lomia,9
giorgi-mosidze,"Giorgi Mosidze",1972-05-05,gmosidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#11 ისანი",11,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-mosidze,9
giorgi-totladze,"Giorgi Totladze",1983-02-10,gtotladze@parliament.ge,"The Georgian Dream",,,,,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-totladze,9
giorgi-tsereteli,"Giorgi Tsereteli",1964-02-23,gtsereteli@parliament.ge,"Movement for Liberty - European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-tsereteli,9
giorgi-tughushi,"Giorgi Tughushi",1977-03-26,gtugushi@parliament.ge,"Movement for Liberty - European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-tughushi,9
giorgi-volski,"Giorgi Volski",1957-01-18,gvolski@parliament.ge,"The Georgian Dream",2016-11-18,,"#14 ჩუღურეთი",14,http://www.chemiparlamenti.ge/en/parliamentarian/giorgi-volski,9
gocha-enukidze,"Gocha Enukidze",1962-04-08,genukidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#58 Ambrolauri",58,http://www.chemiparlamenti.ge/en/parliamentarian/gocha-enukidze,9
goderdzi-chankseliani,"Goderdzi Chankseliani",1969-03-06,gchankseliani@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,"#32 Tetritskaro",32,http://www.chemiparlamenti.ge/en/parliamentarian/goderdzi-chankseliani,9
goga-gulordava,"Goga Gulordava",1978-12-21,ggulordava@parliament.ge,"The Georgian Dream",2016-11-18,,"#67 Tsalenjikha",67,http://www.chemiparlamenti.ge/en/parliamentarian/goga-gulordava,9
gogi-meshveliani,"Gogi Meshveliani",1971-11-30,gmeshveliani@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,"#33 Bolnisi",33,http://www.chemiparlamenti.ge/en/parliamentarian/gogi-meshveliani,9
grigol-mikeladze,"Grigol Mikeladze",1954-07-30,grmikeladze@parliament.ge,"The Georgian Dream",2014-11-18,,"#55 Samtredia",55,http://www.chemiparlamenti.ge/en/parliamentarian/grigol-mikeladze,9
grigor-liluashvili,"Grigor Liluashvili",1977-09-01,gliluashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#54 Vani",54,http://www.chemiparlamenti.ge/en/parliamentarian/grigor-liluashvili,9
guguli-magradze,"Guguli magradze",1945-04-09,gmaghradze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/guguli-magradze,9
guram-macharashvili,"Guram Macharashvili",1971-12-19,gmacharashvili@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,"#26 Lagodekhi",26,http://www.chemiparlamenti.ge/en/parliamentarian/guram-macharashvili,9
ilia-nakashidze,"Ilia Nakashidze",1959-05-12,inakashidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#72 Khelvachauri",72,http://www.chemiparlamenti.ge/en/parliamentarian/ilia-nakashidze,9
ioseb-makrakhidze,"Ioseb Makrakhidze",1946-01-02,imakrakhidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#41 Gori",41,http://www.chemiparlamenti.ge/en/parliamentarian/ioseb-makrakhidze,9
irakli-abesadze,"Irakli Abesadze",1982-06-11,iabesadze@parliament.ge,"Movement for Liberty - European Georgia",,,,,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-abesadze,9
irakli-abuseridze,"Irakli Abuseridze",1977-11-25,iabuseridze@parliament.ge,"Georgian Dream - Greens",2016-11-18,,"#8 ისანი",8,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-abuseridze,9
irakli-beraia,"Irakli Beraia",1978-10-26,iberaia@parliament.ge,"The Georgian Dream",2016-11-18,,"#63 Senaki",63,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-beraia,9
irakli-dachi-beraia,"Irakli (Dachi) Beraia",1976-07-23,i.beraia@parliament.ge,"The Georgian Dream",2016-11-18,,"#64 Khobi",64,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-dachi-beraia,9
irakli-khakhubia,"Irakli Khakhubia",1971-05-15,ikhakhubia@parliament.ge,"The Georgian Dream",2016-11-18,,"#61 Poti",61,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-khakhubia,9
irakli-kobakhidze,"Irakli Kobakhidze",1978-09-25,ikobakhidze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-kobakhidze,9
irakli-kovzanadze,"Irakli Kovzanadze",1962-06-29,ikovzanadze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-kovzanadze,9
irakli-mezurnishvili,"Irakli Mezurnishvili",1985-08-02,imezurnishvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#39 Kaspi",39,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-mezurnishvili,9
irakli-sesiashvili,"Irakli Sesiashvili",1974-01-11,isesiashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#27 Telavi",27,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-sesiashvili,9
irakli-shiolashvili,"Irakli Shiolashvili",1983-02-11,ishiolashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#25 Sighnaghi",25,http://www.chemiparlamenti.ge/en/parliamentarian/irakli-shiolashvili,9
irine-pruidze,"Irine Pruidze",1976-10-15,ipruidze@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/irine-pruidze,9
irma-inashvili,"Irma Inashvili",1970-07-06,iinashvili@parliament.ge,"Patriots of Georgia",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/irma-inashvili,9
irma-nadirashvili,"Irma Nadirashvili",1970-03-15,inadirashvili@parliament.ge,"Movement for Liberty - European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/irma-nadirashvili,9
isko-daseni,"Isko Daseni",1958-03-30,idaseni@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/isko-daseni,9
ivliane-tsulaia,"Ivliane Tsulaia",1982-07-11,itsulaia@parliament.ge,"The Georgian Dream",2016-11-18,,"#15 დიდუბე",15,http://www.chemiparlamenti.ge/en/parliamentarian/ivliane-tsulaia,9
kakhaber-kutchava,"Kakhaber Kutchava",1979-09-23,kkuchava@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/kakhaber-kutchava,9
kakhaber-okriashvili,"Kakhaber Okriashvili",1966-03-21,kokriashvili@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,"#34 Dmanisi",34,http://www.chemiparlamenti.ge/en/parliamentarian/kakhaber-okriashvili,9
karlo-kopaliani,"Karlo Kopaliani",1959-08-14,kkopaliani@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/karlo-kopaliani,9
khatuna-gogorishvili,"Khatuna Gogorishvili",1964-09-04,khgogorishvili@parliament.ge,"Movement for Liberty - European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/khatuna-gogorishvili,9
koba-kobaladze,"Koba Kobaladze",1969-07-07,kkobaladze@parliament.ge,"The Georgian Dream",2016-11-18,,"#24 Gurjaani",24,http://www.chemiparlamenti.ge/en/parliamentarian/koba-kobaladze,9
koba-lursmanashvili,"Koba Lursmanashvili",1970-03-05,klursmanashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#51 Bagdati",51,http://www.chemiparlamenti.ge/en/parliamentarian/koba-lursmanashvili,9
koba-nakaidze,"Koba Nakaidze",1961-05-31,knakaidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#71 Kobuleti",71,http://www.chemiparlamenti.ge/en/parliamentarian/koba-nakaidze,9
koba-nakopia,"Koba Nakopia",1969-02-22,knakophia@parliament.ge,"The United National Movement",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/koba-nakopia,9
koba-narchemashvili,"Koba Narchemashvili",1969-12-20,knarchemashvili@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,"#49 Kutaisi",49,http://www.chemiparlamenti.ge/en/parliamentarian/koba-narchemashvili,9
lasha-damenia,"Lasha Damenia",1974-08-14,ldamenia@parliament.ge,"მოძრაობა თავისუფლებისთვის - რეგიონები",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/lasha-damenia,9
lela-keburia,"Lela Keburia",1976-09-21,lkeburia@parliament.ge,"მოძრაობა თავისუფლებისთვის - რეგიონები",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/lela-keburia,9
leri-khabelovi,"Leri Khabelovi",1964-07-05,LKhabelovi@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/leri-khabelovi,9
levan-bejanidze,"Levan Bejanidze",1957-11-14,lbezhanidze@parliament.ge,"The Georgian Dream - Entrepreneurs",2016-11-18,,"#69 Batumi",69,http://www.chemiparlamenti.ge/en/parliamentarian/levan-bejanidze,9
levan-gogichaishvili,"Levan Gogichaishvili",1981-04-13,lgogichaishvili@parliament.ge,"The Georgian Dream",,,"#6 საბურთალო",6,http://www.chemiparlamenti.ge/en/parliamentarian/levan-gogichaishvili,9
levan-kobiashvili,"Levan Kobiashvili",1977-07-10,lkobiashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#21 Gldani",21,http://www.chemiparlamenti.ge/en/parliamentarian/levan-kobiashvili,9
levani-koberidze,"Levani Koberidze",1972-05-28,lkoberidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#22 Gldani",22,http://www.chemiparlamenti.ge/en/parliamentarian/levani-koberidze,9
makhir-darzievi,"Makhir Darzievi",1957-08-04,mdarzievi@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/makhir-darzievi,9
mamuka-chikovani,"Mamuka Chikovani",1976-08-20,mchikovani@parliament.ge,"მოძრაობა თავისუფლებისთვის - რეგიონები",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/mamuka-chikovani,9
mamuka-mdinaradze,"Mamuka Mdinaradze",1978-11-24,mmdinaradze@parliament.ge,"The Georgian Dream",2016-11-18,,"#4 საბურთალო",4,http://www.chemiparlamenti.ge/en/parliamentarian/mamuka-mdinaradze,9
mariam-jashi,"Mariam Jashi",1976-06-17,mjashi@parliament.ge,"The Georgian Dream",2016-11-18,,"#12 ისანი",12,http://www.chemiparlamenti.ge/en/parliamentarian/mariam-jashi,9
merab-kvaraia,"Merab Kvaraia",1972-07-13,mkvaraia@parliament.ge,"The Georgian Dream",2016-11-18,,"#65 Zugdidi",65,http://www.chemiparlamenti.ge/en/parliamentarian/merab-kvaraia,9
mikheil-kavelashvili,"Mikheil kavelashvili",1971-07-22,mkavelashvili@parliament.ge,"The Georgian Dream",2016-11-18,,"#18 ნაძალადევი",18,http://www.chemiparlamenti.ge/en/parliamentarian/mikheil-kavelashvili,9
miriani-tsiklauri,"Miriani Tsiklauri",1960-01-12,mtsiklauri@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/miriani-tsiklauri,9
mukhran-vakhtangadze,"Mukhran Vakhtangadze",1973-01-22,mvakhtangadze@parliament.ge,"The Georgian Dream - Conservatives",2016-11-18,,"#70 Batumi",70,http://www.chemiparlamenti.ge/en/parliamentarian/mukhran-vakhtangadze,9
nato-chkheidze,"Nato Chkheidze",1960-06-01,nchkheidze@parliament.ge,"Patriots of Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/nato-chkheidze,9
nikanori-melia,"Nikanori Melia",1979-12-21,nmelia@parliament.ge,"The United National Movement",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/nikanori-melia,9
nino-goguadze,"Nino Goguadze",1980-06-24,n.goguadze@parliament.ge,"The Georgian Dream - Conservatives",2016-11-18,,"#5 საბურთალო",5,http://www.chemiparlamenti.ge/en/parliamentarian/nino-goguadze,9
nino-tsilosani,"Nino Tsilosani",1982-02-19,ntsilosani@parliament.ge,"The Georgian Dream",2016-11-18,,"#60 Lanchkhuti",60,http://www.chemiparlamenti.ge/en/parliamentarian/nino-tsilosani,9
otar-chrdileli,"Otar Chrdileli",1974-09-27,ochrdileli@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/otar-chrdileli,9
otari-danelia,"Otari Danelia",1979-09-21,odanelia@parliament.ge,"The Georgian Dream",2016-11-18,,"#62 Martvili",62,http://www.chemiparlamenti.ge/en/parliamentarian/otari-danelia,9
otari-kakhidze,"Otari Kakhidze",1983-07-07,okakhidze@parliament.ge,"European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/otari-kakhidze,9
paata-kvijinadze,"Paata Kvijinadze",1964-12-16,pkvizhinadze@parliament.ge,"The Georgian Dream - Conservatives",0016-11-18,,"#53 Sachkhere",53,http://www.chemiparlamenti.ge/en/parliamentarian/paata-kvijinadze,9
paata-mkheidze,"Paata Mkheidze",1960-05-09,pmkheidze@parliament.ge,"Faction ""The Georgian Dream for Development of Regions""",2016-11-18,,"#29 Rustavi",29,http://www.chemiparlamenti.ge/en/parliamentarian/paata-mkheidze,9
phati-khalvashi,"Phati Khalvashi",1962-05-20,phkhalvashi@parliament.ge,"The Georgian Dream",2016-11-18,,"#68 Batumi",68,http://www.chemiparlamenti.ge/en/parliamentarian/phati-khalvashi,9
ramaz-nikolaishvili,"Ramaz Nikolaishvili",1965-06-17,rnikolaishvili@parliament.ge,"",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/ramaz-nikolaishvili,9
rati-ionatamishvili,"Rati Ionatamishvili",1979-06-09,rionatamishvili@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/rati-ionatamishvili,9
revaz-arveladze,"Revaz Arveladze",1941-10-28,rarveladze@parliament.ge,"The Georgian Dream",,,,,http://www.chemiparlamenti.ge/en/parliamentarian/revaz-arveladze,9
roman-gotsiridze,"Roman Gotsiridze",1955-12-16,rgotsiridze@parliament.ge,"The United National Movement",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/roman-gotsiridze,9
roman-kakulia,"Roman Kakulia",1961-05-19,rkakulia@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/roman-kakulia,9
roman-muchiashvili,"Roman Muchiashvili",1974-05-13,rmuchiashvili@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,"#23 Sagarejo",23,http://www.chemiparlamenti.ge/en/parliamentarian/roman-muchiashvili,9
ruslan-gajiev,"Ruslan Gajiev",1978-01-01,"","The Georgian Dream - Conservatives",0006-11-18,,"#35 Marneuli",35,http://www.chemiparlamenti.ge/en/parliamentarian/ruslan-gajiev,9
ruslan-poghosiani,"Ruslan Poghosiani",1982-07-12,rpoghosiani@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/ruslan-poghosiani,9
salome-samadashvili,"Salome Samadashvili",1976-04-02,ssamadashvili@parliament.ge,"The United National Movement",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/salome-samadashvili,9
salome-zourabichvili,"Salome Zourabichvili",1952-03-18,szurabishvili@parliament.ge,"",2016-11-18,,"#1 Mtatsminda",1,http://www.chemiparlamenti.ge/en/parliamentarian/salome-zourabichvili,9
samvel-manukian,"Samvel Manukian",1976-11-06,smanukiani@parliament.ge,"Georgian Dream - Greens",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/samvel-manukian,9
savalan-mirzoevi,"Savalan Mirzoevi",1986-08-29,smirzoevi@parliament.ge,"Faction ""The Georgian Dream - Social-Democrats""",2016-11-18,,"#31 Gardabani",31,http://www.chemiparlamenti.ge/en/parliamentarian/savalan-mirzoevi,9
sergi-kapanadze,"Sergi Kapanadze",1981-04-25,skapanadze@parliament.ge,"Movement for Liberty - European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/sergi-kapanadze,9
sergo-ratiani,"Sergo Ratiani",1967-11-27,sratiani@parliament.ge,"European Georgia",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/sergo-ratiani,9
shalva-kiknavelidze,"Shalva Kiknavelidze",1987-03-19,shkiknavelidze@parliament.ge,"The Georgian Dream",2016-11-18,,"#52 Zestaponi",52,http://www.chemiparlamenti.ge/en/parliamentarian/shalva-kiknavelidze,9
shota-khabareli,"Shota Khabareli",1956-12-26,shkhabareli@parliament.ge,"The Georgian Dream",2016-11-18,,"#13 ისანი",13,http://www.chemiparlamenti.ge/en/parliamentarian/shota-khabareli,9
shota-shalelashvili,"Shota Shalelashvili",1959-06-19,shshalelashvili@parliament.ge,"The Georgian Dream - Entrepreneurs",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/shota-shalelashvili,9
simon-nozadze,"Simon Nozadze",1953-03-23,snozadze@parliament.ge,"The Georgian Dream - Entrepreneurs",2016-11-18,,"#43 Khashuri",43,http://www.chemiparlamenti.ge/en/parliamentarian/simon-nozadze,9
sofio-katsarava,"Sofio Katsarava",1976-12-08,skatsarava@parliament.ge,"The Georgian Dream",2016-11-18,,"Party List",,http://www.chemiparlamenti.ge/en/parliamentarian/sofio-katsarava,9
sopio-kiladze,"Sopio Kiladze",1984-01-16,skiladze@parliament.ge,"The Georgian Dream",2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/sopio-kiladze,9
