id,name__en,name__es,name__de,name__nl,name__fr,name__hu,name,wikipedia__en,image,gender,occupation,birth_date,death_date,given_name,original_wikiname,name__ru,identifier__NLAtrove,identifier__AuDB,family_name,twitter,identifier__google_knowledge,name__it,name__ja,wikipedia__fr,identifier__VIAF,identifier__NLA,name__nb,name__da,name__nn,name__sv,identifier__ISNI,name__cy,wikipedia__it,identifier__snac,wikipedia__ru,wikipedia__de,identifier__freebase,name__zh,wikipedia__zh,website,name__pl,wikipedia__pl,identifier__LCAuth,identifier__FAST,name__fi,name__sh,wikipedia__commons,wikipedia__fi,wikipedia__sh,identifier__quora,name__zh_hant,name__bs,name__hr,name__zh_cn,wikipedia__bs,wikipedia__hr,name__pt,wikipedia__pt,name__he,identifier__SUDOC,name__uk,wikipedia__uk,name__pa,wikipedia__pa,name__sk,wikipedia__skwikiquote,wikipedia__enwikisource,name__el,name__mg,wikipedia__mg,wikipedia__enwikiquote,identifier__IMDB,name__fa,wikipedia__simple,wikipedia__sv,identifier__BNF,name__vep,name__ar,wikipedia__ar,wikipedia__vep,name__ca,name__oc,wikipedia__es,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__ko,name__id,wikipedia__id,wikipedia__ko,name__si,wikipedia__si,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sr_el,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__hansard,identifier__OLID,identifier__NTA,identifier__NPG,name__la,wikipedia__fawikiquote,wikipedia__ja,wikipedia__la,wikipedia__plwikiquote,wikipedia__tr,identifier__MusicBrainz,wikipedia__fa,identifier__wikitree,wikipedia__cs,facebook,identifier__youtube,wikipedia__cswikiquote,wikipedia__he,wikipedia__nl,identifier__GND,identifier__Munzinger,identifier__CSPAN,name__sl,wikipedia__sl,wikipedia__vi,identifier__IIAF,identifier__Britannica,name__th,wikipedia__th,name__lmo,identifier__Gutenberg,wikipedia__hu,noble_title,name__hi,name__be,name__yo,name__mr,name__ne,wikipedia__be,wikipedia__da,wikipedia__ga,wikipedia__hi,wikipedia__mr,wikipedia__ne,wikipedia__no,wikipedia__sk,wikipedia__yo,identifier__NNDB,name__wuu,wikipedia__wuu,name__bg,wikipedia__bgwikiquote,identifier__Oxforddnb,identifier__ULAN
Q15485977,"Nick McKenna",,"Nick McKenna","Nick McKenna","Nick McKenna",,"Nick McKenna","Nick McKenna",https://upload.wikimedia.org/wikipedia/commons/2/2e/SJCM_Nick_McKenna.jpg,male,politician,1895-09-09,1974-04-22,Nick,,,,mckenna-nicholas-edward-10985,,,,,,,94968381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15500828,"Karin Sowada",,"Karin Sowada",,"Karin Sowada",,"Karin Sowada","Karin Sowada",,female,,1961-11-01,,Karin,"Karin Sowada",,,,,,,,,,95603444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092191479,,,,,,,,,,,,,,,,165641815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15501809,"Jo Vallentine",,"Jo Vallentine",,"Jo Vallentine",,"Jo Vallentine","Jo Vallentine",https://upload.wikimedia.org/wikipedia/commons/2/23/CHOGM_2011_protest_gnangarra-110.jpg,female,,1946-05-30,,Jo,"Jo Vallentine",,,,,,,,,,16795842,,,,,,"0000 0000 6776 070X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15506241,"Mal Colston",,"Mal Colston","Mal Colston","Mal Colston",,"Mal Colston","Mal Colston",,male,politician,1938-04-05,2003-08-23,,"Mal Colston",,,,,,,"Mal Colston",,,93492075,,,,,,,,,,,,,,,,,,,,,,,,,,"馬兒·克爾斯頓",,,"马儿·克尔斯顿",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15516927,"Brian Harradine","Brian Harradine","Brian Harradine","Brian Harradine","Brian Harradine","Brian Harradine","Brian Harradine","Brian Harradine",,male,politician,1935-01-09,2014-04-14,Brian,"Brian Harradine",,575760,,,,,,,,93583994,,,,,,,"Brian Harradine",,w6tx596w,,,,"布萊恩·哈拉丁","布萊恩·哈拉丁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brian Harradine",,,,,,,,,"Brian Harradine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15971154,"Herbert Collett",,"Herbert Collett",,"Herbert Collett",,"Herbert Collett","Herbert Collett",https://upload.wikimedia.org/wikipedia/commons/e/e5/Herbert_Brayley_Collett.jpg,male,,1877-11-12,1947-08-15,Herbert,,,1466295,collett-herbert-brayley-5728,,,,"Herbert Collett",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31262,,,,,,,,,,,,,,,,,,,,,,,
Q15996259,"Henry Garling",,"Henry Garling","Henry Garling","Henry Garling",,"Henry Garling","Henry Garling",https://upload.wikimedia.org/wikipedia/commons/e/e1/Henry_Garling.jpg,male,politician,1870,1942-11-19,Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16002986,"Alex Finlay",,"Alex Finlay","Alex Finlay","Alex Finlay",,"Alex Finlay","Alex Finlay",https://upload.wikimedia.org/wikipedia/commons/1/1e/Alexander_Finlay.jpg,male,politician,1887-11-14,1963-03-02,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16004106,"Bill Spooner",,"Bill Spooner",,"Bill Spooner",,"Bill Spooner","Bill Spooner (politician)",https://upload.wikimedia.org/wikipedia/commons/3/31/Sir_William_Spooner.jpg,male,,1897-12-23,1966-07-14,Bill,,"Билл Спунер",,spooner-sir-william-henry-11746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16008159,"Harry Cant",,"Harry Cant","Harry Cant","Harry Cant",,"Harry Cant","Harry Cant",,male,politician,1907-11-19,1977-03-03,Harry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16008194,"Harry Foll",,"Harry Foll",,"Harry Foll",,"Harry Foll","Harry Foll",https://upload.wikimedia.org/wikipedia/commons/3/36/Harry_Foll.jpg,male,,1890-05-30,1977-07-07,Harry,,,1464346,foll-hattil-spencer-harry-10213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16008459,"John Spicer",,"John Spicer","John Spicer","John Spicer",,"John Spicer","John Spicer (Australian politician)",https://upload.wikimedia.org/wikipedia/commons/a/ab/John_Armstrong_Spicer.jpg,male,judge,1899-03-05,1978-01-03,John,,"Джон Спайсер",1479043,spicer-sir-john-armstrong-11744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16011230,"Joe Fitzgerald",,"Joe Fitzgerald","Joe Fitzgerald","Joe Fitzgerald",,"Joe Fitzgerald","Joe Fitzgerald (politician)",https://upload.wikimedia.org/wikipedia/commons/7/7f/Joseph_Francis_Fitzgerald.jpg,male,politician,1912-02-06,1985-11-01,Joe,,,,,FitzGerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16014939,"Tony Mulvihill",,"Tony Mulvihill","Tony Mulvihill","Tony Mulvihill",,"Tony Mulvihill","Tony Mulvihill",,male,politician,1919-04-27,2000-12-10,Tony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"托尼·馬爾維希爾",,,"托尼·马尔维希尔",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16015452,"Gordon Davidson",,"Gordon Davidson","Gordon Davidson","Gordon Davidson",,"Gordon Davidson","Gordon Davidson (politician)",,male,politician,1915-01-17,2002-11-25,Gordon,,"Гордон Дэвидсон",,,,,,,,,93999215,,,,,,,,,w69h33tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16029310,"John Earle",,"John Earle","John Earle","John Earle",,"John Earle","John Earle (Australian politician)",,male,politician,1865-11-15,1932-02-06,John,,,1465212,earle-john-6077,,,,,,,,,,,,,,,,,,"John Earle (Politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16029357,"James Ogden",,"James Ogden","James Ogden","James Ogden",,"James Ogden","James Ogden",https://upload.wikimedia.org/wikipedia/commons/2/20/James_Ogden.jpg,male,politician,1868-03-08,1932-02-05,James,,"Джеймс Огден",1462956,ogden-james-ernest-7886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
