id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter,name__io,name__de_ch,name__an,name__be,wikipedia__an,wikipedia__be,wikipedia__enwikinews,wikipedia__eu,wikipedia__io,identifier__GND,identifier__Munzinger,family_name,identifier__sycomore,name__nds,wikipedia__ruwikinews,identifier__GTAA,wikipedia__nn,identifier__NNDB,name__rw,name__be_tarask,name__bm,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__plwikiquote,wikipedia__rw,identifier__snac,identifier__senatDOTfr,identifier__AlloCine,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__is,name__mg,wikipedia__is,wikipedia__mg,identifier__allmovie
Q16944559,"Mamadou Djigué",,"Mamadou Djigué","Mamadou Djigué","Mamadou Djigué",male,,,Mamadou,"Mamadou Djigué","Mamadou Djigué",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17091097,"Fatoumata Nafo-Traoré","Fatoumata Nafo-Traoré","Fatoumata Nafo-Traoré","Fatoumata Nafo-Traoré","Fatoumata Nafo-Traoré",female,physician,,Fatoumata,"Fatoumata Nafo-Traoré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17125492,"Mamadou Camara","Mamadou Camara","Mamadou Camara","Mamadou Camara","Mamadou Camara (politician)",male,politician,1977-08-17,Mamadou,"Mamadou Camara (politician)",,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/8/87/Mahamadou_Camara_(Homme_de_média).png",,"Mahamadou Camara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18358774,"Ousmane Kone","Ousmane Kone","Ousmane Kone","Ousmane Kone","Ousmane Kone",male,politician,1952-05-19,,"Ousmane Kone","Ousmane Kone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18977723,"Ibrahim Ag Mohamed Assaleh",,"Ibrahim Ag Mohamed Assaleh","Ibrahim Ag Mohamed Assaleh","Ibrahim Ag Mohamed Assaleh",male,,,Ibrahim,"Ibrahim Ag Mohamed Assaleh",,"Ibrahim Ag Mohamed Assaleh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1940224,"Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko",male,politician,1945,,"Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko",,,,"Cheick Oumar Sissoko",,,95073062,,,"0000 0001 1937 8749",no97011794,14137717v,143328271,,387984,,,,"Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko","Cheick Oumar Sissoko",,,"Шейк Умар Сиссоко",,,,,/m/05q4yd,,"Cheick Oumar Sissoko",,,,"シェイク・ウマール・シソコ",,,,,,,,,,,,,,"シェイク・ウマール・シソコ",,,,,,,,,,,,,,,,,,"Cheick Oumar Sissoko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm0803084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10765,1908,1035359,133872,248094,248403,7dd7620d41034d5194d7670e0d13130d,,,,,
Q2066240,"Mandé Sidibé","Mandé Sidibé","Mandé Sidibé","Mandé Sidibé","Mandé Sidibé",male,economist,1940-01-20,,"Mandé Sidibé","Mandé Sidibé","Mandé Sidibé",2009-08-25,,,,,,,"Mandé Sidibé",,,,,,,,,,,"Mandé Sidibé","Mandé Sidibé","Mandé Sidibé",,"Mandé Sidibé","Mandé Sidibé","Mandé Sidibé","Mandé Sidibé","Mandé Sidibé","Сидибе, Манде","Сидибе, Манде",,,,/m/0bdq8v,,"Mandé Sidibé","芒代·西迪貝","芒代·西迪贝",,"マンデ・シディベ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mandé Sidibé",,,,,,,,,,,,,,,"Mandé Sidibé",,,,,,,,,,,,,,"Mandé Sidibé",,,,,,,,,,,,,,,"Mandé Sidibé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22278552,"Karim Keïta","Karim Keïta",,"Karim Keïta","Karim Keïta",male,,,,"Karim Keïta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23023240,"Issaka Sidibé","Issaka Sidibé",,"Issaka Sidibé","Issaka Sidibé",male,,1946-06-26,,"Issaka Sidibé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2304068,"Soumana Makadji","Soumana Makadji","Soumana Makadji","Soumana Makadji","Soumana Makadji",male,politician,1954,,"Soumana Makadji","Soumana Makadji","Soumana Makadji",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/59/Soumana_Makadji_-_2013_(cropped).jpg,,"Soumana Makadji",,,,,,"Soumana Makadji",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Soumana Makadji",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2304078,"Soumana Sacko","Soumana Sacko","Soumana Sacko","Soumana Sacko","Soumana Sacko",male,economist,1949,,"Soumana Sacko","Soumana Sacko",,,,,"Soumana Sacko",,,,,,,,,,,,,,,"Soumana Sacko","Soumana Sako",,,,,,"Soumana Sacko",,,,,,,,,,"蘇馬納·薩科","苏马纳·萨科",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2398472,"Soumeylou Boubèye Maïga","Soumeylou Boubèye Maïga","Soumeylou Boubèye Maïga","Soumeylou Boubèye Maïga","Soumeylou Boubèye Maïga",male,politician,1954-06-08,,"Soumeylou Boubèye Maïga","Soumeylou Boubèye Maïga",,,,,,,,,,,,,,,,,,,,,"Soumeylou Boubèye Maïga",,,,,,,,,,"Soumeylou Boubèye Maïga",,"Soumeylou Boubèye Maïga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26845654,"Abdoulaye Idrissa Maïga","Abdoulaye Idrissa Maïga",,"Abdoulaye Idrissa Maïga","Abdoulaye Idrissa Maïga",male,,,,"Abdoulaye Idrissa Maïga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2824050,"Adama Samassékou","Adama Samassékou","Adama Samassékou","Adama Samassékou","Adama Samassékou",male,politician,,Adama,"Adama Samassékou","Adama Samassékou",,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/9/96/Adama_Samassékou_(cropped).jpg",,"Adama Samassékou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Adama Samassékou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Samassékou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2827332,"Aguibou Koné","Aguibou Koné","Aguibou Koné","Aguibou Koné","Aguibou Koné",male,politician,1968-02-19,,"Aguibou Koné","Aguibou Koné",,,,,,,,,,,,,,,,,,,,,"Aguibou Koné",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2827467,"Ahmadou Touré","Ahmadou Touré","Ahmadou Touré","Ahmadou Touré","Ahmadou Touré",male,notary,1958,,"Ahmadou Touré","Ahmadou Touré",,,,,,,,,,,,,,,,,,,,,"Ahmadou Touré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ahmadou Touré","Ahmadou Touré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q293119,"Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé",female,politician,1948-01-04,Mariam,"Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé",,"Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé",,,,,,,,,,,,,,,"Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé",,,,"Cissé Mariam Kaïdama Sidibé",,"Cissé Mariam Kaïdama Sidibé",/m/0gkxslh,,"Cissé Mariam Kaïdama Sidibé","西塞·瑪麗婭姆·凱達瑪·西迪貝","西塞·玛丽娅姆·凯达玛·西迪贝",,"シセ・マリアム・カイダマ・シディベ",,,,"Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé",,,"Σισέ Μαριάμ Καϊνταμά Σιντιμπέ",,,,"Σισέ Μαριάμ Καϊνταμά Σιντιμπέ",,,,,,,,,,,,"סיסה מאריאם קאידמה סידיבה",,,,,,,,,,,,,,,"Mariam Kaïdama Sidibé Cissé",,,,,,"Cissé Mariam Kaïdama Sidibé","Cissé Mariam Kaïdama Sidibé",,,,,,,,"Mariam Kaïdama Sidibé Cissé",,,,,,,,,,"სისე მარიამ კაიდამა სიდიბე",,,,,,,,,,,"სისე მარიამ კაიდამა სიდიბე",,,,,,,,,,,,,,,,,,,,,,,,"Cissé Mariam Kaïdama Sidibé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2964323,"Choguel Kokalla Maïga","Choguel Kokalla Maïga","Choguel Kokalla Maïga","Choguel Kokalla Maïga","Choguel Kokalla Maïga",male,politician,1958-04-02,,"Choguel Kokalla Maïga","Choguel Kokalla Maïga",,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/b/b0/Choguel_Kokalla_Maïga_(cropped).jpg",,"Choguel Kokalla Maïga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3011574,"Daba Diawara","Daba Diawara","Daba Diawara","Daba Diawara","Daba Diawara",male,politician,1951-08-15,,"Daba Diawara","Daba Diawara",,,,,"Daba Diawara",,,29605696,,,"0000 0000 7832 4348",,12337479n,032322887,,,,,,"Daba Diawara","Daba Diawara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q308416,"Abdoulaye Sékou Sow","Abdoulaye Sékou Sow","Abdoulaye Sékou Sow","Abdoulaye Sékou Sow","Abdoulaye Sékou Sow",male,politician,1931,Abdoulaye,"Abdoulaye Sékou Sow","Abdoulaye Sékou Sow",,2013-05-27,,,"Abdoulaye Sékou Sow",,,39205886,,,"0000 0000 5523 8930",no2008173115,159633126,131814664,,,,,,"Abdoulaye Sékou Sow","Abdoulaye Sékou Sow",,,,,,"Abdoulaye Sékou Sow","Abdoulaye Sékou Sow","Су, Абдулайе Секу","Су, Абдулайе Секу",,,,,"Abdoulaye Sékou Sow",,"阿卜杜拉耶·塞古·索烏","阿卜杜拉耶·塞古·索乌",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137395221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3100133,"Seydou Badian Kouyaté","Seydou Badian Kouyaté","Seydou Badian Kouyaté","Seydou Badian Kouyaté","Seydou Badian Kouyaté",male,writer,1928,,"Seydou Badian Kouyaté","Seydou Badian Kouyaté",,,,,,,,112358772,,,"0000 0001 0936 4546",n50043985,118898341,026700271,06846472X,15162,,,,"Seydou Badian Kouyaté","Seydou Badian Kouyaté","Seydou Badian Kouyaté","Seydou Badian Kouyaté",,,,"Seydou Badian Kouyaté",,,,,,,/m/04lhc3x,"Seydou Badian",,,,,,,,,"Zejdu Badian","Zejdu Badian",,,,,,,,,,,,,,,,,,,,,,,,"Seydou Badian Kouyaté",,"Seydou Badian Kouyaté",,,,,,,,,,,,,,,,,,,,,,,,"Seydou Badian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123221455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
