id,name__en,name__fi,name__sv,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__fr,name__hu,name,wikipedia__en,wikipedia__fi,wikipedia__sv,gender,occupation,identifier__ISNI,identifier__VIAF,birth_date,identifier__freebase,family_name,given_name,identifier__Riksdagen,original_wikiname,name__it,name__cy,death_date,name__be_tarask,wikipedia__be_x_old,image,name__af,name__se,name__pl,name__pt,wikipedia__de,wikipedia__es,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__svwikiquote,identifier__IMDB,wikipedia__commons,name__la,name__id,name__uk,wikipedia__da,wikipedia__fr,wikipedia__id,wikipedia__la,wikipedia__pt,wikipedia__uk,identifier__EuroparlMEP,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__ru,name__is,name__hy,wikipedia__eo,wikipedia__is,wikipedia__ru,wikipedia__simple,identifier__SELIBR,twitter,website,wikipedia__et,wikipedia__oc,identifier__LCAuth,identifier__SUDOC,identifier__FAST,name__ko,wikipedia__ko,name__fa,name__zh,wikipedia__fa,identifier__PACE,wikipedia__it,wikipedia__ro,identifier__BNF,identifier__SFDb,identifier__elonet,identifier__kinopoisk,identifier__DNF,wikipedia__sco,wikipedia__nl,name__zh_hant,name__zh_cn,name__el,identifier__OLID,name__bs,name__lmo,name__sl,name__sq,name__ja,name__ar,wikipedia__ar,wikipedia__ca,identifier__GND,wikipedia__tr,wikipedia__mg,name__fo,wikipedia__fo,wikipedia__ja,name__ka,name__ta,name__sh,name__mr,name__mk,name__he,name__be,name__ur,name__ty,name__hsb,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__cswikiquote,wikipedia__el,wikipedia__fawikiquote,wikipedia__he,wikipedia__hsb,wikipedia__hu,wikipedia__hy,wikipedia__ka,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__sh,wikipedia__sq,wikipedia__ta,wikipedia__ur,wikipedia__vi,wikipedia__zh,identifier__parlement,facebook,identifier__wikitree,name__bg,wikipedia__bg,wikipedia__fiwikiquote,wikipedia__ie,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,weblog,name__yo,name__sr,wikipedia__an,wikipedia__bs,wikipedia__gd,wikipedia__hr,wikipedia__io,wikipedia__mk,wikipedia__plwikiquote,wikipedia__sr,wikipedia__yo,identifier__NNDB,identifier__Munzinger,identifier__GTAA,wikipedia__enwikiquote,wikipedia__etwikiquote,identifier__NTA,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__gl,wikipedia__sk,identifier__Britannica,name__ckb,wikipedia__ckb,wikipedia__sw,name__fit,name__bn,identifier__NLI,name__sah,wikipedia__sah,wikipedia__nds,identifier__PORT,identifier__CSFD,name__sr_el,identifier__kansallisbiografia,name__az,name__hi,name__mn,name__qu,wikipedia__af,wikipedia__az,wikipedia__bn,wikipedia__frwikiquote,wikipedia__hi,wikipedia__mn,wikipedia__qu,wikipedia__se,wikipedia__eu,name__th,wikipedia__th,wikipedia__bswikiquote,wikipedia__ga,wikipedia__nowikiquote,wikipedia__svwikinews,identifier__BIBSYS
Q1593545,"Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson","Olof Lavesson",,"Olof Lavesson",male,politician,,,1976,/m/02w3867,,Olof,0448155122323,"Olof Lavesson",,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Olof_Lavesson_01.JPG,,,,,"Olof Lavesson",,,,,,,"Category:Olof Lavesson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15963975,"Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen",,,"Adam Marttinen",male,politician,,,1983-10-19,,,Adam,0831039938224,"Adam Marttinen","Adam Marttinen","Adam Marttinen",,,,,"Adam Marttinen",,"Adam Marttinen","Adam Marttinen",,,,,,,,,,,,,,,,,,,"Adam Marttinen","Adam Marttinen","Adam Marttinen",,"Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen",,,,,"Adam Marttinen","Adam Marttinen","Adam Marttinen",,,"Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen",,,,,,,"Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen",,,,,"Adam Marttinen","Adam Marttinen","Adam Marttinen",,,,"Adam Marttinen","Adam Marttinen",,,,"Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen",,"Adam Marttinen","Adam Marttinen",,"Adam Marttinen",,,"Adam Marttinen",,,,"Adam Marttinen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Marttinen","Adam Marttinen","Adam Marttinen","Adam Marttinen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15992158,"Linus Bylund","Linus Bylund","Linus Bylund",,"Linus Bylund","Linus Bylund",,,,"Linus Bylund",,"Linus Bylund","Linus Bylund",,"Linus Bylund",male,politician,,,1978-01-02,,,Linus,0506806850221,"Linus Bylund",,,,,,https://upload.wikimedia.org/wikipedia/commons/1/11/Linus_Bylund.jpg,,,,,,,,,,"Linus Bylund",,"Category:Linus Bylund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"利努斯·比倫德",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"利努斯·比倫德",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16162546,"Paula Bieler","Paula Bieler","Paula Bieler",,"Paula Bieler","Paula Bieler",,,,"Paula Bieler",,"Paula Bieler","Paula Bieler",,"Paula Bieler",female,politician,,,1988-03-31,,,Paula,0182800488922,"Paula Bieler",,,,,,https://upload.wikimedia.org/wikipedia/commons/a/af/Paula_frilagd_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1635136,"Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland","Hugo Hegeland",,,"Hugo Hegeland",male,economist,"0000 0001 1027 3553",56726618,1922,,,Hugo,075784887694,"Hugo Hegeland",,"Hugo Hegeland",2009-10-10,,,,,,,,"Hugo Hegeland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n78086253,034925074,,,,,,,,,,125625770,,,,,,,,,,,,,,,,,,,170595005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16594543,"Cecilia Dalman Eek","Cecilia Dalman Eek","Cecilia Dalman Eek",,"Cecilia Dalman Eek",,,,,"Cecilia Dalman Eek",,"Cecilia Dalman Eek",,,"Cecilia Dalman Eek",female,politician,,,1960-11-24,,,Cecilia,0781029778411,"Cecilia Dalman Eek",,,,,,https://upload.wikimedia.org/wikipedia/commons/3/34/Cecilia_Dalman_Eek_01.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16596143,"Magda Rasmusson","Magda Rasmusson","Magda Rasmusson",,"Magda Rasmusson",,,,,"Magda Rasmusson",,"Magda Rasmusson",,,"Magda Rasmusson",female,politician,,,1992-08-14,,,Magda,0710022029620,"Magda Rasmusson","Magda Rasmusson",,,,,"https://upload.wikimedia.org/wikipedia/commons/0/09/Magda_Rasmusson,_pressfoto.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16616153,"Kristina Yngwe","Kristina Yngwe","Kristina Yngwe",,"Kristina Yngwe",,,,,"Kristina Yngwe",,"Kristina Yngwe",,,"Kristina Yngwe",female,politician,,,1983-07-14,,,Kristina,0884738092723,"Kristina Yngwe",,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Kristina_Yngwe.jpg,,,,,,,,,,,,"Category:Kristina Yngwe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16623762,"Kristina Winberg","Kristina Winberg","Kristina Winberg",,"Kristina Winberg","Kristina Winberg",,,,"Kristina Winberg",,"Kristina Winberg","Kristina Winberg",,"Kristina Winberg",female,politician,,,1965-05-27,,Winberg,Kristina,0223161519910,"Kristina Winberg",,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/Kristina_Winberg.jpg,,,"Kristina Winberg",,"Kristina Winberg",,,,"Kristina Winberg",,,"Category:Kristina Winberg",,,,,"Kristina Winberg",,,,,124995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16633140,"Niklas Karlsson","Niklas Karlsson","Niklas Karlsson",,"Niklas Karlsson",,,,,"Niklas Karlsson",,"Niklas Karlsson",,,"Niklas Karlsson (politiker)",male,politician,,,1974-06-18,,Karlsson,Niklas,065105536026,"Niklas Karlsson (politiker)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16633210,"Mats Lindberg","Mats Lindberg","Mats Lindberg",,"Mats Lindberg",,,,,"Mats Lindberg",,"Mats Lindberg",,,"Mats Lindberg (politiker)",male,politician,,,1945,,Lindberg,Mats,0789353702707,"Mats Lindberg (politiker)","Mats Lindberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
