id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__LCAuth,identifier__GND,identifier__discogs,family_name,identifier__freebase,identifier__journalisted,identifier__NPG,identifier__parliamentDOTuk,identifier__ISNI,identifier__NNDB,identifier__Muzinger,identifier__NTA,identifier__SUDOC,identifier__CANTIC,honorific_prefix,website,identifier__ULAN,identifier__OpenPlaques,honorific_suffix,email,identifier__NDL,name__en,name__be,name__ru,name__pl,identifier__IIAF,name__be_tarask,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,wikipedia__pl,original_wikiname,wikipedia__be,wikipedia__plwikiquote,name__uk,wikipedia__be_x_old,wikipedia__ru,wikipedia__uk,name__ja,wikipedia__de,wikipedia__en,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,occupation,name__sr,wikipedia__hu,wikipedia__sr,facebook,wikipedia__bewikiquote,name__ar,name__ko,wikipedia__ar,wikipedia__ko,name__kana,wikipedia__es,name__zh,wikipedia__commons
Q14866893,"Alyaksandr Yarashevich",male,,,1963-06-07,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alyaksandr Yarashevich","Аляксандр Ярашэвіч","Александр Ярошевич","Alaksandr Jaraszewicz",,"Аляксандар Ярашэвіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Jaraszewicz","Alaksandr Jaraszewicz","Аляксандр Мікалаевіч Ярашэвіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14917844,"Adam Bashkou",male,,,1951-05-26,Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adam Bashkou","Адам Башкоў","Башков, Адам Семенович","Adam Baszkou",,"Адам Башкоў","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Adam Baszkou","Адам Сямёнавіч Вашкоў",,,,,,,,,,,,,,,,,,"business magnate",,,,,,,,,,,,,
Q14918190,"Наталля Анатольеўна Клімовіч",female,,,1963-02-02,Natallia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Наталля Анатольеўна Клімовіч",,"Natalla Klimowicz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natalla Klimowicz","Natalla Klimowicz","Наталля Анатольеўна Клімовіч",,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,
Q14918481,"Aleksandr Stiecko",male,,,1957-04-26,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleksandr Stiecko","Аляксандр Мікалаевіч Сцяцко",,"Alaksandr Sciacko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Sciacko","Alaksandr Sciacko","Аляксандр Мікалаевіч Сцяцко",,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,
Q14918514,"Lyudmila Starascina",female,,,1963-04-09,Lyudmila,,,,,,,,,,Starascina,,,,,,,,,,,,,,,,,,"Lyudmila Starascina","Людміла Віктараўна Старасціна","Людмила Викторовна Старостина","Ludmiła Starascina",,"Людміла Старасьціна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ludmiła Starascina","Ludmiła Starascina","Людміла Віктараўна Старасціна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918527,"Пётр Мікалаевіч Шостак",male,,,1966-07-12,Piotr,,,,,,,,,,Shostak,,,,,,,,,,,,,,,,,,,"Пётр Мікалаевіч Шостак",,"Piotr Szostak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Piotr Szostak","Piotr Szostak","Пётр Мікалаевіч Шостак",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918565,"Zyhmund Valavach",male,,,1953-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zyhmund Valavach","Зыгмунд Антонавіч Валявач","Валевач, Зыгмунд Антонович","Zyhmund Walawacz",,,,,,,,,,,,,,"Zyhmund Valavach",,,,,,"Zyhmund Valavach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zyhmund Walawacz","Zyhmund Walawacz","Зыгмунд Антонавіч Валявач",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14918570,"Віктар Іванавіч Валюшыцкі",male,,,1962-02,Viktar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Іванавіч Валюшыцкі",,"Wiktar Waluszycki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wiktar Waluszycki","Wiktar Waluszycki","Віктар Іванавіч Валюшыцкі",,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,
Q14918587,"Mikhail Volkov",male,,,1955-01-26,"Michaił",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mikhail Volkov","Міхаіл Мікалаевіч Волкаў",,"Michaił Wołkau",,,,,,,,,,,,,,,,,,,,"Mikhail Volkov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michaił Wołkau (ur. 1955)","Michaił Wołkau (ur. 1955)","Міхаіл Мікалаевіч Волкаў",,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q14918588,"Mikhail Volkov",male,,,1963-09-23,"Michaił",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mikhail Volkov","Міхаіл Міхайлавіч Волкаў",,"Michaił Wołkau",,,,,,,,,,,,,,,,,,,,"Mikhail Volkov",,,,,,,,,,,,,,,,,,,"Mikhail Volkov",,,,,,,,,,,,,,,,,,"Michaił Wołkau (ur. 1963)","Michaił Wołkau (ur. 1963)","Міхаіл Міхайлавіч Волкаў",,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q14918628,"Валерый Аляксеевіч Жмайлік",male,,,1951-01-23,Valery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Аляксеевіч Жмайлік",,"Waleryj Żmajlik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waleryj Żmajlik","Waleryj Żmajlik","Валерый Аляксеевіч Жмайлік",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17044743,"Уладзімір Васільевіч Краўцоў",male,,,1953-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Васільевіч Краўцоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Васільевіч Краўцоў","Уладзімір Васільевіч Краўцоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17044887,"Аляксандр Веніямінавіч Мяжуеў",male,,,1959-07-11,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Веніямінавіч Мяжуеў","Межуев, Александр Вениаминович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Веніямінавіч Мяжуеў","Аляксандр Веніямінавіч Мяжуеў",,,,"Межуев, Александр Вениаминович",,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2029677,"Uladzimir Andreychanka",male,,,1949-01-02,Uladzimir,,,https://upload.wikimedia.org/wikipedia/commons/5/51/Uladzimi_Andreichanka.jpg,,,,,,,Andrejczanka,,,,,,,,,,,,,,,,,,"Uladzimir Andreychanka","Уладзімір Паўлавіч Андрэйчанка","Владимир Павлович Андрейченко","Uładzimir Andrejczanka",,"Уладзімер Андрэйчанка",,,,,,,,,,,,,,,,,,"Uladzimir Andreychanka",,,,,,,,,,,,,,,,,,,"Uladzimir Andreychanka",,,,,,,,,,,,,,,,,,"Uładzimir Andrejczanka","Uładzimir Andrejczanka","Уладзімір Паўлавіч Андрэйчанка",,"Андрейченко Володимир Павлович","Уладзімер Андрэйчанка","Андрейченко, Владимир Павлович","Андрейченко Володимир Павлович",,,,,,,,,,,,,agronomist,,,,,,,,,,,,,
Q20972322,"Мікалай Дзмітрыевіч Улаховіч",male,,,1951-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Дзмітрыевіч Улаховіч",,,,"Мікалай Улаховіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Дзмітрыевіч Улаховіч","Мікалай Дзмітрыевіч Улаховіч",,,"Мікалай Улаховіч",,,,,,,,,,,,,,,,,,,,,,,,,,,"尼古拉·域拉高福斯",
Q25536447,"Аляксей Фёдаравіч Кузьміч",male,,,1955-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксей Фёдаравіч Кузьміч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксей Фёдаравіч Кузьміч","Аляксей Фёдаравіч Кузьміч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q256650,"Irina Dorofeeva",female,,,1977-07-06,Iryna,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Iryna_Darafiejeva.jpg,,,,,,,,/m/0g9ss4y,,,,,,,,,,,http://www.irinadorofeeva.com/,,,,,,"Irina Dorofeeva","Ірына Дарафеева","Дорофеева, Ирина Аркадьевна",,,,,,,,,,,,,,,,,"Irina Dorofeeva",,,,"Irina Dorofeeva",,,,,,,"Irina Darafejeva",,,,,,,,,,,,"Irina Dorofeeva",,,,,,,,,,,,,,,,,,,"Ірына Аркадзьеўна Дарафеева","Ірына Аркадзьеўна Дарафеева",,,,"Дорофеева, Ирина Аркадьевна",,,,"Irina Dorofeeva",,,"Irina Dorofeeva",,,,,,,singer,"Ирина Дорофејева","Irina Darafejeva","Ирина Дорофејева",irinadorofeevaofficialpage,,,,,,,,,
Q26897630,"Алена Мікалаеўна Анісім",female,,,1962-09-28,,,,"https://upload.wikimedia.org/wikipedia/commons/5/5e/Алена_Анісім._2015.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,"Алена Мікалаеўна Анісім",,"Alena Anisim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alena Anisim",,,,,,,,,,,,,,,,,,"Alena Anisim","Алена Мікалаеўна Анісім","Алена Мікалаеўна Анісім",,,,"Анисим, Елена Николаевна",,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897631,"Валерый Іванавіч Гушча",male,,,1956-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Іванавіч Гушча",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Іванавіч Гушча","Валерый Іванавіч Гушча",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897632,"Anatol Boyka",male,,,1954-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anatol Boyka","Анатоль Сцяпанавіч Бойка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anatol Boyka",,,,,,,,,,,,,,,,,,,"Анатоль Сцяпанавіч Бойка","Анатоль Сцяпанавіч Бойка",,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q26897633,"Валерый Анатольевіч Барадзеня",male,,,1972-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Анатольевіч Барадзеня",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Анатольевіч Барадзеня","Валерый Анатольевіч Барадзеня",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897634,"Валянціна Ігнацьеўна Верас",female,,,1959-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянціна Ігнацьеўна Верас",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянціна Ігнацьеўна Верас","Валянціна Ігнацьеўна Верас",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897635,"Аляксандр Анатольевіч Валчанкоў",male,,,1957-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Анатольевіч Валчанкоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Анатольевіч Валчанкоў","Аляксандр Анатольевіч Валчанкоў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897636,"Валерый Уладзіміравіч Гайдукевіч",male,,,1953-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Уладзіміравіч Гайдукевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Уладзіміравіч Гайдукевіч","Валерый Уладзіміравіч Гайдукевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897637,"Таіса Іванаўна Данілевіч",female,,,1958-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Таіса Іванаўна Данілевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Таіса Іванаўна Данілевіч","Таіса Іванаўна Данілевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897638,"Вадзім Анатольевіч Дзевятоўскі",male,,,1977-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вадзім Анатольевіч Дзевятоўскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Вадзім Анатольевіч Дзевятоўскі","Вадзім Анатольевіч Дзевятоўскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897639,"Уладзімір Міхайлавіч Дзедушкін",male,,,1954-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Міхайлавіч Дзедушкін",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Уладзімір Міхайлавіч Дзедушкін","Уладзімір Міхайлавіч Дзедушкін",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897640,"Людміла Анатольеўна Дабрыніна",female,,,1961-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Людміла Анатольеўна Дабрыніна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Людміла Анатольеўна Дабрыніна","Людміла Анатольеўна Дабрыніна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897641,"Юрый Іванавіч Дарагакупец",male,,,1962-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Юрый Іванавіч Дарагакупец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Юрый Іванавіч Дарагакупец","Юрый Іванавіч Дарагакупец",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897642,"Сяргей Веніямінавіч Дудкін",male,,,1962-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сяргей Веніямінавіч Дудкін",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Сяргей Веніямінавіч Дудкін","Сяргей Веніямінавіч Дудкін",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897643,"Леанід Аляксеевіч Ермантовіч",male,,,1956-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Леанід Аляксеевіч Ермантовіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Леанід Аляксеевіч Ермантовіч","Леанід Аляксеевіч Ермантовіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897644,"Мікалай Міхайлавіч Іванчанка",male,,,1947-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Міхайлавіч Іванчанка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Міхайлавіч Іванчанка","Мікалай Міхайлавіч Іванчанка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897645,"Леанід Мікалаевіч Кавалевіч",male,,,1958-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Леанід Мікалаевіч Кавалевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Леанід Мікалаевіч Кавалевіч","Леанід Мікалаевіч Кавалевіч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897646,"Валерый Уладзіміравіч Кокаш",male,,,1951-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Уладзіміравіч Кокаш",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валерый Уладзіміравіч Кокаш","Валерый Уладзіміравіч Кокаш",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897647,"Мікалай Анісімавіч Калтуноў",male,,,1961-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Анісімавіч Калтуноў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мікалай Анісімавіч Калтуноў","Мікалай Анісімавіч Калтуноў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897648,"Таццяна Пятроўна Кананчук",female,,,1966-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Таццяна Пятроўна Кананчук",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Таццяна Пятроўна Кананчук","Таццяна Пятроўна Кананчук",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897650,"Анатоль Паўлавіч Коханаў",male,,,1950-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Анатоль Паўлавіч Коханаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Анатоль Паўлавіч Коханаў","Анатоль Паўлавіч Коханаў",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26897653,"Тамара Пятроўна Красоўская",female,,,1965-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Тамара Пятроўна Красоўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Тамара Пятроўна Красоўская","Тамара Пятроўна Красоўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
