id,position,label,description,start_date,constituency,end_date,election,term,replaces,replaced_by,of
Q1687064,Q5261031,Deputy First Minister for Wales,"",2001-07-06,,2002-06-13,,,,,
Q1687064,Q708492,councillor,representative of voters to a local government,"",,,,,,,
Q16945593,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q16945593,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,North Wales,2016-08-17,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q16945593,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-08-17,North Wales,2017-12-27,,5th Welsh Assembly,,Mandy Jones,
Q19397,Q1846384,Secretary of State for Wales,United Kingdom government cabinet minister,1998-10-27,,1999-07-27,,,Ron Davies,Paul Murphy,
Q19397,Q18996,First Minister of Wales,leader of the Welsh Government,1999-05-12,,2000-02-09,,,"",Rhodri Morgan,
Q19397,Q23766510,Leader of Welsh Labour,UK party leader,1999-05-12,,2000-02-09,,,"",Rhodri Morgan,
Q19397,Q24993989,South Wales Police and Crime Commissioner,"",2012-11-15,,,,,"",,
Q19397,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q19397,Q35494253,Member of the 55th Parliament of the United Kingdom,"",2010-05-06,Cardiff South and Penarth,2012-10-22,"United Kingdom general election, 2010",55th United Kingdom Parliament,,,
Q19397,Q35647955,Member of the 54th Parliament of the United Kingdom,"",2005-05-05,Cardiff South and Penarth,2010-04-12,"United Kingdom general election, 2005",54th United Kingdom Parliament,,,
Q19397,Q35921591,Member of the 53rd Parliament of the United Kingdom,"",2001-06-07,Cardiff South and Penarth,2005-04-11,"United Kingdom general election, 2001",53rd United Kingdom Parliament,,,
Q19397,Q36634044,Member of the 52nd Parliament of the United Kingdom,"",1997-05-01,Cardiff South and Penarth,2001-05-14,"United Kingdom general election, 1997",52nd United Kingdom Parliament,,,
Q19397,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Cardiff South and Penarth,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
Q19397,Q41582627,Member of the 51st Parliament of the United Kingdom,"",1992-04-09,Cardiff South and Penarth,1997-04-08,"United Kingdom general election, 1992",51st United Kingdom Parliament,,,
Q19397,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Mid and West Wales,2000-05-01,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q19397,Q7883053,Under-Secretary of State for the Home Department,"",1997-05-02,,1998-10-27,,,David Maclean,Paul Boateng,
Q19958045,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2015-05-27,North Wales,2016-04-06,,4th Welsh Assembly,,,
Q20065239,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2015-05-19,South Wales West,2016-04-06,,4th Welsh Assembly,,,
Q20570139,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Arfon,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24035607,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Islwyn,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24039145,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Delyn,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24039145,Q45347855,Minister for Environment,Junior Welsh government position,2017-11-03,,,,,,,
Q24039661,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Llanelli,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24040034,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Caerphilly,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24041564,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,South Wales Central,2018-01-16,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24041564,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2018-01-16,South Wales Central,,,,,,
Q24045680,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Cynon Valley,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24048985,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,North Wales,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24050164,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Merthyr Tydfil and Rhymney,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24050178,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Newport West,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24405225,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,South Wales West,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24405234,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,South Wales East,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24405244,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,South Wales Central,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24405255,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,South Wales East,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24706040,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Neath,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q24706040,Q5176615,Counsel General for Wales,"",2017-11-03,,,,,,,
Q268030,Q1846384,Secretary of State for Wales,United Kingdom government cabinet minister,2016-03-19,,,,,Stephen Crabb,,
Q268030,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q268030,Q30524710,Member of the 57th Parliament of the United Kingdom,"",2017-06-08,Vale of Glamorgan,,"United Kingdom general election, 2017",57th United Kingdom Parliament,,,
Q268030,Q30524718,Member of the 56th Parliament of the United Kingdom,"",2015-05-08,Vale of Glamorgan,2017-05-03,"United Kingdom general election, 2015",56th United Kingdom Parliament,,,
Q268030,Q35494253,Member of the 55th Parliament of the United Kingdom,"",2010-05-06,Vale of Glamorgan,2015-03-30,"United Kingdom general election, 2010",55th United Kingdom Parliament,,,
Q268030,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,South Wales West,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q268030,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,South Wales West,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q268030,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,South Wales West,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q296797,Q30524710,Member of the 57th Parliament of the United Kingdom,"",2017-06-08,Monmouth,,"United Kingdom general election, 2017",57th United Kingdom Parliament,,,
Q296797,Q30524718,Member of the 56th Parliament of the United Kingdom,"",2015-05-08,Monmouth,2017-05-03,"United Kingdom general election, 2015",56th United Kingdom Parliament,,,
Q296797,Q35494253,Member of the 55th Parliament of the United Kingdom,"",2010-05-06,Monmouth,2015-03-30,"United Kingdom general election, 2010",55th United Kingdom Parliament,,,
Q296797,Q35647955,Member of the 54th Parliament of the United Kingdom,"",2005-05-05,Monmouth,2010-04-12,"United Kingdom general election, 2005",54th United Kingdom Parliament,,,
Q296797,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Monmouth,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q296797,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Monmouth,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q296920,Q30524710,Member of the 57th Parliament of the United Kingdom,"",2017-06-08,Montgomeryshire,,"United Kingdom general election, 2017",57th United Kingdom Parliament,,,
Q296920,Q30524718,Member of the 56th Parliament of the United Kingdom,"",2015-05-08,Montgomeryshire,2017-05-03,"United Kingdom general election, 2015",56th United Kingdom Parliament,,,
Q296920,Q35494253,Member of the 55th Parliament of the United Kingdom,"",2010-05-06,Montgomeryshire,2015-03-30,"United Kingdom general election, 2010",55th United Kingdom Parliament,,,
Q296920,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Mid and West Wales,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q296920,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Mid and West Wales,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q333141,Q18996,First Minister of Wales,leader of the Welsh Government,2000-02-09,,2009-12-10,,,Alun Michael,Carwyn Jones,
Q333141,Q23766510,Leader of Welsh Labour,UK party leader,2000-02-09,,2009-12-09,,,Alun Michael,Carwyn Jones,
Q333141,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q333141,Q33105970,Secretary for Economic Development and European Affairs,Historic Welsh Cabinet position,1999-05-12,,2000-02-09,,,,,
Q333141,Q36634044,Member of the 52nd Parliament of the United Kingdom,"",1997-05-01,Cardiff West,2001-05-14,"United Kingdom general election, 1997",52nd United Kingdom Parliament,,,
Q333141,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Cardiff West,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
Q333141,Q41582627,Member of the 51st Parliament of the United Kingdom,"",1992-04-09,Cardiff West,1997-04-08,"United Kingdom general election, 1992",51st United Kingdom Parliament,,,
Q333141,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Cardiff West,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q333141,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Cardiff West,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q333141,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Cardiff West,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q333600,Q18952564,Member of the House of Lords,"",2011-01-19,,,,,,,
Q333600,Q25713850,Leader of Plaid Cymru,Welsh party leader,1991,,2000,,,,,
Q333600,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q333600,Q36634044,Member of the 52nd Parliament of the United Kingdom,"",1997-05-01,Caernarfon,2001-05-14,"United Kingdom general election, 1997",52nd United Kingdom Parliament,,,
Q333600,Q41582615,Member of the 46th Parliament of the United Kingdom,"",1974-02-28,Caernarfon,1974-09-20,"United Kingdom general election, February 1974",46th United Kingdom Parliament,,,
Q333600,Q41582617,Member of the 47th Parliament of the United Kingdom,"",1974-10-10,Caernarfon,1979-04-07,"United Kingdom general election, October 1974",47th United Kingdom Parliament,,,
Q333600,Q41582619,Member of the 48th Parliament of the United Kingdom,"",1979-05-03,Caernarfon,1983-05-13,"United Kingdom general election, 1979",48th United Kingdom Parliament,,,
Q333600,Q41582621,Member of the 49th Parliament of the United Kingdom,"",1983-06-09,Caernarfon,1987-05-18,"United Kingdom general election, 1983",49th United Kingdom Parliament,,,
Q333600,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Caernarfon,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
Q333600,Q41582627,Member of the 51st Parliament of the United Kingdom,"",1992-04-09,Caernarfon,1997-04-08,"United Kingdom general election, 1992",51st United Kingdom Parliament,,,
Q333600,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Caernarfon,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q3337819,Q41582621,Member of the 49th Parliament of the United Kingdom,"",1983-06-09,Tatton,1987-05-18,"United Kingdom general election, 1983",49th United Kingdom Parliament,,,
Q3337819,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Tatton,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
Q3337819,Q41582627,Member of the 51st Parliament of the United Kingdom,"",1992-04-09,Tatton,1997-04-08,"United Kingdom general election, 1992",51st United Kingdom Parliament,,,
Q3337819,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Mid and West Wales,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q333841,Q18952564,Member of the House of Lords,"","",,,,,,,
Q333841,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q333841,Q41582615,Member of the 46th Parliament of the United Kingdom,"",1974-02-28,Merioneth,1974-09-20,"United Kingdom general election, February 1974",46th United Kingdom Parliament,,,
Q333841,Q41582617,Member of the 47th Parliament of the United Kingdom,"",1974-10-10,Merioneth,1979-04-07,"United Kingdom general election, October 1974",47th United Kingdom Parliament,,,
Q333841,Q41582619,Member of the 48th Parliament of the United Kingdom,"",1979-05-03,Merioneth,1983-05-13,"United Kingdom general election, 1979",48th United Kingdom Parliament,,,
Q333841,Q41582621,Member of the 49th Parliament of the United Kingdom,"",1983-06-09,Meirionnydd Nant Conwy,1987-05-18,"United Kingdom general election, 1983",49th United Kingdom Parliament,,,
Q333841,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Meirionnydd Nant Conwy,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
Q333841,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Meirionnydd Nant Conwy,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q333841,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Meirionnydd Nant Conwy,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q333841,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,Dwyfor Meirionnydd,2011-03-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q333841,Q42310652,Member of the 4th National Assembly for Wales,Member of the Welsh Assembly during the 2011-2016 term,2011-05-05,Dwyfor Meirionnydd,2016-04-06,"National Assembly for Wales election, 2011",4th Welsh Assembly,,,
Q333841,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Dwyfor Meirionnydd,2016-10-14,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q333841,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-10-14,Dwyfor Meirionnydd,,,5th Welsh Assembly,,,
Q333841,Q45347662,"Minister for Culture, Tourism and Sport",Junior Welsh government position,2017-11-03,,,,,,,
Q333841,Q7241522,Presiding Officer of the National Assembly for Wales,"",1999-05-12,,2011-05-11,,,,Rosemary Butler,
Q333869,Q16323054,Shadow Secretary of State for Wales,"",1993-10-21,,1997-05-02,,,Ann Clwyd,William Hague,
Q333869,Q1846384,Secretary of State for Wales,United Kingdom government cabinet minister,1997-05-02,,1998-10-27,,,William Hague,Alun Michael,
Q333869,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,,
Q333869,Q36634044,Member of the 52nd Parliament of the United Kingdom,"",1997-05-01,Caerphilly,2001-05-14,"United Kingdom general election, 1997",52nd United Kingdom Parliament,,,
Q333869,Q41582621,Member of the 49th Parliament of the United Kingdom,"",1983-06-09,Caerphilly,1987-05-18,"United Kingdom general election, 1983",49th United Kingdom Parliament,,,
Q333869,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Caerphilly,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
Q333869,Q41582627,Member of the 51st Parliament of the United Kingdom,"",1992-04-09,Caerphilly,1997-04-08,"United Kingdom general election, 1992",51st United Kingdom Parliament,,,
Q333869,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,Caerphilly,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q333869,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,Caerphilly,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q336521,Q18952564,Member of the House of Lords,"",2011,,,,,,,
Q336521,Q27169,member of the European Parliament,person who has been elected to the European Parliament,1994-06-09,Mid and West Wales,1999-06-10,,,David Morris,"",
Q336521,Q27169,member of the European Parliament,person who has been elected to the European Parliament,1999-06-10,Wales,2009-06-04,,,,,
Q336521,Q42310659,Member of the 5th National Assembly for Wales,Member of the Welsh Assembly during the 2016-2021 term,2016-05-05,Mid and West Wales,,"National Assembly for Wales election, 2016",5th Welsh Assembly,,,
Q336521,Q45347919,Minister for Welsh Language and Lifelong Learning,Junior Welsh government position,2017-11-03,,,,,Alun Davies,,
Q336526,Q25273109,Leader of the Welsh Liberal Democrats,Welsh party leader,2007,,2008,,,,,
Q336526,Q32859667,Minister for Economic Development,Historic Welsh Cabinet position,2000-02-09,,2003-05-01,,,,,
Q336526,Q42310633,Member of the 1st National Assembly for Wales,Member of the Welsh Assembly during the 1999-2003 term,1999-05-06,South Wales East,2003-04-02,"National Assembly for Wales election, 1999",1st Welsh Assembly,,,
Q336526,Q42310642,Member of the 2nd National Assembly for Wales,Member of the Welsh Assembly during the 2003-2007 term,2003-05-01,South Wales East,2007-03-28,"National Assembly for Wales election, 2003",2nd Welsh Assembly,,,
Q336526,Q42310648,Member of the 3rd National Assembly for Wales,Member of the Welsh Assembly during the 2007-2011 term,2007-05-03,South Wales East,2010-06-30,"National Assembly for Wales election, 2007",3rd Welsh Assembly,,,
Q336526,Q5261031,Deputy First Minister for Wales,"",2000-10-16,,2001-07-06,,,"",Jenny Randerson,
Q336526,Q5261031,Deputy First Minister for Wales,"",2002-06-13,,2003-05-01,,,Jenny Randerson,Ieuan Wyn Jones,
Q3396810,Q23602586,"Minister for Business, Enterprise, Technology and Science",Welsh government position,2007,,2011,,,Brian Gibbons,Edwina Hart,
Q3396810,Q25713850,Leader of Plaid Cymru,Welsh party leader,2000-03-16,,2012-03-16,,,Dafydd Wigley,Leanne Wood,
Q3396810,Q36634044,Member of the 52nd Parliament of the United Kingdom,"",1997-05-01,Ynys Môn,2001-05-14,"United Kingdom general election, 1997",52nd United Kingdom Parliament,,,
Q3396810,Q41582624,Member of the 50th Parliament of the United Kingdom,"",1987-06-11,Ynys Môn,1992-03-16,"United Kingdom general election, 1987",50th United Kingdom Parliament,,,
