id,position,label,description,start_date,term,constituency,end_date,election,replaces,replaced_by,of
Q15849,Q4294919,Minister of Foreign Affairs,Portuguese minister,1992,,,1995,,João de Deus Pinheiro,Jaime Gama,
Q15849,Q8882,President of the European Commission,head of the European Commission,2004-11-22,,,2014-10-31,,Romano Prodi,Jean-Claude Juncker,
Q15980671,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q15980671,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q16336718,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q16337119,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q16337640,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q16491519,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q16498018,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q16537126,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q1688029,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,1975,,,1993,,,,
Q1688029,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,2002,,,,,,,
Q1688029,Q43185266,,"","",,,,,,,
Q1688029,Q769829,Portuguese Communist Party,political party,2004,,,,,,,
Q16940524,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q16940875,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q17496461,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",13th Portuguese Assembly,Leiria District,,,,,
Q17496474,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q182367,Q1723031,Prime Minister of Portugal,"","",,,,,,,
Q182367,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q182367,Q25917009,Minister of Social Infrastructure,Minister in Portugal,"",,,,,,,
Q182367,Q25917010,Minister of the Environment,Minister in Portugal,"",,,,,,,
Q182367,Q735587,President of the European Council,position,"",,,,,,,
Q1896446,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q19409554,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q20017756,Q43185970,Mayor of Lisbon,"","",,,,,,,
Q200941,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q200941,Q25906445,Minister of National Defence,Minister in Portugal,1995-10-28,,,1997-11-25,,,,
Q200941,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q206147,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q2066785,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q21072405,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",13th Portuguese Assembly,,,,,,
Q22807807,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q23836573,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q23904994,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q23905015,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q239248,Q1723031,Prime Minister of Portugal,"","",,,,,,,
Q239248,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q239248,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q239248,Q43185970,Mayor of Lisbon,"","",,,,,,,
Q24035061,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q25421864,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q25421866,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q25421892,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q2571494,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,2015-10-23,,Azores,,,,,
Q27836017,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q2831797,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q28555817,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",13th Portuguese Assembly,Lisbon,,,,,
Q2857733,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q2857763,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q2868303,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q2868303,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q28870177,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q3038797,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q3047625,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,,,2014-06-30,,,,
Q3062583,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,2005-03-10,,Setúbal District,,,,,
Q30934473,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q30934717,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q30934722,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q30934734,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q30934986,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q30934991,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q311440,Q16321109,President-in-Office of the European Council,"",2000-01-01,,,2000-06-30,,Paavo Lipponen,Jacques Chirac,
Q311440,Q1723031,Prime Minister of Portugal,"",1995-10-28,,,2002-04-06,,Aníbal Cavaco Silva,José Manuel Barroso,
Q311440,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,1976,,,1995,,,,
Q311440,Q27104951,President of the Socialist International,"",1999-11,,,2005-06,,Pierre Mauroy,George Papandreou,
Q311440,Q27134289,General Secretary of the Socialist Party (Portugal),"",1992-02-23,,,2002-01-20,,Jorge Sampaio,Eduardo Ferro Rodrigues,
Q311440,Q27137568,member of the Parliamentary Assembly of the Council of Europe,"",1981-01-26,,,1983-09-01,,,,
Q311440,Q27832358,United Nations High Commissioner for Refugees,head of the office of the United Nations High Commissioner for Refugees,2005-06-15,,,2015-12-31,,Wendy Chamberlin,Filippo Grandi,
Q311440,Q81066,United Nations Secretary-General,head of the United Nations Secretariat,2017-01-01,,,"","United Nations Secretary-General selection, 2016",Ban Ki-moon,"",
Q3183843,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q3321239,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q3321239,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q3496740,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q364934,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q365986,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q377683,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q42297127,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q42851646,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q4287613,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q4287613,Q43185266,,"","",,,,,,,
Q43376217,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q438868,Q121998,ambassador,diplomatic envoy,"",,,,,,,
Q438868,Q1723031,Prime Minister of Portugal,"",1980-12-04,,,1981-01-09,,,,
Q438868,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q438868,Q25906445,Minister of National Defence,Minister in Portugal,1981-09-04,,,1983-06-09,,Luís de Azevedo Coutinho,Rui Machete,
Q438868,Q4294919,Minister of Foreign Affairs,Portuguese minister,"",,,,,,,
Q438868,Q43185266,,"","",,,,,,,
Q446042,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q446042,Q43185266,,"","",,,,,,,
Q4576565,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q4576565,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q4685594,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q472589,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q472589,Q4294919,Minister of Foreign Affairs,Portuguese minister,"",,,,,,,
Q472589,Q43185266,,"","",,,,,,,
Q4777535,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q4777535,Q43185266,,"","",,,,,,,
Q4777584,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q4777584,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q5361358,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q5444589,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q5444589,Q43185266,,"","",,,,,,,
Q550243,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q57615,Q1723031,Prime Minister of Portugal,"",2011-06-21,,,2015-11-26,,José Sócrates,António Costa,
Q57615,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q58161,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q58161,Q25906445,Minister of National Defence,Minister in Portugal,2002-04-06,,,2005-03-12,,Rui Pena,Luís Amado,
Q58161,Q25909451,Deputy Prime Minister of Portugal,"",2013-07-24,,,2015-11-26,,Eurico de Melo,,
Q58161,Q27169,member of the European Parliament,person who has been elected to the European Parliament,1999-07-20,,,1999-11-02,,,,
Q58161,Q4294919,Minister of Foreign Affairs,Portuguese minister,"",,,,,,,
Q607679,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2000,,,2014,,,,
Q610788,Q10330343,Ministry of Parliamentary Affairs,Government ministry of Portugal,1997-11-25,,,1999-10-25,,António Couto dos Santos,Luís Marques Mendes,
Q610788,Q1723031,Prime Minister of Portugal,"",2015-11-26,,,,,Pedro Passos Coelho,,
Q610788,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,1991,,,1995,,,,
Q610788,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,2015-10-23,,Lisbon,,,,,
Q610788,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,,Portugal,2005-03-11,,,,
Q610788,Q43185970,Mayor of Lisbon,"",2007-08-01,,,2015-04-06,,Marina Ferreira,Fernando Medina,
Q610788,Q43186489,,"",1999-10-25,,,2002-04-06,,Vera Jardim,Celeste Cardona,
Q610788,Q43187055,,"",2005-03-12,,,2007-05-17,,Daniel Sanches,Rui Pereira,
Q610788,Q6501749,general secretary,leader or chief officer of an organisation,2014-11-22,,,,,António José Seguro,,Socialist Party
Q610788,Q7925068,Vice President of the European Parliament,"",2004-07-20,,,2005-03-11,,,,
Q611579,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q612666,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q6213542,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q6213542,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q6291307,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q6293647,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q6293647,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q64685,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q64685,Q27169,member of the European Parliament,person who has been elected to the European Parliament,1989-07-25,,,1994-07-18,,,,
Q64688,Q29885524,Member of the NATO Parliamentary Assembly,"","",,,,,,,
Q6526073,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q6526073,Q43185266,,"","",,,,,,,
Q655391,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q656518,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q6706787,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q6752747,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q6761683,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q6761683,Q23196603,Minister of Health,Portuguese cabinet minister,"",,,,,,,
Q6761683,Q3315134,Minister for Women and Equalities,"","",,,,,,,
Q6834299,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q714076,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q7155277,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q722614,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q737410,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q737410,Q43185266,,"","",,,,,,,
Q7378729,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q745134,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q745134,Q43185266,,"","",,,,,,,
Q7666117,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q7666117,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q7702196,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q7925828,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q8077028,Q43185266,,"","",,,,,,,
Q8273290,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q8273290,Q43185266,,"","",,,,,,,
Q8273607,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q8273607,Q43185266,,"","",,,,,,,
Q9144666,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q9158198,Q43185266,,"","",,,,,,,
Q9207629,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q9212694,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q925136,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q9259658,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q9310612,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q9594142,Q43185266,,"","",,,,,,,
Q9594416,Q43185266,,"","",,,,,,,
Q9618827,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,
Q9619105,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
Q9650912,Q43185266,,"","",,,,,,,
Q971595,Q19953703,Member of the Assembly of the Republic,member of the Portuguese parliament,"",,,,,,,
