id,identifier__parlamentdotch,name,sort_name,given_name,family_name,birth_date,gender,area,area_id,council,council_id,party,party_id,faction,faction_id,term,source,start_date,end_date
1120,1120,"Carlo Sommaruga","Sommaruga, Carlo",Carlo,Sommaruga,1959-07-08,male,Genf,GE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1120,,
1122,1122,"Kurt Fluri","Fluri, Kurt",Kurt,Fluri,1955-08-19,male,Solothurn,SO,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=1122,,
1124,1124,"Dominique de Buman","de Buman, Dominique",Dominique,"de Buman",1956-04-28,male,Freiburg,FR,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=1124,,
1125,1125,"Chantal Galladé","Galladé, Chantal",Chantal,"Galladé",1972-12-17,female,"Zürich",ZH,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1125,,
1129,1129,"Silvia Schenker","Schenker, Silvia",Silvia,Schenker,1954-01-17,female,Basel-Stadt,BS,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1129,,
1131,1131,"Evi Allemann","Allemann, Evi",Evi,Allemann,1978-07-16,female,Bern,BE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1131,,
1135,1135,"Adrian Amstutz","Amstutz, Adrian",Adrian,Amstutz,1953-12-02,male,Bern,BE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1135,,
1137,1137,"Walter Müller","Müller, Walter",Walter,"Müller",1948-04-25,male,"St. Gallen",SG,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=1137,,
1138,1138,"Martin Bäumle","Bäumle, Martin",Martin,"Bäumle",1964-06-03,male,"Zürich",ZH,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=1138,,
1139,1139,"Christa Markwalder","Markwalder, Christa",Christa,Markwalder,1975-07-27,female,Bern,BE,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=1139,,
1142,1142,"Walter Wobmann","Wobmann, Walter",Walter,Wobmann,1957-11-21,male,Solothurn,SO,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1142,,
1147,1147,"Margret Kiener Nellen","Kiener Nellen, Margret",Margret,"Kiener Nellen",1953-04-17,female,Bern,BE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1147,,
1153,1153,"Ruedi Noser","Noser, Ruedi",Ruedi,Noser,1961-04-14,male,"Zürich",ZH,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=1153,,2015-12-07
1156,1156,"Bea Heim","Heim, Bea",Bea,Heim,1946-04-07,female,Solothurn,SO,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1156,,
1159,1159,"Pirmin Schwander","Schwander, Pirmin",Pirmin,Schwander,1961-12-28,male,Schwyz,SZ,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1159,,
1279,1279,"Roger Nordmann","Nordmann, Roger",Roger,Nordmann,1973-03-23,male,Waadt,VD,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1279,,
1288,1288,"Viola Amherd","Amherd, Viola",Viola,Amherd,1962-06-07,female,Wallis,VS,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=1288,,
1295,1295,"Edith Graf-Litscher","Graf-Litscher, Edith",Edith,Graf-Litscher,1964-03-25,female,Thurgau,TG,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=1295,,
1318,1318,"Louis Schelbert","Schelbert, Louis",Louis,Schelbert,1952-10-31,male,Luzern,LU,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=1318,,
1337,1337,"Ida Glanzmann-Hunkeler","Glanzmann-Hunkeler, Ida",Ida,Glanzmann-Hunkeler,1958-09-29,female,Luzern,LU,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=1337,,
1345,1345,"Thomas Müller","Müller, Thomas",Thomas,"Müller",1952-12-01,male,"St. Gallen",SG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=1345,,
1346,1346,"Isabelle Moret","Moret, Isabelle",Isabelle,Moret,1970-12-30,female,Waadt,VD,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=1346,,
3828,3828,"Ignazio Cassis","Cassis, Ignazio",Ignazio,Cassis,1961-04-13,male,Tessin,TI,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3828,,
3830,3830,"Marina Carobbio Guscetti","Carobbio Guscetti, Marina",Marina,"Carobbio Guscetti",1966-06-12,female,Tessin,TI,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=3830,,
3865,3865,"Jean-François Steiert","Steiert, Jean-François","Jean-François",Steiert,1961-02-07,male,Freiburg,FR,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=3865,,2017-02-26
3867,3867,"Andreas Aebi","Aebi, Andreas",Andreas,Aebi,1958-11-26,male,Bern,BE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3867,,
3872,3872,"Jacques Bourgeois","Bourgeois, Jacques",Jacques,Bourgeois,1958-03-14,male,Freiburg,FR,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3872,,
3875,3875,"Corina Eichenberger-Walther","Eichenberger-Walther, Corina",Corina,Eichenberger-Walther,1954-10-14,female,Aargau,AG,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3875,,
3876,3876,"Yvette Estermann","Estermann, Yvette",Yvette,Estermann,1967-02-26,female,Luzern,LU,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3876,,
3877,3877,"Doris Fiala","Fiala, Doris",Doris,Fiala,1957-01-29,female,"Zürich",ZH,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3877,,
3878,3878,"Sylvia Flückiger-Bäni","Flückiger-Bäni, Sylvia",Sylvia,"Flückiger-Bäni",1952-06-01,female,Aargau,AG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3878,,
3880,3880,"Andrea Martina Geissbühler","Geissbühler, Andrea Martina","Andrea Martina","Geissbühler",1976-08-03,female,Bern,BE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3880,,
3882,3882,"Bastien Girod","Girod, Bastien",Bastien,Girod,1980-12-21,male,"Zürich",ZH,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=3882,,
3883,3883,"Alice Glauser-Zufferey","Glauser-Zufferey, Alice",Alice,Glauser-Zufferey,1954-10-18,female,Waadt,VD,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3883,2016-02-29,
3885,3885,"Jean-Pierre Grin","Grin, Jean-Pierre",Jean-Pierre,Grin,1947-03-16,male,Waadt,VD,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3885,,
3886,3886,"Hans Grunder","Grunder, Hans",Hans,Grunder,1956-06-13,male,Bern,BE,NR,1,BDP,0,BD,136,50,https://www.parlament.ch/en/biografie?CouncillorId=3886,,
3887,3887,"Alfred Heer","Heer, Alfred",Alfred,Heer,1961-10-12,male,"Zürich",ZH,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3887,,
3888,3888,"Hugues Hiltpold","Hiltpold, Hugues",Hugues,Hiltpold,1969-05-05,male,Genf,GE,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3888,,
3890,3890,"Thomas Hurter","Hurter, Thomas",Thomas,Hurter,1963-11-01,male,Schaffhausen,SH,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3890,,
3891,3891,"Daniel Jositsch","Jositsch, Daniel",Daniel,Jositsch,1965-03-25,male,"Zürich",ZH,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=3891,,2015-12-07
3895,3895,"Christian Lüscher","Lüscher, Christian",Christian,"Lüscher",1963-12-06,male,Genf,GE,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3895,,
3897,3897,"Tiana Angelina Moser","Moser, Tiana Angelina","Tiana Angelina",Moser,1979-04-06,female,"Zürich",ZH,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=3897,,
3898,3898,"Yves Nidegger","Nidegger, Yves",Yves,Nidegger,1957-05-17,male,Genf,GE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3898,,
3899,3899,"Eric Nussbaumer","Nussbaumer, Eric",Eric,Nussbaumer,1960-07-11,male,Basel-Landschaft,BL,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=3899,,
3901,3901,"Lukas Reimann","Reimann, Lukas",Lukas,Reimann,1982-09-18,male,"St. Gallen",SG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3901,,
3902,3902,"Natalie Rickli","Rickli, Natalie",Natalie,Rickli,1976-11-19,female,"Zürich",ZH,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3902,,
3904,3904,"Barbara Schmid-Federer","Schmid-Federer, Barbara",Barbara,Schmid-Federer,1965-11-10,female,"Zürich",ZH,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=3904,,
3905,3905,"Roberto Schmidt","Schmidt, Roberto",Roberto,Schmidt,1962-07-16,male,Wallis,VS,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=3905,,
3907,3907,"Adèle Thorens Goumaz","Thorens Goumaz, Adèle","Adèle","Thorens Goumaz",1971-12-15,female,Waadt,VD,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=3907,,
3910,3910,"Erich von Siebenthal","von Siebenthal, Erich",Erich,"von Siebenthal",1958-12-30,male,Bern,BE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=3910,,
3912,3912,"Christian Wasserfallen","Wasserfallen, Christian",Christian,Wasserfallen,1981-06-30,male,Bern,BE,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=3912,,
3923,3923,"Ada Marra","Marra, Ada",Ada,Marra,1973-03-10,female,Waadt,VD,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=3923,,
3931,3931,"Thomas Weibel","Weibel, Thomas",Thomas,Weibel,1954-07-14,male,"Zürich",ZH,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=3931,,
4008,4008,"Martin Landolt","Landolt, Martin",Martin,Landolt,1968-06-30,male,Glarus,GL,NR,1,BDP,0,BD,136,50,https://www.parlament.ch/en/biografie?CouncillorId=4008,,
4018,4018,"Jacques-André Maire","Maire, Jacques-André","Jacques-André",Maire,1957-05-27,male,Neuenburg,NE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4018,,
4025,4025,"Roland Rino Büchel","Büchel, Roland Rino","Roland Rino","Büchel",1965-10-08,male,"St. Gallen",SG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4025,,
4030,4030,"Prisca Birrer-Heimo","Birrer-Heimo, Prisca",Prisca,Birrer-Heimo,1959-02-04,female,Luzern,LU,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4030,,
4031,4031,"Maja Ingold","Ingold, Maja",Maja,Ingold,1948-05-23,female,"Zürich",ZH,NR,1,EVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4031,,
4032,4032,"Beat Jans","Jans, Beat",Beat,Jans,1964-07-12,male,Basel-Stadt,BS,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4032,,
4036,4036,"Marianne Streiff-Feller","Streiff-Feller, Marianne",Marianne,Streiff-Feller,1957-08-17,female,Bern,BE,NR,1,EVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4036,,
4040,4040,"Elisabeth Schneider-Schneiter","Schneider-Schneiter, Elisabeth",Elisabeth,Schneider-Schneiter,1964-02-19,female,Basel-Landschaft,BL,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4040,,
4042,4042,"Sebastian Frehner","Frehner, Sebastian",Sebastian,Frehner,1973-09-02,male,Basel-Stadt,BS,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4042,,
4045,4045,"Corrado Pardini","Pardini, Corrado",Corrado,Pardini,1965-06-19,male,Bern,BE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4045,,
4046,4046,"Lorenzo Quadri","Quadri, Lorenzo",Lorenzo,Quadri,1974-11-05,male,Tessin,TI,NR,1,Lega,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4046,,
4049,4049,"Matthias Aebischer","Aebischer, Matthias",Matthias,Aebischer,1967-10-18,male,Bern,BE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4049,,
4051,4051,"Thomas de Courten","de Courten, Thomas",Thomas,"de Courten",1966-07-29,male,Basel-Landschaft,BL,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4051,,
4052,4052,"Markus Ritter","Ritter, Markus",Markus,Ritter,1967-04-19,male,"St. Gallen",SG,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4052,,
4053,4053,"Thomas Aeschi","Aeschi, Thomas",Thomas,Aeschi,1979-01-13,male,Zug,ZG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4053,,
4054,4054,"Albert Vitali","Vitali, Albert",Albert,Vitali,1955-06-26,male,Luzern,LU,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=4054,,
4056,4056,"Daniel Fässler","Fässler, Daniel",Daniel,"Fässler",1960-08-22,male,"Appenzell I.-Rh.",AI,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4056,,
4057,4057,"Cédric Wermuth","Wermuth, Cédric","Cédric",Wermuth,1986-02-19,male,Aargau,AG,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4057,,
4058,4058,"Jacqueline Badran","Badran, Jacqueline",Jacqueline,Badran,1961-11-12,female,"Zürich",ZH,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4058,,
4059,4059,"Beat Flach","Flach, Beat",Beat,Flach,1965-01-21,male,Aargau,AG,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=4059,,
4060,4060,"Daniela Schneeberger","Schneeberger, Daniela",Daniela,Schneeberger,1967-09-19,female,Basel-Landschaft,BL,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=4060,,
4061,4061,"Thomas Hardegger","Hardegger, Thomas",Thomas,Hardegger,1956-04-02,male,"Zürich",ZH,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4061,,
4063,4063,"Stefan Müller-Altermatt","Müller-Altermatt, Stefan",Stefan,"Müller-Altermatt",1976-06-17,male,Solothurn,SO,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4063,,
4065,4065,"Nadja Pieren","Pieren, Nadja",Nadja,Pieren,1980-02-14,female,Bern,BE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4065,,
4066,4066,"Rosmarie Quadranti","Quadranti, Rosmarie",Rosmarie,Quadranti,1957-07-18,female,"Zürich",ZH,NR,1,BDP,0,BD,136,50,https://www.parlament.ch/en/biografie?CouncillorId=4066,,
4067,4067,"Heinz Brand","Brand, Heinz",Heinz,Brand,1955-09-06,male,"Graubünden",GR,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4067,,
4069,4069,"Yvonne Feri","Feri, Yvonne",Yvonne,Feri,1966-03-21,female,Aargau,AG,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4069,,
4070,4070,"Martin Candinas","Candinas, Martin",Martin,Candinas,1980-08-20,male,"Graubünden",GR,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4070,,
4071,4071,"Urs Gasche","Gasche, Urs",Urs,Gasche,1955-03-15,male,Bern,BE,NR,1,BDP,0,BD,136,50,https://www.parlament.ch/en/biografie?CouncillorId=4071,2015-12-08,
4072,4072,"Fabio Regazzi","Regazzi, Fabio",Fabio,Regazzi,1962-06-22,male,Tessin,TI,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4072,,
4073,4073,"Roberta Pantani","Pantani, Roberta",Roberta,Pantani,1965-09-19,female,Tessin,TI,NR,1,Lega,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4073,,
4074,4074,"Pierre-Alain Fridez","Fridez, Pierre-Alain",Pierre-Alain,Fridez,1957-11-20,male,Jura,JU,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4074,,
4076,4076,"Philipp Hadorn","Hadorn, Philipp",Philipp,Hadorn,1967-02-06,male,Solothurn,SO,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4076,,
4077,4077,"Olivier Feller","Feller, Olivier",Olivier,Feller,1974-08-30,male,Waadt,VD,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=4077,,
4079,4079,"Fathi Derder","Derder, Fathi",Fathi,Derder,1970-12-04,male,Waadt,VD,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=4079,,
4082,4082,"Bernhard Guhl","Guhl, Bernhard",Bernhard,Guhl,1972-06-10,male,Aargau,AG,NR,1,BDP,0,BD,136,50,https://www.parlament.ch/en/biografie?CouncillorId=4082,,
4083,4083,"Jürg Grossen","Grossen, Jürg","Jürg",Grossen,1969-08-24,male,Bern,BE,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=4083,,
4084,4084,"Bruno Pezzatti","Pezzatti, Bruno",Bruno,Pezzatti,1951-03-04,male,Zug,ZG,NR,1,FDP-Liberale,0,RL,1,50,https://www.parlament.ch/en/biografie?CouncillorId=4084,,
4085,4085,"Karl Vogler","Vogler, Karl",Karl,Vogler,1956-03-24,male,Obwalden,OW,NR,1,csp-ow,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4085,,
4086,4086,"Yannick Buttet","Buttet, Yannick",Yannick,Buttet,1977-07-12,male,Wallis,VS,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4086,,
4087,4087,"Jean-Paul Gschwind","Gschwind, Jean-Paul",Jean-Paul,Gschwind,1952-10-31,male,Jura,JU,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4087,,
4090,4090,"Céline Amaudruz","Amaudruz, Céline","Céline",Amaudruz,1979-03-15,female,Genf,GE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4090,,
4091,4091,"Mathias Reynard","Reynard, Mathias",Mathias,Reynard,1987-09-07,male,Wallis,VS,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4091,,
4093,4093,"Balthasar Glättli","Glättli, Balthasar",Balthasar,"Glättli",1972-02-12,male,"Zürich",ZH,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=4093,,
4094,4094,"Lorenz Hess","Hess, Lorenz",Lorenz,Hess,1961-06-28,male,Bern,BE,NR,1,BDP,0,BD,136,50,https://www.parlament.ch/en/biografie?CouncillorId=4094,,
4095,4095,"Regula Rytz","Rytz, Regula",Regula,Rytz,1962-03-02,female,Bern,BE,NR,1,GPS,0,G,6,50,https://www.parlament.ch/en/biografie?CouncillorId=4095,,
4096,4096,"Alois Gmür","Gmür, Alois",Alois,"Gmür",1955-04-03,male,Schwyz,SZ,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4096,,
4097,4097,"Leo Müller","Müller, Leo",Leo,"Müller",1958-07-04,male,Luzern,LU,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4097,,
4098,4098,"Peter Keller","Keller, Peter",Peter,Keller,1971-04-22,male,Nidwalden,NW,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4098,,
4100,4100,"Albert Rösti","Rösti, Albert",Albert,"Rösti",1967-08-07,male,Bern,BE,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4100,,
4101,4101,"Christine Bulliard-Marbach","Bulliard-Marbach, Christine",Christine,Bulliard-Marbach,1959-10-13,female,Freiburg,FR,NR,1,CVP,0,C,3,50,https://www.parlament.ch/en/biografie?CouncillorId=4101,,
4102,4102,"Kathrin Bertschy","Bertschy, Kathrin",Kathrin,Bertschy,1979-07-02,female,Bern,BE,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=4102,,
4103,4103,"Markus Hausammann","Hausammann, Markus",Markus,Hausammann,1964-09-20,male,Thurgau,TG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4103,,
4106,4106,"Martin Naef","Naef, Martin",Martin,Naef,1970-11-10,male,"Zürich",ZH,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4106,,
4107,4107,"Cesla Amarelle","Amarelle, Cesla",Cesla,Amarelle,1973-09-14,female,Waadt,VD,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4107,,
4108,4108,"Isabelle Chevalley","Chevalley, Isabelle",Isabelle,Chevalley,1972-04-13,female,Waadt,VD,NR,1,glp,0,GL,137,50,https://www.parlament.ch/en/biografie?CouncillorId=4108,,
4109,4109,"Valérie Piller Carrard","Piller Carrard, Valérie","Valérie","Piller Carrard",1978-09-09,female,Freiburg,FR,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4109,,
4110,4110,"Hans Egloff","Egloff, Hans",Hans,Egloff,1959-11-27,male,"Zürich",ZH,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4110,,
4113,4113,"Manuel Tornare","Tornare, Manuel",Manuel,Tornare,1951-04-20,male,Genf,GE,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4113,,
4114,4114,"Hansjörg Knecht","Knecht, Hansjörg","Hansjörg",Knecht,1960-03-24,male,Aargau,AG,NR,1,SVP,0,V,4,50,https://www.parlament.ch/en/biografie?CouncillorId=4114,,
4115,4115,"Jean Christophe Schwaab","Schwaab, Jean Christophe","Jean Christophe",Schwaab,1979-08-23,male,Waadt,VD,NR,1,SP,0,S,2,50,https://www.parlament.ch/en/biografie?CouncillorId=4115,,
