id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Muzinger,identifier__journalisted,identifier__EuroparlMEP,family_name,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__NLA,identifier__NPG,identifier__MusicBrainz,identifier__SELIBR,identifier__NNDB,identifier__Oxforddnb,identifier__GTAA,honorific_prefix,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,identifier__Munzinger,identifier__hansard,name__be,name__gl,name__id,name__bn,name__ar,name__pt,name__eo,name__uk,name__be_tarask,name__cs,name__bg,name__fa,name__ckb,name__az,name__ko,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__ko,wikipedia__nn,wikipedia__no,wikipedia__pt,wikipedia__uk,original_wikiname,name__af,wikipedia__af,wikipedia__plwikiquote,name__gd,name__yo,name__et,name__ja,name__pnb,name__sk,name__ku_arab,name__ku_latn,name__tr,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ja,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__tr,wikipedia__ur,wikipedia__yo,identifier__parliamentDOTuk,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__is,name__ro,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__ro,wikipedia__zh_min_nan,name__el,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,wikipedia__el,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__sco,wikipedia__sr,identifier__GNC,identifier__publicwhip,name__en_ca,name__en_gb,name__tl,wikipedia__tl,name__de_ch,name__yue,name__an,name__bs,name__ceb,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__sq,name__vec,name__wa,name__vmf,twitter,name__ta,wikipedia__ta,identifier__discogs,identifier__TWFY,identifier__bbc_democracy_live,identifier__Britannica,identifier__FAST,identifier__N6I,identifier__parliamentary_record,identifier__CSPAN,name__sh,wikipedia__sh,wikipedia__hiwikiquote,identifier__BNE,identifier__OLID,occupation,identifier__BBC_things,name__nrm,wikipedia__nrm,identifier__snac,noble_title,identifier__DoUB,wikipedia__sl,identifier__nobel_prize,identifier__MGP,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nap,name__pap,name__pcd,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vi,name__vls,name__vo,name__wo,name__zu,name__fit,identifier__wikitree,wikipedia__enwikinews,identifier__guardian_topic,identifier__PACE,wikipedia__cawikiquote,wikipedia__bgwikiquote,identifier__nlg,facebook
Q1608608,"Herbert Kirk","Herbert Kirk",,male,,,,1912-06-05,/m/02rgh5j,Herbert,,,,,,2006-03-04,,,,,,,,,,,,,,,,,"Herbert Kirk",,"Herbert Kirk",,"Herbert Kirk",,,,"Herbert Kirk","Herbert Kirk",,,"Herbert Kirk","Herbert Kirk",,,"Herbert Kirk","Herbert Kirk","Herbert Kirk",,,,,"Herbert Kirk","Herbert Kirk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16091941,"Leslie Morrell","Leslie Morrell",,male,,,,1931-12-26,,Leslie,,,,,,,,,,,,,,,,,,,,,,,"Leslie Morrell",,,,"Leslie Morrell",,"Leslie Morrell",,,"Leslie Morrell",,,"Leslie Morrell",,,,,,,,,,,,"Leslie Morrell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16091952,"Hugh News","Hugh News",,male,,,,1931-06,,Hugh,,,,,,,,,,,,,,,,,,,,,,,"Hugh News",,,,"Hugh News",,,,,"Hugh News",,,"Hugh News",,,,,,,,,,,,"Hugh News",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16105286,"P. J. Bradley","P. J. Bradley",,male,,,,1940-04-28,,P.,,,,,,,,,,,,,,,,,,,,,,,"P. J. Bradley",,,,"P. J. Bradley",,,,,"P. J. Bradley",,,"P. J. Bradley",,,,,,,,,,,,"P. J. Bradley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16105819,"Jim Wilson","Jim Wilson",,male,,,,1941-12-15,,Jim,,,,,Wilson,,,,,,,,,,,,,,,,,,"Jim Wilson","Джим Уилсон",,,"Jim Wilson",,,,,"Jim Wilson",,,"Jim Wilson",,,,,,,,,,,,"Jim Wilson (British politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16106022,"Mick Murphy","Mick Murphy",,male,,,,1942-02-06,,Mick,,,,,,,,,,,,,,,,,,,,,,,"Mick Murphy",,,,"Mick Murphy",,,,,"Mick Murphy",,,"Mick Murphy",,,,,,,,,,,,"Mick Murphy (Sinn Féin politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16114174,"Francie Brolly","Francie Brolly",https://upload.wikimedia.org/wikipedia/commons/d/dd/Francie_Brolly_2012.jpg,male,,,,1947-01-13,,Francie,,,,,,,,,,,,,,5931b580-72de-4d52-ad93-a7ae3d3cb662,,,,,,,,,"Francie Brolly",,,,"Francie Brolly",,,,,"Francie Brolly",,,"Francie Brolly",,,,,,,,,,,,"Francie Brolly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616537,,,,,,,,,,,,,"Gaelic football player",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16186261,"Tom Hamilton","Tom Hamilton",,male,,,,1954-07-08,,Tom,,,,,,,,,,,,,,,,,,,,,,,"Tom Hamilton","Том Хэмилтон",,,"Tom Hamilton",,,,,"Tom Hamilton",,,"Tom Hamilton",,,,,,,,,,,,"Tom Hamilton (politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"تام همیلتون",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tom Hamilton","Tom Hamilton",,,,,,,,,,,"Tom Hamilton",,,,,,,"Tom Hamilton",,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16190807,"Gerry McHugh","Gerry McHugh",,male,,,,1957-10-09,,Gerry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gerry McHugh",,,,,,,,,,,,,,,"Gerry McHugh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16193334,"Mark Robinson","Mark Robinson",,male,,,,1959-05-12,,Mark,,,,,Robinson,,,,,,,,,,,,,,,,,,"Mark Robinson","Марк Робинсон",,,"Mark Robinson",,,,,"Mark Robinson",,,"Mark Robinson",,,,,,,,,,,,"Mark Robinson (Unionist politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16195114,"David Hilditch","David Hilditch",,male,,,,1963-12-11,,David,,,,,,,,,,,,,,,,,,,,,,,"David Hilditch",,,,"David Hilditch",,"David Hilditch",,,"David Hilditch",,,"David Hilditch",,,,,,,,,,,,"David Hilditch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16205288,"David Cook","David Cook",,male,,,,,,David,,,,,,,,,,,,,,,,,,,,,,,"David Cook","Дэвид Кук",,,,,,,,"David Cook",,,"David Cook",,,,,,,,,,,,"David Cook (Northern Ireland politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16214843,"Paul Frew","Paul Frew",https://upload.wikimedia.org/wikipedia/commons/a/a6/Paul_Frew.jpg,male,,,,1974-09-20,,Paul,,,,,,,,,,,,,,,,,,,,,,,"Paul Frew",,,,"Paul Frew",,,,,"Paul Frew",,,"Paul Frew",,,,,,,,,,,,"Paul Frew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16225949,"Norman Hillis","Norman Hillis",,male,,,,,,Norman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norman Hillis",,,"Norman Hillis",,,,,,,,,,,,,,,"Norman Hillis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16239299,"Willie Clarke","Willie Clarke",https://upload.wikimedia.org/wikipedia/commons/8/84/Willie_Clarke.jpg,male,,,,1966-10-13,,Willie,,,,,,,,,,,,,,,,,,,,,,,"Willie Clarke",,,,"Willie Clarke",,,,,"Willie Clarke",,,"Willie Clarke",,,,,,,,,,,,"Willie Clarke (politician)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
