id,name__en,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__nl,name__fr,name__hu,name,wikipedia__en,wikipedia__es,image,gender,occupation,birth_date,given_name,original_wikiname,name__ca,website,twitter,facebook,death_date,name__it,name__gl,name__pt,name__ru,name__pl,name__sr_el,name__sr_ec,name__ja,name__cs,name__fa,name__bg,name__sr,name__tr,name__mg,name__el,name__zh,wikipedia__bg,wikipedia__commons,wikipedia__cs,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__mg,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ptwikiquote,wikipedia__ru,wikipedia__sr,wikipedia__tr,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__MusicBrainz,identifier__freebase,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__moviemeter,identifier__discogs,identifier__allmovie,identifier__FAST,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__he,name__ko,name__oc,name__yo,name__ms,name__et,name__id,name__sh,name__ar,name__gn,name__sk,name__ro,name__fi,name__uk,name__la,name__io,name__mr,name__ka,name__hr,name__lt,name__jv,name__eo,name__qu,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__gl,wikipedia__gn,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__oc,wikipedia__plwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sv,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__BNE,identifier__NNDB,identifier__BVMC,name__sl,name__br,wikipedia__br,wikipedia__sl,pseudonym,family_name,name__vi,name__be,wikipedia__be,wikipedia__eswikisource,wikipedia__vi,identifier__snac,identifier__bna,name__lv,identifier__Britannica,name__cy
Q18711875,"Daniel Raúl Pérsico","Daniel Raúl Pérsico","Daniel Raúl Pérsico",,,,,"Daniel Raúl Pérsico","Daniel Raúl Pérsico","Daniel Raúl Pérsico","Daniel Raúl Pérsico",,,,male,politician,,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711889,"Guillermo Juan Pereyra","Guillermo Juan Pereyra","Guillermo Juan Pereyra",,,,,"Guillermo Juan Pereyra","Guillermo Juan Pereyra","Guillermo Juan Pereyra","Guillermo Juan Pereyra",,,,male,politician,,Guillermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711897,"Gerardo Antenor Montenegro","Gerardo Antenor Montenegro","Gerardo Antenor Montenegro",,,,,"Gerardo Antenor Montenegro","Gerardo Antenor Montenegro","Gerardo Antenor Montenegro","Gerardo Antenor Montenegro",,,,male,politician,,Gerardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711904,"Marta Borello","Marta Borello","Marta Borello",,,,,"Marta Borello","Marta Borello","Marta Borello","Marta Borello",,,,female,politician,,Marta,,"Marta Borello",,,,,"Marta Borello","Marta Borello","Marta Borello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711912,"Hilda Clelia Aguirre","Hilda Clelia Aguirre ","Hilda Clelia Aguirre",,,,,"Hilda Clelia Aguirre","Hilda Clelia Aguirre","Hilda Clelia Aguirre","Hilda Clelia Aguirre ",,,,female,politician,,Hilda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711914,"Inés Blas","Inés Blas","Inés Blas",,,,,"Inés Blas","Inés Blas","Inés Blas","Inés Blas",,,,female,politician,,"Inés",,"Inés Blas",,,,,"Inés Blas","Inés Blas","Inés Blas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711918,"Sigrid Elisabeth Kunath","Sigrid Elisabeth Kunath","Sigrid Elisabeth Kunath",,,,,"Sigrid Elisabeth Kunath","Sigrid Elisabeth Kunath","Sigrid Elisabeth Kunath","Sigrid Elisabeth Kunath",,"Sigrid Kunath",https://upload.wikimedia.org/wikipedia/commons/5/55/Sigrid_Kunath.jpg,female,politician,1969-06-06,Sigrid,"Sigrid Kunath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711932,"Carmen Lucila Crexell","Carmen Lucila Crexell","Carmen Lucila Crexell",,,,,"Carmen Lucila Crexell","Carmen Lucila Crexell","Carmen Lucila Crexell","Carmen Lucila Crexell",,,,female,politician,,Carmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19263894,"Eduardo Enrique Torres","Eduardo Enrique Torres","Eduardo Enrique Torres",,,,,"Eduardo Enrique Torres","Eduardo Enrique Torres","Eduardo Enrique Torres","Eduardo Enrique Torres",,,,male,politician,,Eduardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1932735,"Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto",https://upload.wikimedia.org/wikipedia/commons/d/da/M._Pichetto.jpg,male,Abogado,1950-10-24,Miguel,"Miguel Ángel Pichetto","Miguel Ángel Pichetto",,,,,"Miguel Ángel Pichetto","Miguel Ángel Pichetto","Miguel Ángel Pichetto",,,,,,,,,,,,,"米格爾·安赫爾·皮凱托",,,,"Miguel Ángel Pichetto",,,,,,,,,,,,,,,,,,,,,/m/0f303k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20015616,"Omar Perotti","Omar Perotti","Omar Perotti",,,,,"Omar Perotti","Omar Perotti","Omar Perotti","Omar Perotti",,"Omar Perotti",https://upload.wikimedia.org/wikipedia/commons/f/fc/Omar_Perotti.jpg,male,politician,1959-09-16,Omar,"Omar Perotti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21003821,"Eduardo Aguilar","Eduardo Aguilar","Eduardo Aguilar",,,,,"Eduardo Aguilar","Eduardo Aguilar","Eduardo Aguilar","Eduardo Aguilar",,"Eduardo Aguilar",https://upload.wikimedia.org/wikipedia/commons/0/0d/Eduardo_Aguilar_en_el_Impenetrable.JPG,male,politician,1971,Eduardo,"Eduardo Aguilar",,,,,,"Eduardo Aguilar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2130489,"Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","Ramón Javier Mestre","https://upload.wikimedia.org/wikipedia/commons/0/05/Ramón_Javier_Mestre.jpg",male,politician,1972-07-02,"Ramón",,,,,,,,,"Ramón Javier Mestre",,,,,,,,,,,,,,,,,"Ramón Javier Mestre",,,,,,,,"Ramón Javier Mestre",,,,,,,,,,,,,/m/0k2cprg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21573359,"María Cristina del Valle Fiore Viñuales","María Cristina del Valle Fiore Viñuales",,,,,,"María Cristina del Valle Fiore Viñuales",,,"María Cristina del Valle Fiore Viñuales",,"Cristina Fiore","https://upload.wikimedia.org/wikipedia/commons/0/00/Fiore_Viñuales.png",female,,1974-02-16,"María","María Cristina del Valle Fiore Viñuales",,http://www.fioresenadora.com/,fiore_cristina,"Cristina-Fiore-Viñuales-380477738689513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23304232,,"Juan Manuel Irrazábal",,,,,,"Juan Manuel Irrazábal",,,"Juan Manuel Irrazábal",,"Juan Manuel Irrazábal (senador)",,male,,1960,Juan,"Juan Manuel Irrazábal (senador)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23807442,"Laura Rodríguez Machado","Laura Rodríguez Machado",,,,,,"Laura Rodríguez Machado",,,"Laura Rodríguez Machado",,"Laura Rodríguez Machado",https://upload.wikimedia.org/wikipedia/commons/e/ea/Laura_Rodriguez_Machado.JPG,female,politician,1965-04-09,Laura,"Laura Elena Rodríguez Machado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"لورا رودريغيز",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rodríguez",,,,,,,,,,
Q27308136,"Marta Varela","Marta Varela",,,,,,"Marta Varela",,,"Marta Varela",,,,female,,1950-09-25,,,,http://www.martavarela.com.ar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27309047,"Sacnún María de los Ángeles","Sacnún María de los Ángeles",,,,,,"Sacnún María de los Ángeles",,,"Sacnún María de los Ángeles",,,,female,lawyer,1970-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27640049,,"Ernesto Félix Martínez",,,,,,"Ernesto Félix Martínez",,,"Ernesto Félix Martínez",,"Ernesto Félix Martínez",,male,,1956-06-21,,"Ernesto Félix Martínez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3072494,"Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina, Jr.","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina","Juan Manuel Abal Medina, Jr.","Juan Manuel Abal Medina (hijo)",https://upload.wikimedia.org/wikipedia/commons/d/d8/JuanManuelAbalMedina.jpg,male,politician,1968-05-05,Juan,"Juan Manuel Abal Medina (hijo)",,,,,,,,,"Медина, Хуан Мануэль Абаль",,,,,,,,,,,,,,,,,,"Juan Manuel Abal Medina",,,,,,,,"Абаль Медина, Хуан Мануэль",,,,,,,,,,,/m/0gy1vrw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Хуан Мануель Абаль Медіна",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Хуан Мануель Абаль Медіна",,,,,,,,,,,,,,,,,,,,,
