id,name__fo,name__sv,name__nb,name__da,name,wikipedia__commons,wikipedia__da,wikipedia__fo,wikipedia__no,wikipedia__sv,image,gender,birth_date,given_name,original_wikiname,occupation,name__en,name__it,name__hu,name__de,name__nl,wikipedia__de,wikipedia__hu,wikipedia__nowikiquote,name__pl,wikipedia__pl,name__fr,name__zh,name__es,name__ja,wikipedia__en,wikipedia__ja,identifier__freebase,website,identifier__VIAF,death_date,name__fi,wikipedia__fi,name__eo,name__is,name__ru,name__id,name__nn,name__cs,name__el,name__gv,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__fr,wikipedia__gv,wikipedia__id,wikipedia__is,wikipedia__it,wikipedia__nl,wikipedia__nn,wikipedia__ru,wikipedia__zh,name__tr,name__et,wikipedia__et,wikipedia__tr,facebook,name__ia,wikipedia__ia,identifier__GND,identifier__LCAuth,name__nds,identifier__google_knowledge,name__cy,name__zh_hant,name__zh_cn,identifier__SUDOC,name__os,name__sh,name__az,name__ca,name__lt,name__mg,wikipedia__az,wikipedia__ca,wikipedia__lt,wikipedia__mg,wikipedia__os,wikipedia__sh,name__gl,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__ar,wikipedia__ar,identifier__ISNI,identifier__BNF
Q10979247,"Brandur Sandoy",,"Brandur Sandoy","Brandur Sandoy","Brandur Sandoy","Category:Brandur Sandoy","Brandur Sandoy","Brandur Sandoy","Brandur Sandoy",,https://upload.wikimedia.org/wikipedia/commons/7/71/Brandur_Sandoy_Mayor_of_Sandur_Faroe_Islands.jpg,male,1973-04-23,Brandur,"Brandur Sandoy","association football player","Brandur Sandoy",,,"Brandur Sandoy","Brandur Sandoy",,,,,,,,,,"Brandur Sandoy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10982487,"Thomas Arabo",,"Thomas Arabo","Thomas Arabo","Thomas Arabo",,"Thomas Arabo","Thomas Arabo","Thomas Arabo",,,male,1940-11-20,Thomas,"Thomas Arabo",politician,,,,,,,,,,,"Thomas Arabo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10982793,"Jógvan Ingvard Olsen",,"Jógvan I. Olsen","Jógvan I. Olsen","Jógvan Ingvard Olsen",,"Jógvan I. Olsen","Jógvan Ingvard Olsen","Jógvan I. Olsen",,,male,1930-07-08,"Jógvan","Jógvan I. Olsen",farmer,"Jógvan Ingvard Olsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10997717,"Lasse Klein",,"Lasse Klein","Lasse Klein","Lasse Klein",,"Lasse Klein","Lasse Klein","Lasse Klein",,,male,1950-10-08,Lasse,"Lasse Klein",,,,,,,,,,,,,,,,,,,http://lasse.meklarin.fo/main/default.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10999031,"Jógvan Durhuus",,"Jógvan Durhuus","Jógvan Durhuus","Jógvan Durhuus",,"Jógvan Durhuus","Jógvan Durhuus","Jógvan Durhuus",,,male,1938-02-19,"Jógvan","Jógvan Durhuus",politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11000213,"Svend Aage Ellefsen",,"Svend Aage Ellefsen","Svend Aage Ellefsen","Svend Aage Ellefsen",,"Svend Aage Ellefsen","Svend Aage Ellefsen","Svend Aage Ellefsen",,,male,1941-09-13,Svend,"Svend Aage Ellefsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1100050,,,"Jaspur Vang","Jaspur Vang","Jaspur Vang",,"Jaspur Vang",,"Jaspur Vang",,,male,1960-03-24,,"Jaspur Vang",,,,"Jaspur Vang",,"Jaspur Vang",,"Jaspur Vang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11001128,"Óli Jacobsen",,"Óli Jacobsen","Óli Jacobsen","Óli Jacobsen",,"Óli Jacobsen","Óli Jacobsen","Óli Jacobsen",,,male,1943-08-21,,"Óli Jacobsen",,,,,,,,,,,,,,,,,,,,305935454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1100947,"Johan Dahl",,"Johan Dahl","Johan Dahl","Johan Dahl",,"Johan Dahl","Johan Dahl","Johan Dahl",,https://upload.wikimedia.org/wikipedia/commons/1/16/Johan_Dahl.jpg,male,1959-09-19,Johan,"Johan Dahl",politician,,,"Johan Dahl",,"Johan Dahl",,"Johan Dahl",,,,,,,,,,,,,,"Johan Dahl","Johan Dahl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1101298,"John Johannessen",,"John Johannessen","John Johannessen","John Johannessen",,"John Johannessen","John Johannessen","John Johannessen",,,male,1977-10-07,John,"John Johannessen",journalist,"John Johannessen",,"John Johannessen","John Johannessen","John Johannessen",,"John Johannessen",,,,"John Johannessen","約翰·約翰內森",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1102350,"Jákup Mikkelsen","Jákup Mikkelsen","Jákup Mikkelsen","Jákup Mikkelsen","Jákup Mikkelsen",,"Jákup Mikkelsen (politiker)","Jákup Mikkelsen (politikari)","Jákup Mikkelsen","Jákup Mikkelsen","https://upload.wikimedia.org/wikipedia/commons/2/22/Jákup_Mikkelsen_politician.JPG",male,1957-08-22,"Jákup","Jákup Mikkelsen",teacher,"Jákup Mikkelsen",,"Jákup Mikkelsen",,"Jákup Mikkelsen",,"Jákup Mikkelsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jakup Mikkelsen","Jakup Mikkelsen (1957)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11158371,"Ivan Johannesen",,"Ivan Johannesen","Ivan Johannesen","Ivan Johannesen",,"Ivan Johannesen","Ivan Johannesen","Ivan Johannesen",,,male,1934-06-28,Ivan,"Ivan Johannesen",,,,,,,,,,,,"Ivan Johannesen",,,,,,,,,2012-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11201596,"Olaf Olsen",,"Olaf Olsen","Olaf Olsen","Olaf Olsen",,"Olaf Olsen (politiker)","Olaf Olsen","Olaf Olsen (politiker)",,,male,1935-04-17,Olaf,"Olaf Olsen (politiker)",,"Olaf Olsen",,,"Olaf Olsen",,"Olaf Olsen (Politiker)",,,,,"Olaf Olsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1121072,"Kristian Magnussen",,"Kristian Magnussen","Kristian Magnussen","Kristian Magnussen",,"Kristian Magnussen","Kristian Magnussen","Kristian Magnussen",,,male,1956-02-22,Kristian,"Kristian Magnussen","social worker","Kristian Magnussen",,"Kristian Magnussen",,"Kristian Magnussen",,"Kristian Magnussen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1123333,"Kári á Rógvi",,"Kári á Rógvi","Kári á Rógvi","Kári á Rógvi",,"Kári á Rógvi","Kári á Rógvi","Kári á Rógvi",,,male,1973-05-04,,"Kári á Rógvi",politician,"Kári á Rógvi",,"Kári á Rógvi",,"Kári á Rógvi",,"Kári á Rógvi",,,,"Kári á Rógvi",,"Kári á Rógvi",,,,,,229185068,2015-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kári á Rógvi",,,177575417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11304160,"Karl Heri Joensen",,"Karl Heri Joensen","Karl Heri Joensen","Karl Heri Joensen",,"Karl Heri Joensen","Karl Heri Joensen","Karl Heri Joensen",,,male,1955-11-11,Karl,"Karl Heri Joensen",farmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1165382,,,"Marjus Dam","Marjus Dam","Marjus Dam",,"Marjus Dam",,"Marjus Dam",,,male,1955-12-13,,"Marjus Dam",physician,,,"Marjus Dam",,"Marjus Dam",,"Marjus Dam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11959522,,,"Atli Hansen",,"Atli Hansen",,,,"Atli Hansen",,,male,1941-08-15,,"Atli Hansen",,,"Atli Hansen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11961105,,,"Birgir Danielsen",,"Birgir Danielsen",,,,"Birgir Danielsen",,,male,1928-07-05,Birgir,"Birgir Danielsen",,,"Birgir Danielsen",,,,,,,,,,,,,,,,,,2001-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11961437,,,"Bjørn á Heygum","Bjørn á Heygum","Bjørn á Heygum",,"Bjørn á Heygum",,"Bjørn á Heygum",,,male,1954-01-04,"Bjørn","Bjørn á Heygum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11964646,,,"Dan Reinert Petersen",,"Dan Reinert Petersen",,,,"Dan R. Petersen",,,male,1946-08-05,,"Dan R. Petersen",,"Dan R. Petersen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11968272,,,"Eyðun M. Viderø",,"Eyðun M. Viderø",,,,"Eyðun Viderø",,,male,1942-04-19,,"Eyðun Viderø",,,,,"Eyðun Mohr Viderø",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11969899,"Frank Davidsen",,"Frank Davidsen",,"Frank Davidsen",,,"Frank Davidsen","Frank Davidsen",,,male,1941-09-26,Frank,"Frank Davidsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11973363,"Gunvør Balle",,"Gunvør Balle","Gunvør Balle","Gunvør Balle",,"Gunvør Balle","Gunvør Balle","Gunvør Balle",,"https://upload.wikimedia.org/wikipedia/commons/4/40/Gunvør_Balle_2012.jpg",female,1967-03-31,,"Gunvør Balle",,"Gunvør Balle",,,"Gunvør Balle","Gunvør Balle",,,,,,"Gunvør Balle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11974153,"Hanus Samró",,"Hanus Samró","Hanus Samró","Hanus Samró","Category:Hanus Samró","Hanus Samró","Hanus Samró","Hanus Samró",,"https://upload.wikimedia.org/wikipedia/commons/a/a8/Hanus_Samró_2015.JPG",male,1988-05-01,,"Hanus Samró",journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11974692,,,"Heidi Petersen",,"Heidi Petersen",,,,"Heidi Petersen",,,female,1959-08-30,Heidi,"Heidi Petersen",,,"Heidi Petersen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979612,"Jákup Joensen",,"Jákup Joensen","Jákup Joensen","Jákup Joensen",,"Jákup Joensen","Jákup Joensen","Jákup Joensen",,,male,1929-09-21,"Jákup","Jákup Joensen",shipowner,"Jákup Joensen","Jákup Joensen",,,"Jákup Joensen",,,,,,"Jákup Joensen",,"Jákup Joensen",,,,,,,2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979618,,,"Jákup Olsen","Jákup Olsen","Jákup Olsen",,"Jákup Olsen",,"Jákup Olsen",,,male,1938-04-23,"Jákup","Jákup Olsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979622,,,"Jákup Sverri Kass","Jákup Sverri Kass","Jákup Sverri Kass",,"Jákup Sverri Kass",,"Jákup Sverri Kass",,,male,1977-01-19,"Jákup","Jákup Sverri Kass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979642,,,"Jóanis Nielsen",,"Jóanis Nielsen",,,,"Jóanis Nielsen",,,male,1954-09-17,,"Jóanis Nielsen",journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11979652,"Jóna Mortensen",,"Jóna Mortensen","Jóna Mortensen","Jóna Mortensen",,"Jóna Mortensen","Jóna Mortensen","Jóna Mortensen",,,female,1953-12-01,,"Jóna Mortensen",,"Jóna Mortensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980810,,,"Kjartan Joensen",,"Kjartan Joensen",,,,"Kjartan Joensen",,,male,1947-11-01,Kjartan,"Kjartan Joensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11982122,"Kristin Michelsen",,"Kristin Michelsen","Kristin Michelsen","Kristin Michelsen","Category:Kristin Michelsen","Kristin Michelsen","Kristin Michelsen","Kristin Michelsen",,https://upload.wikimedia.org/wikipedia/commons/7/76/Kristin_Michelsen_2015.JPG,male,1956-07-30,Kristin,"Kristin Michelsen",politician,"Kristin Michelsen",,,"Kristin Michelsen","Kristin Michelsen","Kristin Michelsen",,,"Kristin Michelsen","Kristin Michelsen","Kristin Michelsen",,,,"Kristin Michelsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11988194,"Maria Hansen",,"Maria Hansen",,"Maria Hansen",,,"Maria Hansen","Maria Hansen",,,female,1939-11-10,Maria,"Maria Hansen",politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11993427,,,"Olav Enomoto",,"Olav Enomoto",,,,"Olav Enomoto",,,male,1973-05-23,Olav,"Olav Enomoto","computer scientist",,"Olav Enomoto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
