id,name__en,name__nl,name__fr,name,wikipedia__en,gender,occupation,birth_date,given_name,original_wikiname,name__de,name__it,death_date,name__yo,wikipedia__yo,name__hu,identifier__NPG,identifier__hansard,identifier__VIAF,name__ca,wikipedia__ca,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NTA,identifier__FAST,name__new,wikipedia__new,image,name__es,wikipedia__fr,name__sv,wikipedia__sv,name__nb,name__da,name__nn,wikipedia__de,name__cy,name__ru,wikipedia__ru,name__tr,wikipedia__no,wikipedia__tr,identifier__freebase,name__gl,wikipedia__it,name__zh_hant,name__zh_cn,name__dv,name__ja,wikipedia__dv,name__cs,name__eu,name__pl,wikipedia__pl,name__id,name__sk,name__el,name__hy,name__ar,wikipedia__ar,wikipedia__el,wikipedia__id,wikipedia__ja,wikipedia__sk,name__fa,name__sh,name__sr_el,name__sr_ec,name__sr,wikipedia__fa,wikipedia__sh,wikipedia__sr,name__he,wikipedia__simple,name__zh_hans,name__zh_hk,name__zh,name__fi,wikipedia__es,wikipedia__fi,wikipedia__nl,wikipedia__zh,identifier__Britannica,name__zh_sg,name__zh_tw,name__ko,name__ta,name__et,name__hi,name__pt,name__hr,name__lt,name__bn,name__en_ca,name__en_gb,name__pt_br,name__uk,wikipedia__bn,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__pt,wikipedia__ta,wikipedia__uk,name__ka,name__ms,name__vi,name__lb,name__oc,name__min,name__ml,name__mr,name__ne,name__la,name__pa,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__min,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__vi,name__br,name__eo,name__ksh,name__mk,name__sco,wikipedia__br,wikipedia__eo,wikipedia__ksh,wikipedia__sco,identifier__IMDB,website,twitter
Q16146802,"Ilham Ahmed",,,"Ilham Ahmed","Ilham Ahmed",male,,,Ilham,"Ilham Ahmed","Ilham Ahmed","Ilham Ahmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16156922,"Ahmed Zahir","Ahmed Zahir","Ahmed Zahir","Ahmed Zahir","Ahmed Zahir",male,,,Ahmed,"Ahmed Zahir","Ahmed Zahir","Ahmed Zahir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16728900,"Alhan Fahmy","Alhan Fahmy",,"Alhan Fahmy","Alhan Fahmy",male,,1980-01-02,,"Alhan Fahmy","Alhan Fahmy",,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/a/a3/Alhan_Fahmy_at_the_protest_on_no-confidence_votes_of_ministers_of_nasheed's_cabinet.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731840,"Abdul Majeed Mahir",,,"Abdul Majeed Mahir","Abdul Majeed Mahir",male,,,"Abdul Majid","Abdul Majeed Mahir","Abdul Majeed Mahir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732723,"Mohamed Didi",,,"Mohamed Didi","Mohamed Didi",male,,,Mohamed,"Mohamed Didi","Mohamed Didi","Mohamed Didi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16733060,"Mustafa Lutfi",,,"Mustafa Lutfi","Mustafa Lutfi",male,,,Mustafa,"Mustafa Lutfi","Mustafa Lutfi","Mustafa Lutfi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16735052,"Mahmood Razi",,,"Mahmood Razi","Mahmood Razi",male,,,,"Mahmood Razi","Mahmood Razi","Mahmood Razi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16866433,"Ibrahim Rafeeq",,,"Ibrahim Rafeeq","Ibrahim Rafeeq",male,,,Ibrahim,"Ibrahim Rafeeq","Ibrahim Rafeeq","Ibrahim Rafeeq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16885641,"Mohamed Shihab",,,"Mohamed Shihab","Mohamed Shihab",male,,,Mohamed,"Mohamed Shihab","Mohamed Shihab","Mohamed Shihab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16904999,"Ahmed Shamheed",,,"Ahmed Shamheed","Ahmed Shamheed",male,,,Ahmed,"Ahmed Shamheed","Ahmed Shamheed","Ahmed Shamheed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17001869,"Afrasheem Ali",,"Afrasheem Ali","Afrasheem Ali","Afrasheem Ali",male,,,,"Afrasheem Ali","Afrasheem Ali","Afrasheem Ali",2012-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17070728,"Husnu Al Suood",,,"Husnu Al Suood","Husnu Al Suood",male,lawyer,,,"Husnu Al Suood","Husnu Al Suood","Husnu Al Suood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17279111,"Rozeyna Adam",,,"Rozeyna Adam","Rozaina Adam",female,politician,,,"Rozaina Adam","Rozeyna Adam","Rozaina Adam",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/MP_Rozaina1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17385562,"Anara Naeem",,,"Anara Naeem","Anara Naeem",female,,,,"Anara Naeem","Anara Naeem","Anara Naeem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17484167,"Hala Hameed",,,"Hala Hameed","Hala Hameed",female,politician,,Hala,"Hala Hameed","Hala Hameed","Hala Hameed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17517052,"Mariya Ahmed Didi","Mariya Ahmed Didi","Mariya Ahmed Didi","Mariya Ahmed Didi","Mariya Ahmed Didi",female,lawyer,1963,Maria,"Mariya Ahmed Didi","Mariya Ahmed Didi",,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/9/97/Paula_Dobriansky,_Under_Secretary_of_State_for_Democracy_and_Global_Affairs_with_Mariya_Ahmed_Didi_of_the_Maldives_March_7_2007_in_Washington.jpg",,"Mariya Ahmed Didi",,,,,,,,,,"Mariya Ahmed Didi",,"Mariya Ahmed Didi",,,,,,,,,,,,,,,,,"ماريا أحمد ديدي","ماريا أحمد ديدي",,,,,,,,,,,,,"Mariya Ahmed Didi","Mariya Ahmed Didi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17722041,"Adam Shareef",,,"Adam Shareef","Adam Shareef",male,politician,,Adam,"Adam Shareef","Adam Shareef","Adam Shareef",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17985434,"Aneesa Ahmed",,"Aneesa Ahmed","Aneesa Ahmed","Aneesa Ahmed",female,,,,"Aneesa Ahmed","Aneesa Ahmed","Aneesa Ahmed",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Aneesa_Ahmed_-_2012_IWOC_Award_Winner.png,,"Aneesa Ahmed","Aneesa Ahmed","Aneesa Ahmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aneesa Ahmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20675816,"Ahmed Adeeb","Ahmed Adeeb","Ahmed Adeeb","Ahmed Adeeb","Ahmed Adeeb",male,,1982-04-11,Ahmed,"Ahmed Adeeb","Ahmed Adeeb",,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c4/AhmedAdeebVicePresident.jpg,,"Ahmed Adeeb Abdul Ghafoor",,,,,,"Ahmed Adeeb",,,,,,,,,,"艾哈邁德·阿迪卜","艾哈迈德·阿迪卜",,"アハメド・アディーブ",,,,,,"Ahmed Adeeb",,,,,,,"Ahmed Adeeb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22958037,"Mariyam Azra","Mariyam Azra",,"Mariyam Azra","Mariyam Azra",female,,,,"Mariyam Azra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q297957,"Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom",male,politician,1937-12-29,,"Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom",,,,"Maumoon Abdul Gayoom",,,116996930,,,,n89181031,,,,330430,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Maumoon-Abdul-Gayoom.jpg,"Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom",,"Maumoon Abdul Gayoom",,"Момун Абдул Гаюм","Гаюм, Момун Абдул","Mamun Abdül Gayyum","Maumoon Abdul Gayoom","Mamun Abdül Gayyum",/m/01pgsr,"Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","穆蒙·阿卜杜勒·加堯姆","穆蒙·阿卜杜勒·加尧姆","މައުމޫނު ޢަބްދުލް ޤައްޔޫމް","マウムーン・アブドル・ガユーム","މައުމޫނު ޢަބްދުލް ޤައްޔޫމް","Maumoon Abdul Gayoom",,"Maumoon Abdul Gayoom","Maumun ̓Abdul Gajum","Maumoon Abdul Gayoom","Maumún Abdul Gajúm","Μαουμούν Αμπντούλ Γκαγιούμ",,"مأمون عبد القيوم","مأمون عبد القيوم","Μαουμούν Αμπντούλ Γκαγιούμ","Maumoon Abdul Gayoom","マウムーン・アブドル・ガユーム","Maumún Abdul Gajúm","مأمون عبدالقیوم","Maumoon Abdul Gayoom",,,,"مأمون عبدالقیوم","Maumoon Abdul Gayoom",,"מאומון עבדול גאיום",,"穆蒙·阿卜杜勒·加尧姆","穆蒙·阿卜杜勒·加堯姆","穆蒙·阿卜杜勒·加尧姆","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","穆蒙·阿卜杜勒·加尧姆",,"穆蒙·阿卜杜勒·加尧姆","穆蒙·阿卜杜勒·加堯姆","마우문 압둘 가윰","மாமூன் அப்துல் கயூம்","Maumoon Abdul Gayoom","मॉमून अब्दुल गय्यूम","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumunas Abdul Gajunas","মামুন আব্দুল গাইয়ুম","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Момун Абдул Гаюм","মামুন আব্দুল গাইয়ুম","Category:Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","Maumoon Abdul Gayoom","מאומון עבדול גאיום","मॉमून अब्दुल गय्यूम","Maumoon Abdul Gayoom","마우문 압둘 가윰","Maumunas Abdul Gajunas","Maumoon Abdul Gayoom","மாமூன் அப்துல் கயூம்","Момун Абдул Гаюм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3270179,"Muhammad Fareed Didi","Muhammad Fareed Didi","Muhammad Fareed Didi","Muhammad Fareed Didi","Muhammad Fareed Didi",male,politician,1901,Muhammed,"Muhammad Fareed Didi","Muhammad Fareed Didi","Muhammad Fareed Didi",1969-05-27,,,,,,,,,,,,,,,,,,"Muhammad Fareed Didi","Muhammad Fareed Didi",,,,,,,,"Мухаммед Фарид Диди","Мухаммед Фарид Диди",,,,/m/06vwgj,,"Muhammad Fareed Didi",,,"އަލްއަމީރު މުޙަންމަދު ފަރީދު ދީދީ","ムハンマド・ファリド・ディディ","އަލްއަމީރު މުޙަންމަދު ފަރީދު ދީދީ",,,"Muhammad Fareed Didi","Muhammad Fareed Didi","Muhammad Fareed Didi","Muhammad Faríd Dídí","Μουχάματ Φαρίντ Ντιντί","Մուհամեդ Ֆարիդ Դիդի","محمد فريد ديدي","محمد فريد ديدي","Μουχάματ Φαρίντ Ντιντί","Muhammad Fareed Didi","ムハンマド・ファリド・ディディ","Muhammad Faríd Dídí",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4308818,"Muhammad Jameel Didi","Muhammad Jameel Didi","Mohamed Areeh","Muhammad Jameel Didi","Muhammad Jameel Didi",male,politician,1915-05-01,Muhammed,"Muhammad Jameel Didi","Muhammad Jameel Didi",,1989-03-15,,,"Mohamed Areeh",,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Usthazul_Jeel_Muhammad_Jameel_Didi_of_Maldives.JPG,"Mohamed Areeh",,,,,,,,,"Мухаммад Жамель Диди","Мухаммад Жамель Диди",,,,,,,,,"މުޙައްމަދު ޖަމީލުދީދީ",,"މުޙައްމަދު ޖަމީލުދީދީ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4663760,"Abbas Ibrahim","Abbas Ibrahim","Abbas Ibrahim","Abbas Ibrahim","Abbas Ibrahim",male,politician,1941-08-13,Abbas,"Abbas Ibrahim","Abbas Ibrahim","Abbas Ibrahim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4665662,"Abdul Rasheed Hussain","Abdul Rasheed Hussain","Abdul Rasheed Hussain","Abdul Rasheed Hussain","Abdul Rasheed Hussain",male,,1946-09-16,"Abdur Rashid","Abdul Rasheed Hussain","Abdul Rasheed Hussain","Abdul Rasheed Hussain",,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/1/12/Abdul_Rasheed_Hussain_delivering_his_statement_at_the_FAO_food_summit_in_Italy,_Rome,_2002.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
