id,name__da,name__pl,name__nb,name__en,name__fr,name__de,name__fo,name__is,name__kl,name__nn,name__sv,name__nl,name__es,name__hu,name,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__no,wikipedia__pl,image,gender,occupation,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,given_name,website,identifier__EuroparlMEP,weblog,twitter,original_wikiname,name__it,name__ru,instagram,facebook,name__id,wikipedia__id,wikipedia__sv,name__nds,name__lb,name__zh,name__he,name__ko,name__be,name__ta,name__oc,name__ms,name__lv,name__gl,name__et,name__ja,name__br,name__el,name__vi,name__sh,name__ar,name__pt,name__eo,name__tr,name__ro,name__se,name__ca,name__fi,name__uk,name__be_tarask,name__cs,name__io,name__fa,name__az,name__lt,name__pt_br,name__cy,name__de_ch,name__en_ca,name__en_gb,name__sr,name__lmo,name__sco,name__arz,name__ie,name__la,name__sk,name__hy,name__th,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__cy,wikipedia__dawikiquote,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fo,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ms,wikipedia__nds,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__se,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,identifier__LCAuth,identifier__IMDB,identifier__NNDB,identifier__Munzinger,identifier__parlement,identifier__quora,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,family_name,identifier__IIAF,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__FAST,identifier__PACE,identifier__OLID,identifier__BIBSYS,identifier__SELIBR,name__ka,identifier__NTA,wikipedia__dewikiquote,wikipedia__fiwikiquote,name__sl,wikipedia__sl,identifier__snac,identifier__google_knowledge,name__ia,wikipedia__ia,wikipedia__kl,identifier__MusicBrainz,name__sq,wikipedia__sq,linkedin,name__sr_el,name__sr_ec,identifier__NLI,wikipedia__eswikiquote,name__bar,name__fit,identifier__google_scholar,identifier__discogs,wikipedia__ukwikiquote,identifier__allmovie,identifier__SFDb,identifier__SCOPE,identifier__kinopoisk,identifier__DNF,identifier__ne_se,name__de_at,name__gsw,wikipedia__cswikiquote,wikipedia__svwikiquote,name__jv,name__qu,name__yo,name__eu,name__hsb,name__bg,wikipedia__bg,wikipedia__enwikiquote,wikipedia__eu,wikipedia__hsb,wikipedia__itwikiquote,wikipedia__jv,wikipedia__ka,wikipedia__qu,wikipedia__yo,identifier__GTAA,identifier__nlg,political_alignment,wikipedia__frwikiquote,identifier__PORT,identifier__CSFD,name__bs,name__bn,name__ga,name__ast,name__hr,name__an,name__ku,name__mr,name__vro,name__tt,name__ba,name__ne,name__mg,wikipedia__an,wikipedia__ast,wikipedia__bn,wikipedia__bs,wikipedia__dewikinews,wikipedia__fawikiquote,wikipedia__fiu_vro,wikipedia__ga,wikipedia__hr,wikipedia__ku,wikipedia__mg,wikipedia__mr,wikipedia__ruwikinews,wikipedia__srwikinews,wikipedia__trwikinews,wikipedia__tt,identifier__GNC,name__ur,wikipedia__ur,wikipedia__nowikiquote,wikipedia__dawikisource
Q113921,"Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen",,"Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen","Frank Jensen (dansk politiker)","Frank Jensen",https://upload.wikimedia.org/wikipedia/commons/2/2b/Mipim_Kobenhavn_overborgmester_Frank_Jensen_20120307_1F_(8184293842).jpg,male,politician,182609815,,1961-05-28,/m/05t87y,Frank,http://frank-jensen.dk/om-frank-jensen/,,,FrankJensenKBH,"Frank Jensen",,,,,,,"Frank Jensen",,,,,,,,"Frank Jensen",,,"Frank Jensen",,"フランク・イェンセン",,,,,"فرانك جنسن",,,"Frank Jensen",,,"Frank Jensen","Frank Jensen",,,,,,,,,,,,"Frank Jensen",,,,,,,,,,"فرانك جنسن",,,,,,,,,,,,"Frank Jensen (político)",,,"Frank Jensen",,"Frank Jensen",,,,,,"Frank Jensen",,,,,,,,,,,,,,,,,,,,,,,,,,"Frank Jensen",,,,,,,,,,,"弗蘭克·延森",,"弗兰克·延森",,,,,,,,076523098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1159092,"Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Category:Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","Dan Jørgensen","https://upload.wikimedia.org/wikipedia/commons/9/95/Dan_Jørgensen_0009.JPG",male,politician,230533254,,1975-06-12,/m/054qph,Dan,,28156,,DanJoergensen,"Dan Jørgensen",,,,,"Dan Jørgensen","Dan Jørgensen",,,,,,,,,,,,,,,,,,,,,"Dan Jørgensen",,"Dan Jørgensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dan Jørgensen",,,,,,,,,,,,,,,,,,,,,,,"Dan Jørgensen",,,"Dan Jørgensen",,"Dan Jørgensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000 0003 6703 3125",,,,,,11058829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11977892,"Jakob Engel-Schmidt",,"Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt","Jakob Engel-Schmidt",,"Jakob Engel-Schmidt",,,,"Jakob Engel-Schmidt",,"https://upload.wikimedia.org/wikipedia/commons/4/49/Jakob_Engel_Schmidt_VUs_Landsstævne_2008.jpg",male,politician,,,1983-10-24,,Jakob,http://stemjes.dk/,,https://politiken.dk/debat/profiler/engel-schmidt/,engelschmidt,"Jakob Engel-Schmidt","Jakob Engel-Schmidt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11978555,"Jette Gottlieb",,"Jette Gottlieb","Jette Gottlieb","Jette Gottlieb",,,,,,,,,,"Jette Gottlieb",,"Jette Gottlieb",,,,"Jette Gottlieb",,,female,,,,1948-09-23,,,,,,,"Jette Gottlieb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11980629,"Kim Andersen",,"Kim Andersen","Kim Andersen","Kim Andersen","Kim Andersen",,,,,,"Kim Andersen",,,"Kim Andersen",,"Kim Andersen (politiker)",,,,"Kim Andersen (politiker)",,https://upload.wikimedia.org/wikipedia/commons/4/41/Kim_Andersen_(V).jpg,male,farmer,,,1957-10-17,,Kim,,,,,"Kim Andersen (politiker)",,"Ким Андерсен",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11983607,"Leif Mikkelsen",,"Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen","Leif Mikkelsen",,,,"Leif Mikkelsen",,"Leif Mikkelsen (politiker)",,,,"Leif Mikkelsen",,https://upload.wikimedia.org/wikipedia/commons/3/3f/Leif_Mikkelsen.jpg,male,,,,1945-07-27,,Leif,,,,mikkelsen_leif,"Leif Mikkelsen (politiker)",,,,leif.mikkelsen.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11989087,"Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager","Merete Riisager",,,"Merete Riisager",,"Merete Riisager",,,"Merete Riisager","Merete Riisager","Merete Riisager",,female,politician,,,1976-03-01,,Merete,http://mereteriisager.blogspot.dk/,,,MereteRiisager,"Merete Riisager",,,,merete.riisager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11989208,"Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock","Mette Bock",,,"Mette Bock",,"Mette Bock",,"Mette Bock","Mette Bock","Mette Bock","Mette Bock","https://upload.wikimedia.org/wikipedia/commons/d/d6/Mette_Bock_i_Deadline,_DR2.png",female,politician,256368769,,1957-07-26,,Mette,http://www.ft.dk/folketinget/findmedlem/lamebo.aspx,,,mettebock,"Mette Bock",,,,mette.bock.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11995318,"Per Ørum Jørgensen",,"Per Ørum Jørgensen","Per Ørum Jørgensen","Per Ørum Jørgensen",,,,,,,,,,"Per Ørum Jørgensen",,"Per Ørum Jørgensen",,,,"Per Ørum Jørgensen",,,male,,,,1970-12-09,,Per,,,,,"Per Ørum Jørgensen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12004862,"Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen",,,"Søren Pape Poulsen","Category:Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","Søren Pape Poulsen","https://upload.wikimedia.org/wikipedia/commons/7/77/Søren_Pape_(cropped).jpg",male,politician,,,1971-12-31,,"Søren",,,http://nyheder.tv2.dk/profil/soren-pape-poulsen,,"Søren Pape",,,,,,,,,,"瑟倫·佩普·波爾森",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Søren Pape Poulsen",,,,,,,,,,,,,,,,,,"瑟倫·佩普·波爾森",,,,,,"Søren-Pape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12006694,"Tommy Dinesen",,"Tommy Dinesen","Tommy Dinesen","Tommy Dinesen","Tommy Dinesen",,,,,,,,,"Tommy Dinesen",,"Tommy Dinesen",,,,"Tommy Dinesen",,,male,politician,,,1939-05-05,,Tommy,,,,,"Tommy Dinesen","Tommy Dinesen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12006907,"Torben Hansen",,"Torben Hansen","Torben Hansen","Torben Hansen",,,,,,,"Torben Hansen",,,"Torben Hansen",,"Torben Hansen (folketingsmedlem)",,,,"Torben Hansen (folketingsmedlem)",,,male,politician,,,1965,,,,,,,"Torben Hansen (Folketingsmedlem)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
